date_,adj close_phoenixltd.ns,close_phoenixltd.ns,high_phoenixltd.ns,low_phoenixltd.ns,open_phoenixltd.ns,volume_phoenixltd.ns
2024-01-16,1219.6900634765625,1223.4000244140625,1254.75,1207.75,1251.375,684998
2024-01-17,1205.5081787109375,1209.175048828125,1218.1500244140625,1164.3499755859375,1170.0,1179580
2024-01-18,1240.3521728515625,1244.125,1255.0,1175.0,1193.25,1642920
2024-01-19,1277.838134765625,1281.7249755859375,1286.675048828125,1245.0,1250.0,1060822
2024-01-23,1194.49169921875,1198.125,1273.324951171875,1170.5,1260.1500244140625,1462166
2024-01-24,1179.93603515625,1183.5250244140625,1209.4000244140625,1144.699951171875,1193.9749755859375,1409360
2024-01-25,1144.618408203125,1148.0999755859375,1222.449951171875,1137.5,1183.5250244140625,781826
2024-01-29,1173.705078125,1177.2750244140625,1189.7249755859375,1135.050048828125,1152.0,766850
2024-01-30,1179.0386962890625,1182.625,1221.0,1166.0,1182.3499755859375,741764
2024-01-31,1208.2249755859375,1211.9000244140625,1221.0,1155.3499755859375,1185.0,765592
2024-02-01,1171.68603515625,1175.25,1224.699951171875,1158.0,1211.550048828125,652714
2024-02-02,1235.6912841796875,1239.449951171875,1255.0,1177.824951171875,1184.949951171875,1936028
2024-02-05,1323.5989990234375,1327.625,1339.824951171875,1239.449951171875,1239.449951171875,2110766
2024-02-06,1322.1285400390625,1326.1500244140625,1365.0,1272.5,1330.0,1927868
2024-02-07,1376.5628662109375,1380.75,1399.0,1332.6500244140625,1350.2249755859375,1466904
2024-02-08,1399.0943603515625,1403.3499755859375,1418.125,1364.0999755859375,1380.1500244140625,1180362
2024-02-09,1401.81103515625,1406.074951171875,1417.375,1383.050048828125,1407.2249755859375,617962
2024-02-12,1323.399658203125,1327.425048828125,1395.0,1312.5250244140625,1389.550048828125,376156
2024-02-13,1278.4613037109375,1282.3499755859375,1370.0,1221.5,1354.9000244140625,2115384
2024-02-14,1285.614501953125,1289.5250244140625,1320.625,1250.0,1272.4749755859375,603192
2024-02-15,1367.9141845703125,1372.074951171875,1383.5,1311.0,1311.0,1830654
2024-02-16,1362.381103515625,1366.5250244140625,1375.0,1340.675048828125,1364.9749755859375,1110118
2024-02-19,1388.626220703125,1392.8499755859375,1407.4749755859375,1333.5250244140625,1357.0999755859375,734056
2024-02-20,1409.0390625,1413.324951171875,1445.0,1390.9000244140625,1395.0,1084122
2024-02-21,1443.6837158203125,1448.074951171875,1471.0,1405.0250244140625,1413.324951171875,1279380
2024-02-22,1398.8450927734375,1403.0999755859375,1446.324951171875,1386.625,1446.2750244140625,944594
2024-02-23,1450.787109375,1455.199951171875,1465.0,1416.949951171875,1416.949951171875,1613018
2024-02-26,1427.90673828125,1432.25,1453.9749755859375,1363.050048828125,1452.5250244140625,3093092
2024-02-27,1409.861572265625,1414.1500244140625,1442.0,1402.4749755859375,1437.4000244140625,780994
2024-02-28,1387.853515625,1392.074951171875,1423.550048828125,1362.5,1418.574951171875,701986
2024-02-29,1376.1640625,1380.3499755859375,1408.2750244140625,1341.199951171875,1394.8499755859375,1403934
2024-03-01,1366.6431884765625,1370.800048828125,1417.175048828125,1332.5,1409.824951171875,1384326
2024-03-04,1346.803466796875,1350.9000244140625,1387.550048828125,1337.699951171875,1367.5,868380
2024-03-05,1372.7744140625,1376.949951171875,1402.0999755859375,1330.425048828125,1337.5250244140625,1396726
2024-03-06,1349.5450439453125,1353.6500244140625,1405.9749755859375,1340.75,1375.8499755859375,1904400
2024-03-07,1386.7568359375,1390.9749755859375,1403.625,1363.75,1363.75,556528
2024-03-11,1379.254638671875,1383.449951171875,1417.9000244140625,1368.2750244140625,1400.699951171875,568952
2024-03-12,1398.521240234375,1402.7750244140625,1469.5,1340.625,1415.0,815928
2024-03-13,1290.7987060546875,1294.7249755859375,1485.800048828125,1258.4000244140625,1416.375,2215416
2024-03-14,1319.411865234375,1323.425048828125,1363.9749755859375,1215.4000244140625,1275.5,3037130
