date_,adj close_lt.ns,close_lt.ns,high_lt.ns,low_lt.ns,open_lt.ns,volume_lt.ns
2024-01-16,3512.865966796875,3573.5,3589.0,3538.0,3548.0,1791818
2024-01-17,3510.359375,3570.949951171875,3614.449951171875,3547.699951171875,3555.0,2699076
2024-01-18,3534.984375,3596.0,3616.949951171875,3525.0,3570.800048828125,2148898
2024-01-19,3584.1357421875,3646.0,3655.85009765625,3603.0,3603.0,1913923
2024-01-23,3490.747802734375,3551.0,3661.35009765625,3536.199951171875,3637.60009765625,1742142
2024-01-24,3528.299560546875,3589.199951171875,3617.949951171875,3521.699951171875,3570.0,3711521
2024-01-25,3532.4775390625,3593.449951171875,3618.25,3564.800048828125,3599.89990234375,2206540
2024-01-29,3645.083984375,3708.0,3733.85009765625,3600.10009765625,3604.0,2072982
2024-01-30,3571.6513671875,3633.300048828125,3737.89990234375,3624.89990234375,3715.949951171875,1454989
2024-01-31,3420.70703125,3479.75,3538.0,3387.050048828125,3520.0,9637606
2024-02-01,3340.343994140625,3398.0,3493.75,3371.0,3480.0,6149780
2024-02-02,3318.766357421875,3376.050048828125,3436.35009765625,3361.0,3402.699951171875,7579802
2024-02-05,3285.048583984375,3341.75,3407.949951171875,3318.449951171875,3375.5,2954238
2024-02-06,3366.1484375,3424.25,3427.75,3337.550048828125,3346.0,2545192
2024-02-07,3337.10009765625,3394.699951171875,3447.0,3389.0,3445.0,2099940
2024-02-08,3278.904296875,3335.5,3417.800048828125,3293.85009765625,3413.0,3471727
2024-02-09,3268.140380859375,3324.550048828125,3390.0,3308.949951171875,3336.25,3121873
2024-02-12,3243.564453125,3299.550048828125,3339.14990234375,3287.0,3330.0,1922273
2024-02-13,3265.141845703125,3321.5,3338.550048828125,3284.10009765625,3312.0,2151493
2024-02-14,3252.85400390625,3309.0,3316.949951171875,3263.050048828125,3290.050048828125,2502138
2024-02-15,3244.301513671875,3300.300048828125,3321.949951171875,3290.199951171875,3309.0,1999189
2024-02-16,3329.28466796875,3386.75,3398.0,3304.050048828125,3304.949951171875,2768329
2024-02-19,3283.180908203125,3339.85009765625,3408.0,3335.5,3400.550048828125,1216447
2024-02-20,3299.7939453125,3356.75,3367.75,3328.449951171875,3339.85009765625,1578162
2024-02-21,3240.4677734375,3296.39990234375,3356.89990234375,3290.050048828125,3356.89990234375,2430672
2024-02-22,3306.675048828125,3363.75,3369.0,3276.949951171875,3310.0,2521388
2024-02-23,3330.46435546875,3387.949951171875,3399.89990234375,3340.75,3363.75,2107176
2024-02-26,3411.26953125,3470.14990234375,3491.64990234375,3393.0,3400.0,4122419
2024-02-27,3446.95361328125,3506.449951171875,3512.0,3451.89990234375,3475.0,2122286
2024-02-28,3411.31884765625,3470.199951171875,3513.0,3446.14990234375,3505.0,1666903
2024-02-29,3418.544189453125,3477.550048828125,3496.0,3436.449951171875,3485.0,2119512
2024-03-01,3571.84814453125,3633.5,3658.35009765625,3500.0,3501.64990234375,4407803
2024-03-04,3582.6123046875,3644.449951171875,3679.800048828125,3622.050048828125,3670.0,1307501
2024-03-05,3551.302978515625,3612.60009765625,3644.449951171875,3590.300048828125,3631.199951171875,1981370
2024-03-06,3580.400390625,3642.199951171875,3652.449951171875,3586.050048828125,3618.0,1500196
2024-03-07,3614.560791015625,3676.949951171875,3705.14990234375,3643.25,3660.75,2344401
2024-03-11,3578.82763671875,3640.60009765625,3700.0,3631.449951171875,3700.0,1748541
2024-03-12,3560.198974609375,3621.64990234375,3672.0,3613.14990234375,3639.050048828125,1470377
2024-03-13,3478.509033203125,3538.550048828125,3636.800048828125,3511.89990234375,3634.89990234375,2503293
2024-03-14,3546.977294921875,3608.199951171875,3636.0,3522.0,3527.050048828125,4528490
