date_,adj close_piind.ns,close_piind.ns,high_piind.ns,low_piind.ns,open_piind.ns,volume_piind.ns
2024-01-16,3453.321044921875,3481.14990234375,3486.300048828125,3448.10009765625,3463.0,330164
2024-01-17,3393.552734375,3420.89990234375,3469.0,3401.35009765625,3469.0,274487
2024-01-18,3329.469482421875,3356.300048828125,3420.0,3330.300048828125,3413.0,458137
2024-01-19,3378.1767578125,3405.39990234375,3432.0,3366.0,3377.89990234375,212327
2024-01-23,3252.68798828125,3278.89990234375,3395.699951171875,3251.800048828125,3382.39990234375,469762
2024-01-24,3256.457763671875,3282.699951171875,3316.949951171875,3258.85009765625,3297.0,192710
2024-01-25,3216.033447265625,3241.949951171875,3300.0,3220.0,3278.0,241567
2024-01-29,3266.823974609375,3293.14990234375,3308.800048828125,3248.0,3252.0,218314
2024-01-30,3239.692626953125,3265.800048828125,3318.60009765625,3260.800048828125,3291.050048828125,205904
2024-01-31,3345.6884765625,3372.64990234375,3390.0,3254.550048828125,3265.800048828125,291997
2024-02-01,3383.880859375,3411.14990234375,3417.199951171875,3353.050048828125,3372.64990234375,287023
2024-02-02,3349.259765625,3376.25,3446.0,3368.25,3446.0,174194
2024-02-05,3255.713623046875,3281.949951171875,3389.85009765625,3264.0,3366.0,408128
2024-02-06,3287.9541015625,3314.449951171875,3337.89990234375,3264.0,3283.050048828125,264320
2024-02-07,3303.032470703125,3329.64990234375,3357.25,3291.0,3335.0,267012
2024-02-08,3428.124267578125,3455.75,3474.949951171875,3342.800048828125,3343.0,871825
2024-02-09,3456.495849609375,3484.35009765625,3510.0,3426.0,3469.449951171875,737224
2024-02-12,3376.24267578125,3403.449951171875,3499.0,3369.39990234375,3499.0,769165
2024-02-13,3395.9833984375,3423.35009765625,3470.949951171875,3364.050048828125,3439.949951171875,861084
2024-02-14,3390.82470703125,3418.14990234375,3456.949951171875,3378.64990234375,3418.050048828125,504758
2024-02-15,3539.080078125,3567.60009765625,3610.0,3440.550048828125,3440.550048828125,1141777
2024-02-16,3616.1591796875,3645.300048828125,3662.550048828125,3575.0,3575.0,904620
2024-02-19,3638.6279296875,3667.949951171875,3680.0,3620.0,3668.85009765625,298793
2024-02-20,3653.95458984375,3683.39990234375,3695.0,3650.25,3655.0,304952
2024-02-21,3659.518798828125,3683.0,3704.949951171875,3656.550048828125,3698.0,305505
2024-02-22,3657.382568359375,3680.85009765625,3697.949951171875,3632.550048828125,3681.0,141410
2024-02-23,3651.271484375,3674.699951171875,3702.5,3660.0,3695.0,169837
2024-02-26,3671.343017578125,3694.89990234375,3712.0,3647.449951171875,3650.050048828125,183126
2024-02-27,3648.83740234375,3672.25,3701.85009765625,3647.0,3693.0,181113
2024-02-28,3610.97998046875,3634.14990234375,3685.949951171875,3610.14990234375,3652.300048828125,253832
2024-02-29,3649.2841796875,3672.699951171875,3697.0,3576.800048828125,3600.0,419847
2024-03-01,3654.997802734375,3678.449951171875,3699.14990234375,3646.5,3673.25,95030
2024-03-04,3594.18798828125,3617.25,3715.0,3610.0,3688.050048828125,203432
2024-03-05,3609.14208984375,3632.300048828125,3651.25,3609.300048828125,3635.0,194009
2024-03-06,3629.7099609375,3653.0,3659.89990234375,3580.449951171875,3622.75,263511
2024-03-07,3602.882080078125,3626.0,3714.35009765625,3617.050048828125,3655.14990234375,298793
2024-03-11,3628.81591796875,3652.10009765625,3769.699951171875,3620.60009765625,3629.949951171875,502597
2024-03-12,3616.7431640625,3639.949951171875,3666.75,3577.5,3652.10009765625,334401
2024-03-13,3557.970458984375,3580.800048828125,3655.35009765625,3545.14990234375,3650.0,440223
2024-03-14,3627.12646484375,3650.39990234375,3663.949951171875,3533.0,3575.050048828125,169209
2024-03-15,3625.884521484375,3649.14990234375,3659.800048828125,3612.85009765625,3636.5,336173
2024-03-18,3706.815185546875,3730.60009765625,3744.60009765625,3621.10009765625,3649.14990234375,264945
2024-03-19,3678.89453125,3702.5,3764.89990234375,3681.75,3740.0,461938
2024-03-20,3612.123046875,3635.300048828125,3726.550048828125,3618.300048828125,3726.550048828125,410676
2024-03-21,3727.1845703125,3751.10009765625,3767.800048828125,3640.39990234375,3650.0,311473
2024-03-22,3766.97900390625,3791.14990234375,3802.449951171875,3731.0,3731.0,166913
2024-03-26,3771.5,3795.699951171875,3845.0,3749.949951171875,3800.35009765625,357673
2024-03-27,3810.449951171875,3834.89990234375,3878.0,3774.050048828125,3819.89990234375,1442884
2024-03-28,3842.89208984375,3867.550048828125,3905.89990234375,3801.0,3865.0,405269
2024-04-01,3863.36083984375,3888.14990234375,3900.0,3801.0,3887.5,254124
2024-04-02,3831.86279296875,3856.449951171875,3938.0,3840.64990234375,3913.449951171875,356689
2024-04-03,3871.7568359375,3896.60009765625,3928.0,3826.949951171875,3856.449951171875,475766
2024-04-04,3790.726806640625,3815.050048828125,3909.949951171875,3806.300048828125,3901.800048828125,246895
2024-04-05,3845.1279296875,3869.800048828125,3894.0,3803.0,3834.39990234375,258919
2024-04-08,3934.45458984375,3959.699951171875,3975.10009765625,3836.35009765625,3899.949951171875,542288
2024-04-09,3880.8486328125,3905.75,4040.0,3842.449951171875,4022.550048828125,344997
2024-04-10,3835.936767578125,3860.550048828125,3893.64990234375,3831.25,3854.0,521517
2024-04-12,3835.638671875,3860.25,3915.89990234375,3829.14990234375,3871.699951171875,289594
2024-04-15,3772.7919921875,3797.0,3818.10009765625,3731.0,3765.0,637710
2024-04-16,3718.39111328125,3742.25,3833.10009765625,3737.0,3784.25,255347
2024-04-18,3692.85498046875,3716.550048828125,3795.5,3700.0,3740.0,244652
2024-04-19,3685.60107421875,3709.25,3735.0,3655.050048828125,3655.050048828125,135250
2024-04-22,3691.662353515625,3715.35009765625,3800.0,3681.5,3732.949951171875,220589
2024-04-23,3667.964599609375,3691.5,3734.89990234375,3674.35009765625,3734.89990234375,241564
2024-04-24,3730.910888671875,3754.85009765625,3763.89990234375,3692.300048828125,3695.10009765625,131696
2024-04-25,3732.10302734375,3756.050048828125,3778.949951171875,3721.64990234375,3772.25,169348
2024-04-26,3747.2060546875,3771.25,3781.0,3740.0,3765.0,166814
2024-04-29,3720.775634765625,3744.64990234375,3842.449951171875,3732.0,3789.0,348716
2024-04-30,3630.80322265625,3654.10009765625,3765.0,3592.0,3765.0,807822
2024-05-02,3617.68701171875,3640.89990234375,3687.14990234375,3627.0,3654.10009765625,211272
2024-05-03,3571.334716796875,3594.25,3655.949951171875,3560.0,3640.949951171875,318934
2024-05-06,3569.992919921875,3592.89990234375,3637.35009765625,3576.75,3611.550048828125,366585
2024-05-07,3485.1376953125,3507.5,3599.85009765625,3497.0,3586.0,424012
2024-05-08,3497.3095703125,3519.75,3544.699951171875,3475.0,3485.0,638388
2024-05-09,3494.72607421875,3517.14990234375,3590.0,3504.89990234375,3532.0,314013
2024-05-10,3539.886474609375,3562.60009765625,3570.39990234375,3504.14990234375,3526.550048828125,106309
2024-05-13,3635.42333984375,3658.75,3675.14990234375,3547.60009765625,3550.050048828125,292527
2024-05-14,3644.217041015625,3667.60009765625,3685.0,3586.199951171875,3651.0,150107
2024-05-15,3641.037109375,3664.39990234375,3749.89990234375,3605.800048828125,3749.89990234375,392757
2024-05-16,3585.295166015625,3608.300048828125,3652.199951171875,3575.699951171875,3627.0,341995
2024-05-17,3553.995849609375,3576.800048828125,3636.949951171875,3521.10009765625,3604.050048828125,1180397
2024-05-21,3562.09375,3584.949951171875,3604.0,3546.75,3598.0,221518
2024-05-22,3676.161865234375,3699.75,3724.5,3592.050048828125,3613.0,1036788
2024-05-23,3636.168701171875,3659.5,3699.0,3638.0,3699.0,277511
2024-05-24,3607.7509765625,3630.89990234375,3674.0,3595.199951171875,3674.0,241469
2024-05-27,3592.349853515625,3615.39990234375,3718.449951171875,3592.14990234375,3649.0,613741
2024-05-28,3594.684814453125,3617.75,3641.949951171875,3590.550048828125,3625.949951171875,316871
2024-05-29,3555.73486328125,3578.550048828125,3604.0,3561.35009765625,3604.0,297942
2024-05-30,3534.570556640625,3557.25,3578.5,3527.0,3563.0,222203
2024-05-31,3517.13232421875,3539.699951171875,3578.0,3511.39990234375,3557.25,1252747
2024-06-03,3622.50634765625,3645.75,3680.0,3565.0,3584.0,437923
2024-06-04,3571.334716796875,3594.25,3655.0,3523.85009765625,3595.0,804255
2024-06-05,3642.726318359375,3666.10009765625,3711.10009765625,3441.050048828125,3540.0,597639
2024-06-06,3628.319091796875,3651.60009765625,3694.0,3632.550048828125,3694.0,377890
2024-06-07,3619.37646484375,3642.60009765625,3652.5,3614.0,3616.050048828125,324844
2024-06-10,3617.289794921875,3640.5,3663.10009765625,3550.0,3585.0,823158
2024-06-11,3584.102783203125,3607.10009765625,3664.25,3594.60009765625,3600.0,502872
2024-06-12,3611.874267578125,3635.050048828125,3645.60009765625,3590.10009765625,3629.949951171875,372099
2024-06-13,3615.004150390625,3638.199951171875,3658.699951171875,3620.0,3649.0,149504
2024-06-14,3615.799072265625,3639.0,3657.10009765625,3625.10009765625,3638.199951171875,296027
2024-06-18,3637.5595703125,3660.89990234375,3669.300048828125,3644.050048828125,3662.550048828125,216884
2024-06-19,3627.325439453125,3650.60009765625,3705.0,3638.5,3667.64990234375,261310
2024-06-20,3750.88232421875,3774.949951171875,3805.0,3657.64990234375,3687.89990234375,805768
2024-06-21,3729.767822265625,3753.699951171875,3805.89990234375,3725.0,3800.75,548454
2024-06-24,3778.85302734375,3803.10009765625,3825.0,3684.949951171875,3753.0,491338
