date_,adj close_kprmill.ns,close_kprmill.ns,high_kprmill.ns,low_kprmill.ns,open_kprmill.ns,volume_kprmill.ns
2024-01-16,778.5820922851562,787.25,791.0,781.0499877929688,781.8499755859375,119697
2024-01-17,784.6644897460938,793.4000244140625,798.25,774.4500122070312,783.0499877929688,360920
2024-01-18,762.3626708984375,770.8499755859375,797.0,763.8499755859375,793.0,269266
2024-01-19,764.291259765625,772.7999877929688,784.0,770.2999877929688,775.0,620630
2024-01-23,732.8413696289062,741.0,771.9500122070312,737.7000122070312,768.5,151283
2024-01-24,743.1268310546875,751.4000244140625,755.0,731.5,741.0,168650
2024-01-25,760.8297729492188,769.2999877929688,775.5,752.8499755859375,752.8499755859375,246367
2024-01-29,742.08837890625,750.3499755859375,779.8499755859375,743.0,769.0499877929688,434295
2024-01-30,740.6048583984375,748.8499755859375,758.1500244140625,741.0,754.9000244140625,138796
2024-01-31,781.4501953125,790.1500244140625,793.0,750.3499755859375,750.3499755859375,301593
2024-02-01,781.994140625,790.7000122070312,804.7999877929688,777.0,801.4500122070312,225402
2024-02-02,781.0051879882812,789.7000122070312,797.0,782.0,791.1500244140625,382225
2024-02-05,773.09326171875,781.7000122070312,804.4000244140625,774.25,792.0,480583
2024-02-06,779.5711059570312,788.25,799.0,777.25,782.0499877929688,221152
2024-02-07,770.472412109375,779.0499877929688,793.6500244140625,775.5499877929688,790.0,536629
2024-02-08,758.208984375,766.6500244140625,782.0,765.5499877929688,782.0,307412
2024-02-09,744.80810546875,753.0999755859375,770.0499877929688,749.2999877929688,769.0499877929688,119613
2024-02-12,737.9840698242188,746.2000122070312,759.0,740.0,752.9500122070312,109206
2024-02-13,730.6409912109375,736.2999877929688,752.0,723.9000244140625,746.0999755859375,119039
2024-02-14,723.7443237304688,729.3499755859375,742.25,722.25,722.25,138792
2024-02-15,727.0191040039062,732.6500244140625,744.4000244140625,728.0,732.25,106893
2024-02-16,723.6452026367188,729.25,744.5,726.0499877929688,743.5499877929688,96147
2024-02-19,719.9735717773438,725.5499877929688,736.9500122070312,723.0,729.25,390402
2024-02-20,714.1190185546875,719.6500244140625,733.1500244140625,718.0,726.25,357594
2024-02-21,710.9931640625,716.5,731.9500122070312,714.7999877929688,720.0,174197
2024-02-22,713.9700927734375,719.5,730.5,710.0,717.4500122070312,204249
2024-02-23,740.4153442382812,746.1500244140625,750.0,717.6500244140625,720.4000244140625,408764
2024-02-26,773.3600463867188,779.3499755859375,785.0,750.0,752.9000244140625,718409
2024-02-27,759.5669555664062,765.4500122070312,791.4000244140625,758.5499877929688,784.9000244140625,829578
