date_,adj close_clean.ns,close_clean.ns,high_clean.ns,low_clean.ns,open_clean.ns,volume_clean.ns
2024-01-16,1492.2275390625,1504.5,1522.0,1484.050048828125,1506.0,106195
2024-01-17,1461.976318359375,1474.0,1510.9000244140625,1470.050048828125,1489.0,113968
2024-01-18,1474.7711181640625,1486.9000244140625,1493.949951171875,1438.0,1482.0,101337
2024-01-19,1486.7723388671875,1499.0,1504.449951171875,1486.949951171875,1494.9000244140625,51107
2024-01-23,1433.11376953125,1444.9000244140625,1489.5,1441.0,1484.949951171875,96982
2024-01-24,1431.477294921875,1443.25,1454.5999755859375,1425.0,1440.050048828125,57192
2024-01-25,1430.2373046875,1442.0,1464.300048828125,1435.0,1438.949951171875,58366
2024-01-29,1414.2686767578125,1425.9000244140625,1453.5,1419.0999755859375,1442.050048828125,76830
2024-01-30,1393.24169921875,1404.699951171875,1438.550048828125,1401.0,1431.550048828125,89887
2024-01-31,1481.366943359375,1493.550048828125,1507.0,1401.0,1402.0,333297
2024-02-01,1466.3900146484375,1478.449951171875,1503.949951171875,1462.0,1496.0,69802
2024-02-02,1449.5286865234375,1461.449951171875,1499.0,1455.800048828125,1489.0,72332
2024-02-05,1388.580078125,1400.0,1460.0,1394.0,1458.0,222174
2024-02-06,1393.192138671875,1404.6500244140625,1420.0,1395.800048828125,1409.949951171875,90278
2024-02-07,1396.7625732421875,1408.25,1424.8499755859375,1400.050048828125,1400.050048828125,68272
2024-02-08,1360.907470703125,1372.0999755859375,1413.699951171875,1370.0,1409.0,127592
2024-02-09,1394.2335205078125,1405.699951171875,1427.699951171875,1381.0999755859375,1395.5,196945
2024-02-12,1385.8404541015625,1395.25,1430.0,1386.050048828125,1430.0,87968
2024-02-13,1386.5853271484375,1396.0,1406.449951171875,1376.0,1399.9000244140625,60199
2024-02-14,1372.53076171875,1381.8499755859375,1394.949951171875,1373.300048828125,1380.1500244140625,105861
2024-02-15,1381.5198974609375,1390.9000244140625,1414.550048828125,1385.699951171875,1400.0,65908
2024-02-16,1382.9599609375,1392.3499755859375,1408.949951171875,1387.1500244140625,1403.949951171875,71213
