date_,adj close_dalbharat.ns,close_dalbharat.ns,high_dalbharat.ns,low_dalbharat.ns,open_dalbharat.ns,volume_dalbharat.ns
2024-01-16,2237.6923828125,2258.35009765625,2303.14990234375,2233.39990234375,2297.64990234375,451024
2024-01-17,2171.652099609375,2191.699951171875,2275.699951171875,2181.0,2258.35009765625,354131
2024-01-18,2161.49560546875,2181.449951171875,2200.449951171875,2135.5,2190.0,298160
2024-01-19,2194.144287109375,2214.39990234375,2220.0,2165.449951171875,2198.0,555621
2024-01-23,2089.609130859375,2108.89990234375,2219.949951171875,2101.699951171875,2210.0,288555
2024-01-24,2135.0400390625,2154.75,2174.0,2071.050048828125,2119.89990234375,710787
2024-01-25,2184.8798828125,2205.050048828125,2218.949951171875,2141.85009765625,2185.0,694448
2024-01-29,2235.809326171875,2256.449951171875,2278.35009765625,2221.0,2228.0,458573
2024-01-30,2239.376953125,2260.050048828125,2285.949951171875,2237.64990234375,2241.39990234375,290576
2024-01-31,2258.9462890625,2279.800048828125,2294.949951171875,2256.64990234375,2260.050048828125,298496
2024-02-01,2259.540771484375,2280.39990234375,2300.0,2266.5,2300.0,453265
2024-02-02,2238.435791015625,2259.10009765625,2300.0,2255.0,2300.0,247026
2024-02-05,2173.485107421875,2193.550048828125,2270.199951171875,2178.0,2259.10009765625,382206
2024-02-06,2169.719970703125,2189.75,2226.0,2180.800048828125,2214.85009765625,740253
2024-02-07,2150.943359375,2170.800048828125,2225.5,2160.800048828125,2225.5,147590
2024-02-08,2081.1376953125,2100.35009765625,2187.550048828125,2087.550048828125,2180.0,777828
2024-02-09,2107.7421875,2127.199951171875,2136.699951171875,2068.199951171875,2114.050048828125,311415
2024-02-12,2033.3785400390625,2052.14990234375,2149.0,2033.5,2149.0,379042
2024-02-13,2044.030029296875,2062.89990234375,2077.949951171875,2005.0,2077.89990234375,328542
2024-02-14,2032.5860595703125,2051.35009765625,2063.5,2027.050048828125,2032.199951171875,232957
2024-02-15,2027.631591796875,2046.3499755859375,2067.949951171875,2035.199951171875,2055.0,271961
2024-02-16,2065.53173828125,2084.60009765625,2116.64990234375,2051.39990234375,2051.5,435123
2024-02-19,2082.47509765625,2101.699951171875,2127.949951171875,2084.60009765625,2084.60009765625,292776
2024-02-20,2066.47314453125,2085.550048828125,2108.300048828125,2072.0,2101.699951171875,334011
2024-02-21,2067.860107421875,2086.949951171875,2126.89990234375,2075.60009765625,2080.0,430199
2024-02-22,2087.87548828125,2107.14990234375,2110.85009765625,2062.050048828125,2087.89990234375,620952
2024-02-23,2070.585205078125,2089.699951171875,2120.85009765625,2080.25,2120.0,432856
2024-02-26,2094.316162109375,2113.64990234375,2122.5,2081.199951171875,2094.449951171875,338763
2024-02-27,2053.69091796875,2072.64990234375,2114.14990234375,2065.60009765625,2102.0,362622
2024-02-28,1998.50048828125,2016.949951171875,2085.14990234375,2002.6500244140625,2070.0,249809
