date_,adj close_geship.ns,close_geship.ns,high_geship.ns,low_geship.ns,open_geship.ns,volume_geship.ns
2024-01-16,920.7994384765625,976.25,980.0,955.9500122070312,956.0,334653
2024-01-17,897.407958984375,951.4500122070312,986.0,943.5999755859375,968.8499755859375,612333
2024-01-18,904.8120727539062,959.2999877929688,970.2000122070312,935.0499877929688,951.0,302558
2024-01-19,911.791748046875,966.7000122070312,971.9500122070312,953.25,970.25,211926
2024-01-23,903.8217163085938,958.25,989.7000122070312,951.0,970.0,410384
2024-01-24,918.0169067382812,973.2999877929688,979.0,953.0999755859375,957.0,297282
2024-01-25,950.4630126953125,1007.7000122070312,1014.0,980.0,980.0,1047781
2024-01-29,972.7696533203125,1031.3499755859375,1043.9000244140625,1009.8499755859375,1020.0,832127
2024-01-30,934.52294921875,990.7999877929688,1034.949951171875,986.4000244140625,1032.0,416101
2024-01-31,934.2870483398438,990.5499877929688,1014.2999877929688,976.7999877929688,995.0,634218
2024-02-01,931.5989379882812,987.7000122070312,1002.0,961.0,979.9500122070312,528418
2024-02-02,909.9525756835938,964.75,1004.0,963.1500244140625,990.6500244140625,558281
2024-02-05,914.7628173828125,969.8499755859375,990.0,966.0499877929688,970.7999877929688,437694
2024-02-06,957.0182495117188,1014.6500244140625,1029.0,961.3499755859375,998.5499877929688,1153493
2024-02-07,942.162841796875,998.9000244140625,1023.4500122070312,995.5499877929688,1014.6500244140625,235247
2024-02-08,937.7769775390625,994.25,1014.0999755859375,991.0999755859375,1014.0999755859375,255100
2024-02-09,905.802490234375,960.3499755859375,999.0,937.0499877929688,998.0,378539
2024-02-12,881.9718017578125,928.9500122070312,968.0999755859375,914.1500244140625,955.0,359771
2024-02-13,889.7570190429688,937.1500244140625,955.0,920.0,928.9500122070312,342488
2024-02-14,890.7066650390625,938.1500244140625,954.7999877929688,925.2999877929688,934.1500244140625,251466
2024-02-15,905.2327270507812,953.4500122070312,968.0999755859375,941.5,943.0999755859375,189384
2024-02-16,899.48876953125,947.4000244140625,984.5999755859375,942.6500244140625,956.9500122070312,294408
2024-02-19,878.3165283203125,925.0999755859375,964.0499877929688,921.0,960.0999755859375,349876
2024-02-20,884.9624633789062,932.0999755859375,944.0,925.0,925.0999755859375,219374
2024-02-21,873.5693359375,920.0999755859375,943.0999755859375,917.0,935.0,166736
2024-02-22,876.3701171875,923.0499877929688,942.0,915.0,924.9000244140625,340524
2024-02-23,908.1286010742188,956.5,962.5,923.7000122070312,923.7000122070312,593881
2024-02-26,910.6919555664062,959.2000122070312,971.0499877929688,954.0499877929688,959.3499755859375,216833
2024-02-27,903.2389526367188,951.3499755859375,967.7000122070312,945.0,961.9500122070312,176944
2024-02-28,905.4701538085938,953.7000122070312,983.2999877929688,950.0,953.0,380695
2024-02-29,955.0302734375,1005.9000244140625,1013.4500122070312,953.7000122070312,953.7000122070312,1656773
2024-03-01,948.2893676757812,998.7999877929688,1022.2000122070312,990.5,1006.9000244140625,334322
2024-03-04,946.0108642578125,996.4000244140625,1009.0,985.5,1005.7000122070312,186237
2024-03-05,969.36669921875,1021.0,1052.0,997.0,1001.0999755859375,915491
2024-03-06,944.9663696289062,995.2999877929688,1030.0,981.7000122070312,1024.25,298542
2024-03-07,956.8816528320312,1007.8499755859375,1018.0,985.8499755859375,1002.9500122070312,188091
2024-03-11,920.1388549804688,969.1500244140625,1009.9000244140625,964.7999877929688,1002.0499877929688,203683
2024-03-12,892.3204956054688,939.8499755859375,977.4000244140625,936.0,970.4000244140625,345661
2024-03-13,863.6953125,909.7000122070312,969.1500244140625,890.0,942.4500122070312,330876
2024-03-14,920.4236450195312,969.4500122070312,975.0,905.0,909.0,323283
2024-03-15,946.43798828125,996.8499755859375,1000.0,953.0,971.9500122070312,389973
2024-03-18,963.14794921875,1014.4500122070312,1018.0,979.1500244140625,997.9500122070312,242304
2024-03-19,948.76416015625,999.2999877929688,1027.0,996.8499755859375,1014.0,202008
2024-03-20,928.63623046875,978.0999755859375,1000.5999755859375,972.2000122070312,999.7000122070312,127125
2024-03-21,933.8580322265625,983.5999755859375,997.5,977.0999755859375,983.0,197662
2024-03-22,944.634033203125,994.9500122070312,1008.7999877929688,977.0,979.9000244140625,150848
2024-03-26,921.040771484375,970.0999755859375,994.7000122070312,965.9000244140625,994.7000122070312,147756
