date_,adj close_irctc.ns,close_irctc.ns,high_irctc.ns,low_irctc.ns,open_irctc.ns,volume_irctc.ns
2024-01-16,929.0645751953125,949.6500244140625,971.5,935.1500244140625,970.0,5464749
2024-01-17,914.4386596679688,934.7000122070312,950.5,932.0,944.9000244140625,3782327
2024-01-18,907.1500854492188,927.25,944.0,870.2999877929688,935.0999755859375,6557942
2024-01-19,962.4742431640625,983.7999877929688,988.7999877929688,934.0499877929688,935.0,14486659
2024-01-23,915.074462890625,935.3499755859375,1046.9000244140625,926.6500244140625,1045.050048828125,15704924
2024-01-24,949.5603637695312,970.5999755859375,977.0,909.0999755859375,941.5,8909650
2024-01-25,949.2669067382812,970.2999877929688,989.9500122070312,959.0,975.5499877929688,6428039
2024-01-29,960.517578125,981.7999877929688,989.9000244140625,972.6500244140625,983.9000244140625,3870322
2024-01-30,943.1524047851562,964.0499877929688,986.6500244140625,961.1500244140625,986.3499755859375,2502690
2024-01-31,956.017333984375,977.2000122070312,981.9000244140625,965.0,968.9000244140625,2254800
2024-02-01,942.4185791015625,963.2999877929688,993.5,958.0499877929688,988.5,5130192
2024-02-02,946.527587890625,967.5,986.2999877929688,963.9000244140625,968.9500122070312,2803549
2024-02-05,926.1295776367188,946.6500244140625,972.7999877929688,941.1500244140625,971.9000244140625,3260389
2024-02-06,944.3263549804688,965.25,968.4000244140625,939.5,950.0,2521842
2024-02-07,934.053955078125,954.75,972.5999755859375,948.2999877929688,969.0,1956892
2024-02-08,923.8793334960938,944.3499755859375,958.5499877929688,941.7999877929688,957.5999755859375,1638646
2024-02-09,918.7921752929688,939.1500244140625,954.4000244140625,916.0,949.0999755859375,2482688
2024-02-12,880.5885620117188,900.0999755859375,947.0,894.0,941.9500122070312,3029950
2024-02-13,890.7142333984375,910.4500122070312,914.7000122070312,877.0,900.0999755859375,3906213
2024-02-14,909.0578002929688,929.2000122070312,934.0,897.2999877929688,915.5,4480920
2024-02-15,930.8743286132812,951.5,968.0,935.2000122070312,938.4500122070312,4532823
2024-02-16,920.2595825195312,940.6500244140625,959.8499755859375,937.0999755859375,957.0,2036667
2024-02-19,926.423095703125,946.9500122070312,956.75,939.5499877929688,942.0,2063916
2024-02-20,931.2658081054688,951.9000244140625,954.9000244140625,944.25,947.4000244140625,1723035
2024-02-21,905.6825561523438,925.75,959.5499877929688,922.0999755859375,952.6500244140625,2291737
2024-02-22,915.3679809570312,935.6500244140625,939.25,917.0999755859375,928.0999755859375,1724197
2024-02-23,943.9349975585938,964.8499755859375,971.0,944.1500244140625,947.2999877929688,7709557
2024-02-26,947.4080810546875,968.4000244140625,989.9000244140625,964.0,966.9500122070312,7397592
2024-02-27,932.0972900390625,952.75,974.0,948.1500244140625,968.9000244140625,2829201
2024-02-28,904.0194091796875,924.0499877929688,959.6500244140625,920.0,953.0,2972449
2024-02-29,907.296875,927.4000244140625,933.9500122070312,912.4000244140625,923.0,3232361
2024-03-01,909.1556396484375,929.2999877929688,938.0499877929688,927.0,934.0,1305118
2024-03-04,917.6670532226562,938.0,945.8499755859375,923.9500122070312,934.7999877929688,2010812
