date_,adj close_icicigi.ns,close_icicigi.ns,high_icicigi.ns,low_icicigi.ns,open_icicigi.ns,volume_icicigi.ns
2024-01-16,1355.7879638671875,1374.199951171875,1383.199951171875,1353.5,1372.800048828125,1288819
2024-01-17,1434.9627685546875,1454.449951171875,1476.0,1410.050048828125,1410.050048828125,5235862
2024-01-18,1420.755859375,1440.050048828125,1462.1500244140625,1423.0,1454.0,503202
2024-01-19,1467.0272216796875,1486.949951171875,1502.0,1434.9000244140625,1454.949951171875,1134043
2024-01-23,1459.381103515625,1479.199951171875,1499.75,1450.5999755859375,1490.0,1546007
2024-01-24,1488.28857421875,1508.5,1513.0,1472.25,1475.0,594375
2024-01-25,1462.3408203125,1482.199951171875,1509.949951171875,1476.050048828125,1508.5,324540
2024-01-29,1468.90185546875,1488.8499755859375,1495.8499755859375,1468.800048828125,1482.199951171875,374957
2024-01-30,1479.6064453125,1499.699951171875,1520.5,1484.9000244140625,1492.800048828125,805250
2024-01-31,1477.0413818359375,1497.0999755859375,1505.0,1489.8499755859375,1499.699951171875,506409
2024-02-01,1492.0869140625,1512.3499755859375,1517.5,1494.0999755859375,1498.550048828125,339207
2024-02-02,1478.96533203125,1499.050048828125,1524.0,1492.300048828125,1524.0,335712
2024-02-05,1498.253173828125,1518.5999755859375,1521.300048828125,1500.0,1500.0,379612
2024-02-06,1569.6337890625,1590.949951171875,1595.4000244140625,1519.0999755859375,1522.0,1019177
2024-02-07,1602.8331298828125,1624.5999755859375,1627.0999755859375,1595.1500244140625,1599.9000244140625,1029393
2024-02-08,1598.9852294921875,1620.699951171875,1640.449951171875,1612.0,1624.5999755859375,831036
2024-02-09,1616.4481201171875,1638.4000244140625,1644.199951171875,1607.0999755859375,1620.5999755859375,626195
2024-02-12,1593.65771484375,1615.300048828125,1659.550048828125,1611.550048828125,1650.0,644401
2024-02-13,1608.802001953125,1630.6500244140625,1647.0999755859375,1604.300048828125,1614.949951171875,669899
2024-02-14,1617.6322021484375,1639.5999755859375,1645.0,1600.0,1600.0,238109
2024-02-15,1627.4488525390625,1649.550048828125,1659.699951171875,1616.0,1639.5999755859375,329883
2024-02-16,1623.3543701171875,1645.4000244140625,1662.949951171875,1638.5,1654.800048828125,783069
2024-02-19,1620.9371337890625,1642.949951171875,1649.75,1635.050048828125,1645.5,661296
2024-02-20,1626.856689453125,1648.949951171875,1656.4000244140625,1627.300048828125,1632.0,894551
2024-02-21,1622.515869140625,1644.550048828125,1667.0,1640.0,1658.9000244140625,511833
2024-02-22,1624.1929931640625,1646.25,1652.699951171875,1621.0,1635.5,394970
2024-02-23,1617.2867431640625,1639.25,1654.800048828125,1621.1500244140625,1654.800048828125,301727
2024-02-26,1628.4354248046875,1650.550048828125,1665.0,1630.050048828125,1640.0,347806
2024-02-27,1703.6143798828125,1726.75,1734.0,1657.25,1665.0999755859375,3828778
2024-02-28,1701.34521484375,1724.449951171875,1734.9000244140625,1688.449951171875,1726.0,2135960
2024-02-29,1688.8153076171875,1711.75,1724.449951171875,1670.800048828125,1720.0,3109844
2024-03-01,1621.8250732421875,1643.8499755859375,1724.4000244140625,1635.050048828125,1724.4000244140625,1532835
2024-03-04,1627.9913330078125,1650.0999755859375,1654.9000244140625,1625.0999755859375,1651.949951171875,861437
2024-03-05,1630.3099365234375,1652.449951171875,1660.0,1642.0,1650.050048828125,665170
2024-03-06,1633.614990234375,1655.800048828125,1670.6500244140625,1633.050048828125,1653.9000244140625,850658
2024-03-07,1643.826416015625,1666.1500244140625,1670.0,1639.3499755859375,1645.0999755859375,907857
2024-03-11,1632.1844482421875,1654.3499755859375,1699.0,1645.0999755859375,1666.1500244140625,589504
2024-03-12,1638.843994140625,1661.0999755859375,1694.4000244140625,1629.199951171875,1654.3499755859375,1272822
