date_,adj close_eihotel.ns,close_eihotel.ns,high_eihotel.ns,low_eihotel.ns,open_eihotel.ns,volume_eihotel.ns
2024-01-16,287.3193664550781,289.25,294.5,285.04998779296875,292.3999938964844,1092399
2024-01-17,281.458740234375,283.3500061035156,289.29998779296875,280.95001220703125,286.0,925643
2024-01-18,283.7930908203125,285.70001220703125,290.3500061035156,274.3999938964844,283.1499938964844,1198154
2024-01-19,286.52471923828125,288.45001220703125,292.8999938964844,283.1000061035156,288.79998779296875,1208428
2024-01-23,293.4779968261719,295.45001220703125,316.75,293.45001220703125,304.0,3744314
2024-01-24,306.63958740234375,308.70001220703125,315.79998779296875,297.29998779296875,298.0,1689278
2024-01-25,308.3778991699219,310.45001220703125,314.95001220703125,307.04998779296875,307.6000061035156,2649598
2024-01-29,321.2414245605469,323.3999938964844,325.1000061035156,309.5,312.5,1612460
2024-01-30,317.2184753417969,319.3500061035156,324.29998779296875,314.1000061035156,323.6000061035156,709088
2024-01-31,325.6617431640625,327.8500061035156,329.70001220703125,319.6000061035156,321.6499938964844,1177235
2024-02-01,325.11541748046875,327.29998779296875,329.6499938964844,323.0,329.04998779296875,379362
2024-02-02,336.7373046875,339.0,342.0,326.54998779296875,330.0,1792796
2024-02-05,341.9522705078125,344.25,347.79998779296875,335.5,339.0,1183958
2024-02-06,353.0775451660156,355.45001220703125,358.6000061035156,344.3999938964844,348.20001220703125,1145312
2024-02-07,422.1632995605469,425.0,426.5,383.1000061035156,396.0,15186206
2024-02-08,411.3857116699219,414.1499938964844,425.0,407.25,425.0,2398325
2024-02-09,404.7801208496094,407.5,421.29998779296875,386.29998779296875,412.95001220703125,889558
2024-02-12,388.48956298828125,391.1000061035156,411.8999938964844,385.3500061035156,404.0,675226
2024-02-13,385.708251953125,388.29998779296875,399.0,360.0,391.1000061035156,852864
2024-02-14,389.28424072265625,391.8999938964844,415.29998779296875,380.6499938964844,390.8999938964844,649775
2024-02-15,406.8164367675781,409.54998779296875,414.0,393.1000061035156,396.45001220703125,630844
2024-02-16,392.0655822753906,394.70001220703125,413.79998779296875,392.5,411.0,852020
2024-02-19,402.0981140136719,404.79998779296875,412.5,395.25,403.0,562950
2024-02-20,395.6415100097656,398.29998779296875,485.75,390.04998779296875,403.0,6094323
2024-02-21,397.9261474609375,400.6000061035156,423.0,395.5,400.0,3182518
2024-02-22,394.74749755859375,397.3999938964844,409.8999938964844,390.0,402.95001220703125,1293748
2024-02-23,404.631103515625,407.3500061035156,411.70001220703125,397.1499938964844,399.95001220703125,812080
2024-02-26,402.1477966308594,404.8500061035156,414.75,398.25,405.0,739604
2024-02-27,395.6911926269531,398.3500061035156,407.5,395.0,402.0,451726
2024-02-28,391.320556640625,393.95001220703125,401.29998779296875,391.29998779296875,399.20001220703125,1981369
2024-02-29,401.2538146972656,403.95001220703125,407.25,384.3500061035156,392.0,1703605
2024-03-01,403.38946533203125,406.1000061035156,413.29998779296875,402.8500061035156,406.79998779296875,550750
2024-03-04,410.8890686035156,413.6499938964844,428.3500061035156,407.0,409.8500061035156,1482101
2024-03-05,424.0506286621094,426.8999938964844,431.0,413.6499938964844,415.5,1476862
2024-03-06,425.19293212890625,428.04998779296875,432.0,415.8500061035156,430.0,1822143
2024-03-07,422.0142822265625,424.8500061035156,429.6499938964844,420.04998779296875,427.0,424098
2024-03-11,411.7333984375,414.5,429.6499938964844,411.5,428.25,511825
2024-03-12,403.5384521484375,406.25,418.8999938964844,402.0,418.8999938964844,373764
2024-03-13,383.3739318847656,385.95001220703125,410.0,365.75,401.70001220703125,1145050
2024-03-14,417.1966552734375,420.0,426.8999938964844,377.3500061035156,380.1000061035156,875213
2024-03-15,414.266357421875,417.04998779296875,429.0,400.0,426.0,514050
2024-03-18,402.346435546875,405.04998779296875,419.0,402.3999938964844,417.04998779296875,285234
2024-03-19,395.88983154296875,398.54998779296875,408.5,396.0,404.79998779296875,172102
2024-03-20,413.4717102050781,416.25,421.0,396.5,398.0,588462
2024-03-21,416.35235595703125,419.1499938964844,422.8999938964844,415.1000061035156,416.5,240699
2024-03-22,418.9349670410156,421.75,425.0,415.95001220703125,420.0,361432
2024-03-26,439.5464782714844,442.5,448.45001220703125,425.04998779296875,428.0,1335045
2024-03-27,436.8645324707031,439.79998779296875,456.70001220703125,430.3500061035156,449.79998779296875,1078430
2024-03-28,446.4997863769531,449.5,473.8999938964844,441.0,441.0,1555171
2024-04-01,471.730224609375,474.8999938964844,484.20001220703125,461.25,464.75,1356315
2024-04-02,461.3500061035156,464.45001220703125,487.70001220703125,446.5,478.75,1403342
