date_,adj close_cams.ns,close_cams.ns,high_cams.ns,low_cams.ns,open_cams.ns,volume_cams.ns
2024-01-16,551.349853515625,569.5399780273438,573.3300170898438,564.0,569.989990234375,1476255
2024-01-17,546.7611694335938,564.7999877929688,574.4000244140625,559.8099975585938,567.7999877929688,1319465
2024-01-18,542.7244873046875,560.6300048828125,563.2899780273438,543.22998046875,561.0,1420415
2024-01-19,543.0244750976562,560.9400024414062,565.6199951171875,555.4000244140625,563.2000122070312,864270
2024-01-23,530.488037109375,547.989990234375,556.9600219726562,540.6199951171875,556.2000122070312,1044275
2024-01-24,529.123046875,546.5800170898438,555.8900146484375,532.1199951171875,540.2000122070312,4110335
2024-01-25,531.8917846679688,549.4400024414062,553.0,541.4000244140625,546.989990234375,373895
2024-01-29,530.9334106445312,548.4500122070312,549.489990234375,541.5399780273438,543.0,658005
2024-01-30,536.5965576171875,554.2999877929688,567.0,548.5999755859375,548.6099853515625,1478215
2024-01-31,560.8949584960938,579.4000244140625,586.969970703125,557.0,559.5900268554688,3434910
2024-02-01,557.6131591796875,576.010009765625,586.75,571.2100219726562,586.75,934020
2024-02-02,558.6199340820312,577.0499877929688,585.47998046875,574.2000122070312,576.0800170898438,1415990
2024-02-05,561.15625,579.6699829101562,592.0,578.1900024414062,580.0,1681400
2024-02-06,569.6752319335938,588.469970703125,597.0,578.4000244140625,579.6699829101562,3236865
2024-02-07,552.1824340820312,570.4000244140625,595.760009765625,565.5999755859375,592.0,2284495
2024-02-08,568.8136596679688,587.5800170898438,604.989990234375,571.0,571.0,2958385
2024-02-09,562.4921264648438,581.0499877929688,596.3900146484375,574.0,589.2100219726562,909630
2024-02-12,553.1311645507812,571.3800048828125,592.6300048828125,562.9600219726562,585.7999877929688,1151900
2024-02-13,547.1000366210938,565.1500244140625,573.4099731445312,555.3300170898438,569.0399780273438,1323935
2024-02-14,549.897705078125,568.0399780273438,570.239990234375,557.719970703125,558.0,555500
2024-02-15,563.3150634765625,581.9000244140625,584.0,569.5999755859375,569.5999755859375,859250
2024-02-16,561.8861083984375,578.030029296875,583.9500122070312,572.4299926757812,583.0,567930
2024-02-19,561.3611450195312,577.489990234375,580.2999877929688,570.4600219726562,577.7999877929688,559985
2024-02-20,556.306396484375,572.2899780273438,583.5999755859375,568.6400146484375,578.7999877929688,1197380
2024-02-21,581.2108154296875,597.9099731445312,607.989990234375,572.7000122070312,573.5999755859375,3993310
