date_,adj close_tatacomm.ns,close_tatacomm.ns,high_tatacomm.ns,low_tatacomm.ns,open_tatacomm.ns,volume_tatacomm.ns
2024-01-16,1690.8154296875,1731.6500244140625,1764.0,1716.9000244140625,1749.949951171875,555077
2024-01-17,1657.4705810546875,1697.5,1740.0,1688.5,1715.0,941316
2024-01-18,1727.870361328125,1769.5999755859375,1801.949951171875,1690.800048828125,1697.0,4604722
2024-01-19,1696.771484375,1737.75,1804.9000244140625,1718.300048828125,1800.050048828125,3493574
2024-01-23,1663.9149169921875,1704.0999755859375,1757.800048828125,1692.199951171875,1740.0,868651
2024-01-24,1687.8861083984375,1728.6500244140625,1731.1500244140625,1690.800048828125,1709.300048828125,420843
2024-01-25,1676.1202392578125,1716.5999755859375,1731.550048828125,1703.5,1728.6500244140625,365596
2024-01-29,1673.09326171875,1713.5,1726.8499755859375,1706.550048828125,1713.0999755859375,436769
2024-01-30,1663.4755859375,1703.6500244140625,1728.949951171875,1700.0999755859375,1716.800048828125,327585
2024-01-31,1696.0880126953125,1737.050048828125,1741.800048828125,1701.800048828125,1710.5,454051
2024-02-01,1664.1103515625,1704.300048828125,1743.6500244140625,1692.0,1743.6500244140625,401889
2024-02-02,1658.642333984375,1698.699951171875,1725.0,1696.550048828125,1710.0,376792
2024-02-05,1643.458984375,1683.1500244140625,1712.300048828125,1676.800048828125,1705.0,410131
2024-02-06,1664.8426513671875,1705.050048828125,1708.0999755859375,1671.550048828125,1683.1500244140625,498733
2024-02-07,1654.0531005859375,1694.0,1715.0,1682.300048828125,1715.0,167847
2024-02-08,1718.350341796875,1759.8499755859375,1772.800048828125,1700.4000244140625,1700.4000244140625,2131671
2024-02-09,1719.32666015625,1760.8499755859375,1775.050048828125,1718.0,1770.949951171875,808998
2024-02-12,1684.2244873046875,1724.9000244140625,1782.449951171875,1712.949951171875,1768.6500244140625,368071
2024-02-13,1704.9244384765625,1746.0999755859375,1750.449951171875,1705.0,1725.949951171875,373890
2024-02-14,1711.368896484375,1752.699951171875,1759.0,1722.0,1722.0,256106
2024-02-15,1713.12646484375,1754.5,1766.949951171875,1738.0,1758.949951171875,243156
