date_,adj close_jindalstel.ns,close_jindalstel.ns,high_jindalstel.ns,low_jindalstel.ns,open_jindalstel.ns,volume_jindalstel.ns
2024-01-16,746.7027587890625,749.75,756.9500122070312,729.0,735.6500244140625,2676909
2024-01-17,719.1651611328125,722.0999755859375,739.9500122070312,718.0,739.9500122070312,2797056
2024-01-18,716.7749633789062,719.7000122070312,728.2000122070312,701.0999755859375,722.0,1775563
2024-01-19,726.2860717773438,729.25,733.0,721.0499877929688,725.0,1551868
2024-01-23,691.8267822265625,694.6500244140625,738.0,692.0,736.0,1346480
2024-01-24,703.4293823242188,706.2999877929688,711.5499877929688,687.7999877929688,696.3499755859375,2874944
2024-01-25,713.3887329101562,716.2999877929688,719.5,700.3499755859375,712.8499755859375,1861827
2024-01-29,727.780029296875,730.75,733.8499755859375,715.0,723.0,2034288
2024-01-30,743.167236328125,746.2000122070312,760.9500122070312,731.0499877929688,731.0499877929688,3228263
2024-01-31,754.07275390625,757.1500244140625,763.5499877929688,747.0,748.0,1920453
2024-02-01,739.4324951171875,742.4500122070312,769.0,732.8499755859375,766.75,3539486
2024-02-02,772.8461303710938,776.0,782.2000122070312,746.2000122070312,747.0,5419790
2024-02-05,759.9984741210938,763.0999755859375,781.9000244140625,758.0499877929688,781.9000244140625,3291771
2024-02-06,778.0249633789062,781.2000122070312,784.8499755859375,751.0999755859375,768.0,2564978
2024-02-07,777.4772338867188,780.6500244140625,804.4500122070312,776.5999755859375,789.0499877929688,3673374
2024-02-08,773.792236328125,776.9500122070312,795.0,770.0499877929688,784.7999877929688,2204316
2024-02-09,758.3552856445312,761.4500122070312,776.9500122070312,741.8499755859375,775.5,1878921
2024-02-12,740.4782104492188,743.5,770.9000244140625,737.3499755859375,761.4500122070312,1413841
2024-02-13,733.556396484375,736.5499877929688,743.0,708.7000122070312,743.0,2298299
2024-02-14,755.0686645507812,758.1500244140625,760.6500244140625,720.0,720.0,2320373
2024-02-15,762.0900268554688,765.2000122070312,773.9500122070312,755.5,763.0,2095811
2024-02-16,766.37255859375,769.5,779.5999755859375,766.1500244140625,769.0,1192225
2024-02-19,755.9151611328125,759.0,773.9500122070312,757.0499877929688,772.0,1242531
2024-02-20,756.9111328125,760.0,768.0,753.0,763.0,1719670
2024-02-21,768.3644409179688,771.5,785.0,761.8499755859375,773.0,3824236
2024-02-22,780.5148315429688,783.7000122070312,787.5,774.2000122070312,777.5999755859375,3526557
2024-02-23,783.353271484375,786.5499877929688,795.7999877929688,784.0999755859375,791.5,3093797
2024-02-26,768.1651611328125,771.2999877929688,787.3499755859375,768.0,787.0999755859375,1209173
2024-02-27,772.9456176757812,776.0999755859375,785.0,768.7999877929688,774.4000244140625,1359840
2024-02-28,752.180419921875,755.25,781.4000244140625,752.8499755859375,778.0499877929688,973881
2024-02-29,773.0950927734375,776.25,779.5999755859375,755.9500122070312,758.0499877929688,2501678
2024-03-01,819.5056762695312,822.8499755859375,825.0,775.4500122070312,780.5,5256259
