date_,adj close_kei.ns,close_kei.ns,high_kei.ns,low_kei.ns,open_kei.ns,volume_kei.ns
2024-01-16,3056.506591796875,3062.75,3079.800048828125,3015.75,3034.0,400705
2024-01-17,3143.528564453125,3149.949951171875,3164.0,3020.0,3050.0,345298
2024-01-18,3133.998046875,3140.39990234375,3168.10009765625,3057.699951171875,3143.050048828125,333355
2024-01-19,3106.50439453125,3112.85009765625,3159.0,3026.949951171875,3147.0,369313
2024-01-23,3008.105224609375,3014.25,3142.050048828125,2977.050048828125,3029.0,355554
2024-01-24,3307.99267578125,3314.75,3360.0,2994.35009765625,3050.0,1351575
2024-01-25,3176.511474609375,3183.0,3318.0,3161.5,3318.0,342393
2024-01-29,3186.640625,3193.14990234375,3221.75,3119.050048828125,3199.800048828125,285287
2024-01-30,3055.7080078125,3061.949951171875,3249.89990234375,3040.0,3228.64990234375,330910
2024-01-31,3186.5908203125,3193.10009765625,3215.0,3050.0,3080.89990234375,300884
2024-02-01,3152.111328125,3158.550048828125,3217.699951171875,3135.10009765625,3217.699951171875,89462
2024-02-02,3194.275146484375,3200.800048828125,3240.0,3161.35009765625,3178.0,152460
2024-02-05,3166.182373046875,3172.64990234375,3204.050048828125,3135.0,3200.75,92970
2024-02-06,3253.25439453125,3259.89990234375,3295.60009765625,3184.050048828125,3188.550048828125,258068
2024-02-07,3288.532470703125,3295.25,3319.0,3240.14990234375,3269.5,120893
2024-02-08,3221.76904296875,3228.35009765625,3369.800048828125,3218.89990234375,3300.0,177028
2024-02-09,3313.232177734375,3320.0,3339.0,3184.5,3260.0,213348
2024-02-12,3214.08447265625,3220.64990234375,3348.89990234375,3200.0,3348.89990234375,114560
2024-02-13,3298.51220703125,3305.25,3326.800048828125,3180.0,3225.0,116487
2024-02-14,3301.15673828125,3307.89990234375,3319.949951171875,3201.0,3250.0,90283
2024-02-15,3321.91455078125,3328.699951171875,3359.10009765625,3296.89990234375,3317.75,98488
2024-02-16,3267.824951171875,3274.5,3378.449951171875,3268.75,3331.0,174215
2024-02-19,3269.471435546875,3276.14990234375,3309.89990234375,3200.050048828125,3281.0,148258
2024-02-20,3284.291259765625,3291.0,3300.39990234375,3252.800048828125,3275.0,120005
2024-02-21,3203.905517578125,3210.449951171875,3299.699951171875,3200.0,3294.050048828125,110341
2024-02-22,3109.847412109375,3116.199951171875,3222.75,3100.0,3222.75,210071
2024-02-23,3153.358642578125,3159.800048828125,3196.89990234375,3092.550048828125,3136.25,304576
2024-02-26,3177.1103515625,3183.60009765625,3204.60009765625,3128.0,3159.800048828125,231860
2024-02-27,3255.4501953125,3262.10009765625,3290.0,3165.10009765625,3180.0,197113
2024-02-28,3261.38818359375,3268.050048828125,3314.75,3238.449951171875,3280.0,139443
2024-02-29,3204.204833984375,3210.75,3283.14990234375,3195.0,3269.949951171875,177010
2024-03-01,3200.612060546875,3207.14990234375,3249.949951171875,3195.0,3230.0,82358
2024-03-04,3413.427490234375,3420.39990234375,3444.949951171875,3206.39990234375,3215.89990234375,574464
2024-03-05,3375.355224609375,3382.25,3438.75,3358.60009765625,3422.14990234375,170976
2024-03-06,3349.70751953125,3356.550048828125,3397.199951171875,3225.0,3379.949951171875,224695
2024-03-07,3387.82958984375,3394.75,3410.0,3293.550048828125,3356.550048828125,198796
2024-03-11,3345.96533203125,3352.800048828125,3475.0,3326.0,3439.60009765625,176591
2024-03-12,3260.090576171875,3266.75,3378.050048828125,3260.050048828125,3359.89990234375,94662
2024-03-13,2999.423095703125,3005.550048828125,3283.949951171875,2950.050048828125,3266.75,362409
2024-03-14,3091.33544921875,3097.64990234375,3144.699951171875,2900.10009765625,3003.5,321260
2024-03-15,3211.340087890625,3217.89990234375,3275.0,3060.10009765625,3103.85009765625,309103
2024-03-18,3177.658935546875,3184.14990234375,3221.550048828125,3112.5,3214.89990234375,193304
2024-03-19,3298.4453125,3301.550048828125,3324.949951171875,3169.64990234375,3185.25,399577
2024-03-20,3416.8837890625,3420.10009765625,3432.0,3206.60009765625,3300.10009765625,407532
2024-03-21,3401.89794921875,3405.10009765625,3464.949951171875,3340.39990234375,3440.0,362859
2024-03-22,3419.73095703125,3422.949951171875,3472.75,3367.35009765625,3405.10009765625,143188
2024-03-26,3470.583251953125,3473.85009765625,3510.0,3362.0,3422.949951171875,175861
2024-03-27,3473.031005859375,3476.300048828125,3593.0,3437.449951171875,3530.0,566239
2024-03-28,3456.546630859375,3459.800048828125,3530.0,3428.14990234375,3524.0,121508
2024-04-01,3496.908447265625,3500.199951171875,3624.699951171875,3444.85009765625,3465.0,291555
2024-04-02,3502.4033203125,3505.699951171875,3573.449951171875,3466.0,3504.800048828125,225687
2024-04-03,3463.09033203125,3466.35009765625,3564.050048828125,3436.199951171875,3502.89990234375,245999
2024-04-04,3583.576904296875,3586.949951171875,3602.0,3437.800048828125,3477.800048828125,252338
2024-04-05,3570.8388671875,3574.199951171875,3667.39990234375,3508.0,3589.0,246902
2024-04-08,3760.46044921875,3764.0,3817.0,3600.050048828125,3600.050048828125,508093
2024-04-09,3696.920166015625,3700.39990234375,3807.949951171875,3662.0,3807.949951171875,252824
2024-04-10,3797.8251953125,3801.39990234375,3830.0,3709.75,3737.0,226878
2024-04-12,3988.79541015625,3992.550048828125,4043.0,3804.14990234375,3804.14990234375,872342
2024-04-15,4001.383544921875,4005.14990234375,4039.0,3788.75,3930.0,601366
2024-04-16,3845.580322265625,3849.199951171875,3976.949951171875,3836.0,3947.14990234375,372639
2024-04-18,3789.13330078125,3792.699951171875,3927.75,3771.949951171875,3842.050048828125,369685
2024-04-19,3755.61474609375,3759.14990234375,3884.35009765625,3751.0,3758.949951171875,199296
2024-04-22,3814.659423828125,3818.25,3855.0,3731.85009765625,3798.0,160608
2024-04-23,4012.97265625,4016.75,4049.89990234375,3840.14990234375,3862.39990234375,487913
2024-04-24,3945.33642578125,3949.050048828125,4117.0,3929.14990234375,4006.800048828125,224574
2024-04-25,3914.46533203125,3918.14990234375,3964.60009765625,3897.0,3955.0,135590
2024-04-26,3893.485107421875,3897.14990234375,3956.89990234375,3855.0,3919.0,107344
2024-04-29,3842.4833984375,3846.10009765625,3964.0,3812.35009765625,3950.0,173482
2024-04-30,3991.8427734375,3995.60009765625,4030.0,3870.0,3884.14990234375,293819
2024-05-02,3995.239501953125,3999.0,4073.89990234375,3957.60009765625,4046.0,233416
2024-05-03,3889.189208984375,3892.85009765625,4102.0,3880.0,4100.0,561539
2024-05-06,3794.578125,3798.14990234375,3939.0,3762.25,3939.0,263366
2024-05-07,3831.143798828125,3834.75,3860.0,3770.199951171875,3828.0,218127
