date_,adj close_supremeind.ns,close_supremeind.ns,high_supremeind.ns,low_supremeind.ns,open_supremeind.ns,volume_supremeind.ns
2024-01-16,4104.2021484375,4162.89990234375,4239.85009765625,4140.0,4181.0498046875,105065
2024-01-17,4005.31689453125,4062.60009765625,4135.9501953125,4050.0,4135.0,77970
2024-01-18,3869.163818359375,3924.5,4059.0,3911.0,4059.0,170956
2024-01-19,4065.358154296875,4123.5,4194.7001953125,3925.199951171875,3970.0,664795
2024-01-23,4103.95654296875,4162.64990234375,4234.0,4075.050048828125,4130.0,437848
2024-01-24,4045.68896484375,4103.5498046875,4150.0,4051.0,4150.0,172155
2024-01-25,3958.239990234375,4014.85009765625,4103.4501953125,3985.10009765625,4103.4501953125,152664
2024-01-29,4109.57568359375,4168.35009765625,4175.0,4005.0,4033.0,129389
2024-01-30,4151.03271484375,4210.39990234375,4238.9501953125,4142.5,4159.0498046875,148586
2024-01-31,4071.717041015625,4129.9501953125,4223.9501953125,4083.35009765625,4210.0,239012
2024-02-01,4013.154541015625,4070.550048828125,4140.25,4040.0,4129.0,121930
2024-02-02,4079.357666015625,4137.7001953125,4149.5,4025.0,4070.550048828125,64558
2024-02-05,4116.77197265625,4175.64990234375,4198.14990234375,4116.4501953125,4135.5,86647
2024-02-06,4090.251953125,4148.75,4175.64990234375,4126.0,4174.4501953125,64070
2024-02-07,4124.61083984375,4183.60009765625,4197.14990234375,4126.0,4126.0,161758
2024-02-08,4051.40771484375,4109.35009765625,4212.9501953125,4088.5,4204.5,63542
2024-02-09,3997.03515625,4054.199951171875,4149.9501953125,4023.60009765625,4114.9501953125,118865
2024-02-12,3880.3046875,3935.800048828125,4083.60009765625,3910.0,4059.449951171875,75400
2024-02-13,3859.009033203125,3914.199951171875,3962.75,3841.0,3956.0,164605
2024-02-14,3743.264404296875,3796.800048828125,3909.60009765625,3785.0,3909.60009765625,114859
2024-02-15,3750.264404296875,3803.89990234375,3861.5,3784.050048828125,3820.550048828125,105379
2024-02-16,3900.17041015625,3955.949951171875,3980.0,3800.0,3800.0,198581
2024-02-19,3999.155029296875,4056.35009765625,4095.550048828125,3951.0,4012.949951171875,111700
2024-02-20,4009.408203125,4066.75,4090.300048828125,3983.35009765625,4077.699951171875,75726
2024-02-21,3902.388427734375,3958.199951171875,4068.89990234375,3926.0,4068.89990234375,89096
2024-02-22,3776.932861328125,3830.949951171875,4001.0,3629.050048828125,3957.0,232309
2024-02-23,3994.61962890625,4051.75,4075.0,3900.0,3910.89990234375,192111
2024-02-26,4030.30908203125,4087.949951171875,4111.4501953125,3987.25,4051.75,129468
2024-02-27,4115.8857421875,4174.75,4220.0,4051.5,4088.0,136720
2024-02-28,4060.4775390625,4118.5498046875,4198.7001953125,4070.050048828125,4174.75,335337
2024-02-29,4092.07568359375,4150.60009765625,4220.0,3983.300048828125,4092.64990234375,287549
2024-03-01,4069.1044921875,4127.2998046875,4154.0,4096.7001953125,4139.0,83612
2024-03-04,3990.5283203125,4047.60009765625,4190.0,4029.0,4161.2001953125,89374
2024-03-05,3895.388916015625,3951.10009765625,4047.0,3916.35009765625,4040.300048828125,117797
2024-03-06,3910.818359375,3966.75,4013.35009765625,3910.0,3951.10009765625,90322
2024-03-07,3839.537353515625,3894.449951171875,3966.5,3878.050048828125,3966.10009765625,113516
2024-03-11,3971.1552734375,4027.949951171875,4044.85009765625,3881.0,3881.0,117377
2024-03-12,3865.466796875,3920.75,4003.800048828125,3876.050048828125,4003.800048828125,77655
2024-03-13,3666.758544921875,3719.199951171875,3925.85009765625,3601.0,3900.10009765625,244268
2024-03-14,3932.606689453125,3988.85009765625,4045.0,3654.449951171875,3719.199951171875,278942
2024-03-15,3845.69970703125,3900.699951171875,4004.949951171875,3820.0,3981.35009765625,335277
2024-03-18,3757.658447265625,3811.39990234375,3896.39990234375,3778.0,3874.050048828125,92109
2024-03-19,3776.094970703125,3830.10009765625,3889.0,3770.300048828125,3820.0,80539
2024-03-20,3790.98193359375,3845.199951171875,3870.0,3732.10009765625,3850.0,109814
2024-03-21,3902.043701171875,3957.85009765625,4024.39990234375,3843.0,3888.0,152508
2024-03-22,3874.882080078125,3930.300048828125,3961.949951171875,3877.050048828125,3930.0,85415
2024-03-26,3894.403076171875,3950.10009765625,3968.0,3835.0,3919.35009765625,125739
2024-03-27,4110.857421875,4169.64990234375,4206.0,3940.14990234375,3960.0,290934
2024-03-28,4172.525390625,4232.2001953125,4265.0,4050.0,4150.2001953125,184571
2024-04-01,4113.51953125,4172.35009765625,4307.4501953125,4151.0,4249.89990234375,113371
