date_,adj close_newgen.ns,close_newgen.ns,high_newgen.ns,low_newgen.ns,open_newgen.ns,volume_newgen.ns
2024-01-16,892.4948120117188,900.2999877929688,901.0499877929688,850.0,880.0,425034
2024-01-17,863.6470947265625,871.2000122070312,895.0,855.9000244140625,895.0,238040
2024-01-18,827.8104248046875,835.0499877929688,868.0,827.6500244140625,868.0,150244
2024-01-19,826.422607421875,833.6500244140625,860.9000244140625,820.0,858.0,108998
2024-01-23,807.6864624023438,814.75,830.0,794.0,825.0,295022
2024-01-24,821.3173217773438,828.5,833.0,785.0999755859375,820.0,197549
2024-01-25,853.0894165039062,860.5499877929688,865.0,832.0,832.0,420852
2024-01-29,837.1785888671875,844.5,869.9000244140625,831.0,865.0,182467
2024-01-30,836.3359375,843.6500244140625,860.0,835.0,859.9000244140625,69621
2024-01-31,842.4325561523438,849.7999877929688,850.0,819.0,840.0,157865
2024-02-01,856.1129150390625,863.5999755859375,878.9500122070312,844.0,867.0,201860
2024-02-02,836.7820434570312,844.0999755859375,867.0,835.0,863.5999755859375,99256
2024-02-05,801.6889038085938,808.7000122070312,850.0,802.0,844.0999755859375,169939
2024-02-06,834.353271484375,841.6500244140625,849.0,790.0499877929688,808.7000122070312,255556
2024-02-07,814.5762329101562,821.7000122070312,857.0,819.9500122070312,857.0,84784
2024-02-08,799.5079956054688,806.5,836.0,790.0,821.7000122070312,157247
2024-02-09,790.1399536132812,797.0499877929688,806.5,767.0,791.0,129999
2024-02-12,750.6354370117188,757.2000122070312,797.0499877929688,757.2000122070312,797.0499877929688,120389
2024-02-13,713.113525390625,719.3499755859375,757.0,719.3499755859375,757.0,150138
2024-02-14,729.0244140625,735.4000244140625,744.0,685.1500244140625,699.8499755859375,213379
2024-02-15,764.1669921875,770.8499755859375,772.1500244140625,746.8499755859375,758.0,246623
2024-02-16,781.317138671875,788.1500244140625,804.9000244140625,774.4000244140625,804.9000244140625,263399
2024-02-19,747.9092407226562,754.4500122070312,785.0,748.75,774.4000244140625,198700
2024-02-20,743.4483032226562,749.9500122070312,782.7000122070312,740.0,751.0,205986
2024-02-21,753.4111328125,760.0,765.0,742.0,747.9500122070312,96645
2024-02-22,756.4841918945312,763.0999755859375,764.25,742.3499755859375,742.3499755859375,102565
2024-02-23,794.3035278320312,801.25,801.25,769.0,775.0,295815
2024-02-26,822.7546997070312,829.9500122070312,845.0,812.0,830.0,325879
2024-02-27,822.6555786132812,829.8499755859375,846.0,820.5499877929688,830.0,165696
2024-02-28,782.1101684570312,788.9500122070312,834.0,776.25,830.0,162207
2024-02-29,841.7882690429688,849.1500244140625,861.9000244140625,788.8499755859375,788.9000244140625,593788
2024-03-01,826.47216796875,833.7000122070312,870.0,823.0499877929688,861.8499755859375,189695
2024-03-04,846.00146484375,853.4000244140625,868.0,844.0,862.9500122070312,200292
2024-03-05,844.9605102539062,852.3499755859375,894.9000244140625,835.0,859.4000244140625,363912
2024-03-06,796.8809204101562,803.8499755859375,856.8499755859375,790.0,852.3499755859375,335124
2024-03-07,780.2265625,787.0499877929688,815.0,778.0,803.7999877929688,171881
2024-03-11,739.28466796875,745.75,804.9500122070312,735.0,804.9500122070312,333510
2024-03-12,756.8807373046875,763.5,774.0,714.0999755859375,755.0,390191
2024-03-13,709.148193359375,715.3499755859375,785.0,710.0,785.0,289285
2024-03-14,725.3564453125,731.7000122070312,747.9500122070312,676.0499877929688,676.0499877929688,165179
2024-03-15,730.2139892578125,736.5999755859375,769.0999755859375,688.0,742.0,2075683
