date_,adj close_eris.ns,close_eris.ns,high_eris.ns,low_eris.ns,open_eris.ns,volume_eris.ns
2024-01-16,898.2999877929688,903.4000244140625,928.0499877929688,886.7999877929688,924.0999755859375,43428
2024-01-17,898.0016479492188,903.0999755859375,909.9000244140625,867.0,899.5,52730
2024-01-18,888.3564453125,893.4000244140625,902.9500122070312,878.25,892.3499755859375,47446
2024-01-19,886.1688232421875,891.2000122070312,915.4000244140625,888.4500122070312,899.9500122070312,45984
2024-01-23,875.0320434570312,880.0,898.1500244140625,872.5999755859375,893.9500122070312,45481
2024-01-24,891.4389038085938,896.5,907.0499877929688,867.5499877929688,875.0,187770
2024-01-25,884.3790283203125,889.4000244140625,910.5,874.0,910.0,68533
2024-01-29,908.5418090820312,913.7000122070312,935.0,893.0,893.7999877929688,979254
2024-01-30,912.1214599609375,917.2999877929688,940.0499877929688,911.2999877929688,912.9500122070312,475105
2024-01-31,911.077392578125,916.25,939.7000122070312,906.0,924.2000122070312,2278260
2024-02-01,901.5316162109375,906.6500244140625,929.0999755859375,902.5,929.0999755859375,165577
2024-02-02,887.0140380859375,892.0499877929688,929.7000122070312,882.3499755859375,912.0499877929688,735377
2024-02-05,880.79931640625,885.7999877929688,910.7999877929688,883.5499877929688,906.0,123372
2024-02-06,879.4569702148438,884.4500122070312,900.0,878.9000244140625,890.25,153059
2024-02-07,902.7247924804688,907.8499755859375,912.0,884.0,884.0,181094
2024-02-08,937.9249877929688,943.25,951.0,908.5499877929688,921.75,549266
2024-02-09,905.0615844726562,910.2000122070312,962.9000244140625,898.7000122070312,951.0499877929688,272453
2024-02-12,908.2435302734375,913.4000244140625,942.2000122070312,905.0999755859375,910.0,168704
2024-02-13,918.5847778320312,923.7999877929688,934.5,903.0999755859375,917.0,95782
2024-02-14,860.6636352539062,865.5499877929688,939.7999877929688,851.0999755859375,934.0,690965
2024-02-15,851.614990234375,856.4500122070312,877.0,846.3499755859375,866.0,382370
2024-02-16,883.58349609375,888.5999755859375,922.0,859.5499877929688,866.6500244140625,464471
2024-02-19,857.8794555664062,862.75,890.0499877929688,859.0999755859375,890.0,179296
2024-02-20,848.3336791992188,853.1500244140625,869.0499877929688,851.5,869.0,125854
2024-02-21,850.9189453125,855.75,859.8499755859375,848.0499877929688,848.0499877929688,114109
2024-02-22,863.348388671875,868.25,874.75,850.9500122070312,860.0499877929688,141781
2024-02-23,870.5574340820312,875.5,877.3499755859375,862.0,871.75,61675
2024-02-26,874.9823608398438,879.9500122070312,899.4500122070312,873.0,879.6500244140625,92073
2024-02-27,867.6240844726562,872.5499877929688,886.5499877929688,866.0,885.0,103414
2024-02-28,867.4252319335938,872.3499755859375,880.0499877929688,862.1500244140625,875.1500244140625,71370
2024-02-29,878.0648193359375,883.0499877929688,889.9500122070312,860.2999877929688,878.0,399136
2024-03-01,881.0479125976562,886.0499877929688,892.0,873.0,886.5999755859375,61528
2024-03-04,884.2298583984375,889.25,898.0,880.0,886.8499755859375,217621
2024-03-05,883.6829223632812,888.7000122070312,894.9500122070312,880.0,892.0,39869
2024-03-06,889.8479614257812,894.9000244140625,907.75,871.0,899.0,188862
2024-03-07,902.1779174804688,907.2999877929688,917.75,884.5499877929688,886.0499877929688,277359
2024-03-11,895.3666381835938,900.4500122070312,934.5499877929688,895.5,912.0999755859375,544316
2024-03-12,873.1427612304688,878.0999755859375,925.0,856.2999877929688,905.5499877929688,368619
2024-03-13,826.6069946289062,831.2999877929688,878.0999755859375,809.1500244140625,878.0999755859375,208861
2024-03-14,857.8297119140625,862.7000122070312,871.7999877929688,824.25,833.9500122070312,387589
2024-03-15,840.179931640625,844.9500122070312,862.4000244140625,837.0499877929688,862.0499877929688,498196
2024-03-18,841.1245727539062,845.9000244140625,855.5,832.0999755859375,845.0,88374
2024-03-19,842.4669189453125,847.25,854.0,836.5499877929688,837.4500122070312,42191
2024-03-20,835.4567260742188,840.2000122070312,851.5,835.0,851.5,33613
2024-03-21,838.2409057617188,843.0,852.0,837.0,843.5499877929688,99725
2024-03-22,838.1912231445312,842.9500122070312,845.7999877929688,837.1500244140625,843.0,26036
2024-03-26,838.8872680664062,843.6500244140625,850.0,834.0,845.0,146410
2024-03-27,836.252197265625,841.0,849.5,836.0999755859375,843.6500244140625,55713
2024-03-28,838.5889282226562,843.3499755859375,862.1500244140625,832.0,848.0,59652
2024-04-01,845.2510986328125,850.0499877929688,854.9000244140625,843.9000244140625,843.9000244140625,52808
2024-04-02,840.3788452148438,845.1500244140625,858.5999755859375,842.25,853.0499877929688,114330
2024-04-03,846.295166015625,851.0999755859375,852.0,839.0499877929688,845.1500244140625,53304
2024-04-04,834.9595947265625,839.7000122070312,857.4500122070312,838.0,855.25,97322
2024-04-05,846.5437622070312,851.3499755859375,855.4000244140625,838.9500122070312,839.0,81001
2024-04-08,841.0250854492188,845.7999877929688,861.5,842.2000122070312,852.0,158387
2024-04-09,837.3460083007812,842.0999755859375,853.0,839.0,850.0499877929688,58606
2024-04-10,841.2239990234375,846.0,853.0,841.0,841.8499755859375,26404
2024-04-12,842.5663452148438,847.3499755859375,852.25,839.6500244140625,846.0,46135
2024-04-15,849.1788330078125,854.0,857.0,824.2999877929688,845.0,104329
2024-04-16,862.254638671875,867.1500244140625,870.0,846.0,846.0,122443
2024-04-18,865.3867797851562,870.2999877929688,885.0,860.0,869.2000122070312,120833
2024-04-19,870.15966796875,875.0999755859375,879.9000244140625,855.0,860.0,149470
2024-04-22,876.5733032226562,881.5499877929688,885.0,872.3499755859375,881.75,41772
2024-04-23,878.01513671875,883.0,894.0,869.0499877929688,881.5499877929688,67503
2024-04-24,865.1879272460938,870.0999755859375,890.25,868.0,883.5,37146
2024-04-25,878.6116943359375,883.5999755859375,886.4500122070312,860.0499877929688,866.5499877929688,62936
2024-04-26,887.908935546875,892.9500122070312,897.2999877929688,875.0,884.5999755859375,58767
2024-04-29,888.455810546875,893.5,905.2999877929688,886.0499877929688,898.0,44956
