date_,adj close_polymed.ns,close_polymed.ns,high_polymed.ns,low_polymed.ns,open_polymed.ns,volume_polymed.ns
2024-01-16,1460.7786865234375,1465.0999755859375,1477.5,1450.050048828125,1454.949951171875,15707
2024-01-17,1449.3126220703125,1453.5999755859375,1463.199951171875,1446.050048828125,1458.0,17515
2024-01-18,1446.9696044921875,1451.25,1460.6500244140625,1420.0,1445.5,18056
2024-01-19,1449.561767578125,1453.8499755859375,1464.050048828125,1445.0,1457.0,11594
2024-01-23,1417.20751953125,1421.4000244140625,1457.550048828125,1403.0,1448.6500244140625,30337
2024-01-24,1446.4210205078125,1450.699951171875,1461.0,1388.0,1419.0,53399
2024-01-25,1420.697265625,1424.9000244140625,1449.550048828125,1420.0,1448.9000244140625,16716
2024-01-29,1392.28125,1396.4000244140625,1424.9000244140625,1388.0,1420.0,72078
2024-01-30,1386.4486083984375,1390.550048828125,1418.9000244140625,1380.0,1396.4000244140625,96509
2024-01-31,1452.3536376953125,1456.6500244140625,1474.699951171875,1361.0,1390.550048828125,343906
2024-02-01,1475.8341064453125,1480.199951171875,1510.0,1455.949951171875,1456.0,112971
2024-02-02,1515.616455078125,1520.0999755859375,1532.0,1474.5,1487.0,115914
2024-02-05,1518.00927734375,1522.5,1530.9000244140625,1497.9000244140625,1520.0,75194
2024-02-06,1580.225341796875,1584.9000244140625,1595.25,1526.1500244140625,1526.1500244140625,150875
2024-02-07,1606.99609375,1611.75,1622.0,1586.5,1600.0,100236
2024-02-08,1559.4368896484375,1564.050048828125,1624.800048828125,1541.050048828125,1624.800048828125,37606
2024-02-09,1527.880126953125,1532.4000244140625,1571.8499755859375,1517.050048828125,1567.0,31633
2024-02-12,1511.3292236328125,1515.800048828125,1570.25,1504.75,1535.050048828125,34777
2024-02-13,1545.178955078125,1549.75,1558.5,1480.0,1512.6500244140625,29200
2024-02-14,1528.4783935546875,1533.0,1555.25,1521.0,1532.5,19015
2024-02-15,1529.425537109375,1533.949951171875,1561.75,1521.5,1536.0,16497
2024-02-16,1578.4305419921875,1583.0999755859375,1594.0,1516.300048828125,1530.550048828125,51123
2024-02-19,1570.85302734375,1575.5,1619.0,1561.25,1602.75,33102
2024-02-20,1586.6064453125,1591.300048828125,1636.0,1551.800048828125,1580.0,75827
2024-02-21,1608.6412353515625,1613.4000244140625,1729.0,1547.800048828125,1595.9000244140625,673559
2024-02-22,1591.7410888671875,1596.449951171875,1638.699951171875,1581.0,1634.0,63680
2024-02-23,1600.0667724609375,1604.800048828125,1615.0,1561.0,1596.449951171875,63256
2024-02-26,1560.73291015625,1565.3499755859375,1599.949951171875,1560.0,1599.8499755859375,86550
2024-02-27,1620.5062255859375,1625.300048828125,1638.0,1537.5,1560.0,554628
2024-02-28,1582.6182861328125,1587.300048828125,1666.949951171875,1576.5,1640.0,108294
2024-02-29,1558.53955078125,1563.1500244140625,1594.6500244140625,1548.0,1591.949951171875,73767
2024-03-01,1619.70849609375,1624.5,1633.0,1567.050048828125,1571.0,47935
