date_,adj close_ramcocem.ns,close_ramcocem.ns,high_ramcocem.ns,low_ramcocem.ns,open_ramcocem.ns,volume_ramcocem.ns
2024-01-16,984.4404296875,989.25,993.8499755859375,978.8499755859375,981.5,323198
2024-01-17,947.0233154296875,951.6500244140625,986.8499755859375,949.0,985.0,567514
2024-01-18,946.2271728515625,950.8499755859375,957.8499755859375,936.0,956.2000122070312,355459
2024-01-19,952.9443359375,957.5999755859375,965.25,952.2000122070312,957.0,135034
2024-01-23,936.0767822265625,940.6500244140625,966.9000244140625,937.5999755859375,956.8499755859375,334434
2024-01-24,958.268310546875,962.9500122070312,965.75,930.6500244140625,940.8499755859375,192399
2024-01-25,964.1395874023438,968.8499755859375,975.0,952.2000122070312,967.0,272987
2024-01-29,980.7584838867188,985.5499877929688,990.0,971.4000244140625,976.5999755859375,373303
2024-01-30,980.3604736328125,985.1500244140625,995.0,980.0999755859375,993.0,399357
2024-01-31,1013.249755859375,1018.2000122070312,1020.0,980.1500244140625,985.1500244140625,460907
2024-02-01,982.2511596679688,987.0499877929688,1024.949951171875,982.25,1021.0,259628
2024-02-02,988.2220458984375,993.0499877929688,997.1500244140625,986.5,992.5,136174
2024-02-05,974.4891357421875,979.25,997.2999877929688,975.4000244140625,984.5,135632
2024-02-06,984.8883056640625,989.7000122070312,1001.0499877929688,983.5,987.0999755859375,233434
2024-02-07,990.1625366210938,995.0,1007.0,989.0,997.5,306796
2024-02-08,969.6129150390625,974.3499755859375,1003.0,964.5,1001.0499877929688,292582
2024-02-09,897.3659057617188,901.75,938.0999755859375,893.5499877929688,938.0999755859375,3078842
2024-02-12,877.7616577148438,882.0499877929688,911.5499877929688,877.1500244140625,901.75,1170750
2024-02-13,864.0784912109375,868.2999877929688,883.8499755859375,859.4500122070312,882.0999755859375,612727
2024-02-14,855.1719970703125,859.3499755859375,873.5499877929688,848.0,860.7000122070312,545969
2024-02-15,861.7897338867188,866.0,869.9000244140625,857.5499877929688,865.9500122070312,535822
2024-02-16,864.4268188476562,868.6500244140625,879.0,863.4000244140625,872.9500122070312,321741
2024-02-19,876.2191772460938,880.5,885.0,870.0499877929688,875.0,356581
2024-02-20,878.9060668945312,883.2000122070312,896.7999877929688,875.0999755859375,884.9000244140625,424738
2024-02-21,864.8248291015625,869.0499877929688,889.9500122070312,865.0,889.9500122070312,341049
