date_,adj close_railtel.ns,close_railtel.ns,high_railtel.ns,low_railtel.ns,open_railtel.ns,volume_railtel.ns
2024-01-16,354.150146484375,359.45001220703125,374.3999938964844,352.1499938964844,367.3500061035156,6458140
2024-01-17,357.5,362.8500061035156,368.0,349.20001220703125,356.95001220703125,5747854
2024-01-18,357.64776611328125,363.0,372.70001220703125,345.1000061035156,367.54998779296875,6218795
2024-01-19,381.0968322753906,386.79998779296875,395.8999938964844,362.20001220703125,365.6000061035156,26165417
2024-01-23,381.54022216796875,387.25,449.29998779296875,382.95001220703125,446.0,27738038
2024-01-24,391.5405578613281,397.3999938964844,407.04998779296875,369.0,387.25,14014839
2024-01-25,431.2956237792969,437.75,459.20001220703125,406.20001220703125,407.04998779296875,59292767
2024-01-29,423.8077087402344,430.1499938964844,446.5,428.0,440.79998779296875,9928039
2024-01-30,417.4035339355469,423.6499938964844,450.95001220703125,420.0,433.70001220703125,8411710
2024-01-31,431.0000305175781,437.45001220703125,439.5,421.70001220703125,427.0,7534984
2024-02-01,413.7580871582031,419.95001220703125,446.75,417.20001220703125,443.0,10730870
2024-02-02,412.82208251953125,419.0,426.6000061035156,411.54998779296875,424.0,5184893
2024-02-05,403.5606689453125,409.6000061035156,429.5,405.0,422.0,4771098
2024-02-06,404.59515380859375,410.6499938964844,414.0,398.0,410.8999938964844,4665753
2024-02-07,418.3887634277344,424.6499938964844,438.5,412.8500061035156,414.79998779296875,8557930
2024-02-08,425.9752502441406,432.3500061035156,446.5,422.6000061035156,429.0,8199828
2024-02-09,390.9986572265625,396.8500061035156,441.0,393.1000061035156,430.0,9165487
2024-02-12,357.9433288574219,363.29998779296875,398.6000061035156,356.0,396.8500061035156,11328623
2024-02-13,361.0961608886719,366.5,381.70001220703125,354.75,358.0,10213124
2024-02-14,370.8501892089844,376.3999938964844,385.5,361.79998779296875,366.0,6295167
2024-02-15,379.274169921875,384.95001220703125,391.79998779296875,378.70001220703125,379.8500061035156,4384229
2024-02-16,373.11627197265625,378.70001220703125,388.79998779296875,371.70001220703125,386.45001220703125,3936621
2024-02-19,384.4960021972656,390.25,408.6000061035156,378.5,380.0,7770487
2024-02-20,384.0526123046875,389.79998779296875,399.75,386.6499938964844,392.0,2543909
2024-02-21,370.2590026855469,375.79998779296875,394.70001220703125,374.20001220703125,391.79998779296875,2559860
2024-02-22,374.7419738769531,380.3500061035156,383.0,369.0,378.79998779296875,2465889
2024-02-23,401.7379455566406,407.75,413.29998779296875,381.54998779296875,381.8500061035156,15712272
2024-02-26,418.5858459472656,424.8500061035156,428.0,404.20001220703125,409.8999938964844,10397183
2024-02-27,463.0208740234375,469.95001220703125,483.6000061035156,417.3999938964844,418.0,48166328
2024-02-28,447.7494201660156,454.45001220703125,491.45001220703125,448.25,473.5,21720777
2024-02-29,442.33050537109375,448.95001220703125,458.20001220703125,433.3500061035156,456.0,14087679
2024-03-01,439.9658508300781,446.54998779296875,458.5,443.8500061035156,455.0,6447880
2024-03-04,434.1528625488281,440.6499938964844,469.3500061035156,438.54998779296875,459.79998779296875,5682501
2024-03-05,431.8374938964844,438.29998779296875,451.25,430.70001220703125,442.6499938964844,7003977
2024-03-06,412.0339050292969,418.20001220703125,438.3500061035156,414.6499938964844,434.8999938964844,4755245
2024-03-07,415.1374816894531,421.3500061035156,428.54998779296875,418.6000061035156,419.29998779296875,3888393
2024-03-11,405.18634033203125,411.25,433.95001220703125,406.70001220703125,422.6499938964844,3789355
2024-03-12,379.61895751953125,385.29998779296875,413.20001220703125,382.3500061035156,411.25,5599997
2024-03-13,303.70501708984375,308.25,394.70001220703125,308.25,387.95001220703125,14482150
2024-03-14,334.0509033203125,339.04998779296875,339.04998779296875,301.3999938964844,308.1499938964844,8014390
2024-03-15,345.5783996582031,350.75,368.54998779296875,336.04998779296875,347.3500061035156,11503398
2024-03-18,348.7804870605469,354.0,378.70001220703125,351.54998779296875,369.0,6650728
2024-03-19,341.68658447265625,346.79998779296875,355.5,341.8500061035156,354.0,2513642
2024-03-20,344.74090576171875,349.8999938964844,356.6000061035156,332.79998779296875,350.70001220703125,4942232
2024-03-21,352.7707214355469,358.04998779296875,363.8999938964844,352.45001220703125,355.1000061035156,3445391
2024-03-22,354.9383239746094,360.25,365.79998779296875,356.1499938964844,358.0,2689947
2024-03-26,358.87933349609375,364.25,371.3500061035156,356.29998779296875,360.6000061035156,3384389
2024-03-27,362.6725769042969,368.1000061035156,373.95001220703125,361.75,366.0,2780227
2024-03-28,358.3866882324219,363.75,374.0,361.5,371.5,1845854
2024-04-01,383.264404296875,389.0,391.79998779296875,366.3999938964844,368.0,3868426
2024-04-02,384.2989196777344,390.04998779296875,393.8999938964844,379.95001220703125,388.0,3648800
2024-04-03,385.5304870605469,391.29998779296875,397.25,383.0,384.95001220703125,2260145
2024-04-04,379.8652648925781,385.54998779296875,400.3500061035156,379.54998779296875,394.04998779296875,2567192
2024-04-05,389.71783447265625,395.54998779296875,401.79998779296875,380.54998779296875,387.0,3970789
2024-04-08,386.1216735839844,391.8999938964844,406.6499938964844,390.45001220703125,397.45001220703125,3002998
2024-04-09,380.50567626953125,386.20001220703125,393.6000061035156,382.5,393.29998779296875,1747879
2024-04-10,377.2543640136719,382.8999938964844,387.8999938964844,381.8999938964844,386.5,1079183
2024-04-12,373.01776123046875,378.6000061035156,387.5,376.1000061035156,382.8999938964844,1760068
2024-04-15,360.99761962890625,366.3999938964844,374.0,356.1000061035156,374.0,2441738
2024-04-16,361.58880615234375,367.0,372.8999938964844,360.54998779296875,364.95001220703125,1503306
2024-04-18,358.73150634765625,364.1000061035156,374.29998779296875,363.1000061035156,369.5,2069775
2024-04-19,359.1256408691406,364.5,371.0,350.0,359.95001220703125,2041788
2024-04-22,373.411865234375,379.0,388.8999938964844,368.0,368.04998779296875,3612013
2024-04-23,380.8997802734375,386.6000061035156,389.20001220703125,379.1000061035156,381.04998779296875,2917949
2024-04-24,390.4075012207031,396.25,398.5,383.75,388.0,3938400
2024-04-25,389.9148864746094,395.75,403.95001220703125,393.20001220703125,396.3999938964844,2800346
2024-04-26,397.64910888671875,403.6000061035156,413.3999938964844,392.1000061035156,397.95001220703125,5898177
2024-04-29,393.2647399902344,399.1499938964844,410.5,396.8500061035156,407.6000061035156,2685644
2024-04-30,393.7081298828125,399.6000061035156,406.95001220703125,391.75,401.20001220703125,2766060
2024-05-02,400.2108459472656,406.20001220703125,410.70001220703125,396.20001220703125,400.6499938964844,3800973
2024-05-03,388.63409423828125,394.45001220703125,411.75,392.20001220703125,410.0,4263043
2024-05-06,369.2245178222656,374.75,396.8500061035156,372.54998779296875,396.8500061035156,2285006
2024-05-07,359.519775390625,364.8999938964844,378.0,359.0,376.0,2866484
2024-05-08,367.6973876953125,373.20001220703125,376.0,362.3500061035156,366.0,1404509
2024-05-09,353.8545227050781,359.1499938964844,375.8500061035156,355.95001220703125,374.1499938964844,1216126
2024-05-10,356.1206359863281,361.45001220703125,366.0,348.25,360.0,2178718
2024-05-13,351.2928771972656,356.54998779296875,364.0,348.54998779296875,363.04998779296875,1445689
2024-05-14,384.8901062011719,390.6499938964844,393.54998779296875,358.1000061035156,358.1000061035156,7401961
2024-05-15,384.6930236816406,390.45001220703125,392.70001220703125,382.20001220703125,391.95001220703125,2270351
2024-05-16,395.77716064453125,401.70001220703125,404.29998779296875,389.0,394.0,5979396
2024-05-17,402.9202575683594,408.95001220703125,412.8999938964844,400.1000061035156,403.3500061035156,5621683
2024-05-21,426.6156311035156,433.0,435.70001220703125,410.25,414.6000061035156,13255919
