date_,adj close_cdsl.ns,close_cdsl.ns,high_cdsl.ns,low_cdsl.ns,open_cdsl.ns,volume_cdsl.ns
2024-01-16,924.514404296875,940.6500244140625,956.125,918.0,923.0,2905304
2024-01-17,907.9042358398438,923.75,942.375,921.0,930.0,1198282
2024-01-18,894.7095336914062,910.3250122070312,927.9749755859375,885.0250244140625,922.5,1926370
2024-01-19,894.7586669921875,910.375,924.5,905.0499877929688,924.5,713232
2024-01-23,851.8082885742188,866.6749877929688,907.8499755859375,862.5,905.0,1409548
2024-01-24,865.641845703125,880.75,887.0,858.7249755859375,872.5,1055160
2024-01-25,869.917236328125,885.0999755859375,891.0,871.5499877929688,883.25,929178
2024-01-29,867.5584106445312,882.7000122070312,897.5,880.0,885.0,781578
2024-01-30,857.5579833984375,872.5250244140625,887.7750244140625,870.0250244140625,885.0,958286
2024-01-31,872.3006591796875,887.5250244140625,892.5,867.0,874.5,1505288
2024-02-01,889.9426879882812,905.4749755859375,917.5,878.8499755859375,891.4500122070312,2423868
2024-02-02,920.8286743164062,936.9000244140625,941.5999755859375,911.7750244140625,916.9000244140625,3480180
2024-02-05,898.1004028320312,913.7750244140625,956.0,904.0,947.5,3241604
2024-02-06,909.3047485351562,925.1749877929688,939.0,907.5750122070312,921.5,1768110
2024-02-07,962.1819458007812,978.9749755859375,999.4249877929688,924.0,933.4500122070312,11945524
2024-02-08,982.9937744140625,1000.1500244140625,1022.0,959.5,989.0,7220258
2024-02-09,956.7762451171875,973.4749755859375,1033.5,958.0499877929688,1006.0,5441700
2024-02-12,909.05908203125,924.9249877929688,979.4749755859375,912.5,979.0,2803174
2024-02-13,926.5783081054688,942.75,950.0,903.6749877929688,924.9249877929688,2391316
2024-02-14,933.0650634765625,949.3499755859375,953.5,918.8499755859375,924.0,1632956
2024-02-15,923.0892333984375,939.2000122070312,958.2249755859375,935.8250122070312,956.3250122070312,1127264
2024-02-16,921.9835815429688,938.0750122070312,953.0,935.0499877929688,941.5,1193316
2024-02-19,904.9556884765625,920.75,941.7750244140625,916.0,934.2000122070312,1183938
2024-02-20,904.857421875,920.6500244140625,933.25,917.5,921.9749755859375,972062
2024-02-21,884.3650512695312,899.7999877929688,928.4749755859375,893.1749877929688,921.0,1137110
2024-02-22,896.6752319335938,912.3250122070312,914.4500122070312,896.5,903.5,960784
2024-02-23,913.8258666992188,929.7750244140625,938.8499755859375,907.3499755859375,917.5,1915276
2024-02-26,933.7039794921875,950.0,969.25,921.0250244140625,929.7750244140625,3792446
2024-02-27,940.5592651367188,956.9749755859375,980.0,951.3499755859375,956.0250244140625,2958844
2024-02-28,948.9627075195312,965.5250244140625,990.0,958.5,961.5,4256638
2024-02-29,942.1318969726562,958.5750122070312,967.4000244140625,941.4249877929688,967.4000244140625,1932328
2024-03-01,942.8198852539062,959.2750244140625,979.0,954.0499877929688,962.5,1270656
2024-03-04,934.0725708007812,950.375,972.4000244140625,946.0999755859375,969.4749755859375,1094674
2024-03-05,923.7034912109375,939.8250122070312,953.8499755859375,936.7999877929688,952.0,784928
2024-03-06,902.6460571289062,918.4000244140625,940.0,905.0499877929688,940.0,1361698
2024-03-07,899.5991821289062,915.2999877929688,929.3250122070312,912.9000244140625,926.5,963714
2024-03-11,889.770751953125,905.2999877929688,926.875,903.0,915.2999877929688,894802
2024-03-12,888.2227783203125,903.7249755859375,910.9500122070312,888.0499877929688,906.5,1421052
2024-03-13,827.8759765625,842.3250122070312,912.5,832.7750244140625,904.8499755859375,2600464
2024-03-14,840.01416015625,854.6749877929688,867.75,825.0,839.8499755859375,1715448
2024-03-15,845.100341796875,859.8499755859375,878.8499755859375,845.0499877929688,857.0,1729234
2024-03-18,829.1782836914062,843.6500244140625,867.0,840.5499877929688,852.4000244140625,1247206
2024-03-19,824.4851684570312,838.875,854.0,835.0,843.3499755859375,804396
2024-03-20,814.5830078125,828.7999877929688,842.25,811.0,838.875,1388102
2024-03-21,867.9024047851562,883.0499877929688,889.2999877929688,838.5,840.5,2995280
2024-03-22,878.3451538085938,893.6749877929688,899.0,877.5499877929688,880.0,1354412
2024-03-26,879.1068115234375,894.4500122070312,909.5,888.0250244140625,899.0,1511600
2024-03-27,828.5640258789062,843.0250244140625,874.875,837.5,859.2750244140625,43990584
2024-03-28,841.2918090820312,855.9749755859375,864.8499755859375,852.5,852.5,5991190
2024-04-01,903.0883178710938,918.8499755859375,922.5,863.4000244140625,864.5,8609716
2024-04-02,922.008056640625,938.0999755859375,944.5999755859375,904.5,921.5,5473054
2024-04-03,922.1063842773438,938.2000122070312,943.9249877929688,922.7249755859375,929.2999877929688,3078852
2024-04-04,922.6715698242188,938.7750244140625,964.5,931.75,948.8499755859375,3023546
2024-04-05,926.0623168945312,942.2249755859375,949.0,926.2999877929688,935.0,1945826
2024-04-08,922.5240478515625,938.625,953.375,931.0,947.5,1541946
2024-04-09,917.1675415039062,933.1749877929688,947.4749755859375,928.0,942.0,1840252
2024-04-10,924.8829345703125,941.0250244140625,959.9500122070312,929.0999755859375,933.9000244140625,3313376
2024-04-12,986.8267822265625,1004.0499877929688,1010.0,938.7249755859375,941.0,16191140
2024-04-15,971.0275268554688,987.9749755859375,1021.0499877929688,961.7750244140625,984.2999877929688,7407232
2024-04-16,970.8309936523438,987.7750244140625,1004.0,976.3250122070312,985.0,3935020
2024-04-18,965.9904174804688,982.8499755859375,1024.4749755859375,977.7750244140625,993.5,5700682
2024-04-19,953.50830078125,970.1500244140625,982.0,961.0,974.5,3053546
2024-04-22,988.8416137695312,1006.0999755859375,1009.0,975.4249877929688,982.5,3536424
2024-04-23,1034.887939453125,1052.949951171875,1059.300048828125,1011.5,1015.0,10598344
2024-04-24,1022.5286254882812,1040.375,1097.675048828125,1034.5,1063.5,7310662
2024-04-25,1057.0511474609375,1075.5,1082.5,1028.0250244140625,1040.125,4738900
2024-04-26,1041.5714111328125,1059.75,1079.0,1050.0250244140625,1075.5,2318958
2024-04-29,1036.780029296875,1054.875,1064.0,1025.7750244140625,1051.5,3581392
2024-04-30,1036.263916015625,1054.3499755859375,1073.8499755859375,1043.3499755859375,1057.5,2932428
2024-05-02,1020.6858520507812,1038.5,1065.5999755859375,1035.5,1058.0,1915266
2024-05-03,1021.9635620117188,1039.800048828125,1048.8499755859375,1017.5,1045.0,2184622
2024-05-06,1054.7659912109375,1073.175048828125,1099.949951171875,1052.25,1092.5,9507630
2024-05-07,1036.8291015625,1054.925048828125,1119.5,1050.050048828125,1076.9000244140625,9719066
2024-05-08,1065.7247314453125,1084.324951171875,1091.0,1045.0,1057.5,3870648
2024-05-09,1018.228759765625,1036.0,1087.4749755859375,1030.0,1084.5,2841232
2024-05-10,990.9301147460938,1008.2249755859375,1035.0,990.0,1030.25,5033894
2024-05-13,979.7994384765625,996.9000244140625,1012.0,968.0250244140625,1000.0,3191752
2024-05-14,1010.6362915039062,1028.2750244140625,1033.800048828125,1001.1749877929688,1004.0,2357484
2024-05-15,1042.6524658203125,1060.8499755859375,1072.0,1031.0,1031.25,3338430
2024-05-16,1029.1875,1047.1500244140625,1074.8499755859375,1041.5,1069.9749755859375,1691156
2024-05-17,1039.556396484375,1057.699951171875,1065.0,1046.125,1050.0,1665880
2024-05-21,1055.871826171875,1074.300048828125,1080.550048828125,1048.9000244140625,1059.5,2396262
2024-05-22,1063.857421875,1082.425048828125,1102.9000244140625,1079.0250244140625,1080.0,2919302
2024-05-23,1065.62646484375,1084.2249755859375,1088.300048828125,1075.5,1085.0,1392922
2024-05-24,1054.3729248046875,1072.7750244140625,1097.125,1064.25,1077.5,1952008
2024-05-27,1041.301025390625,1059.4749755859375,1080.0,1051.5999755859375,1075.25,1229644
2024-05-28,1026.1651611328125,1044.074951171875,1064.699951171875,1040.0,1061.5,1260816
2024-05-29,1019.6537475585938,1037.449951171875,1054.5,1031.0250244140625,1037.5,1043282
2024-05-30,1017.0247802734375,1034.7750244140625,1041.75,1019.0,1037.5,1204232
