date_,adj close_lichsgfin.ns,close_lichsgfin.ns,high_lichsgfin.ns,low_lichsgfin.ns,open_lichsgfin.ns,volume_lichsgfin.ns
2024-01-16,566.2755737304688,583.9500122070312,589.3499755859375,573.8499755859375,576.5,4329890
2024-01-17,557.8388671875,575.25,585.3499755859375,573.9500122070312,582.0,2747008
2024-01-18,558.711669921875,576.1500244140625,579.5,560.4500122070312,574.0999755859375,1344935
2024-01-19,566.6634521484375,584.3499755859375,590.0,577.5,580.0999755859375,2037879
2024-01-23,543.7777709960938,560.75,584.2999877929688,554.4500122070312,581.7999877929688,3715271
2024-01-24,559.923828125,577.4000244140625,578.9500122070312,554.5999755859375,561.7999877929688,1503671
2024-01-25,561.6693725585938,579.2000122070312,586.5,567.0499877929688,580.0,2560166
2024-01-29,581.8397216796875,600.0,608.7999877929688,578.0,579.2000122070312,6752824
2024-01-30,598.6646118164062,617.3499755859375,627.9500122070312,604.2000122070312,605.0,6018763
2024-01-31,606.6649169921875,625.5999755859375,627.9500122070312,618.3499755859375,621.7999877929688,5030287
2024-02-01,610.5924072265625,629.6500244140625,634.7999877929688,619.9500122070312,625.3499755859375,5463844
2024-02-02,615.0531005859375,634.25,642.4000244140625,625.0,634.9000244140625,2873863
2024-02-05,621.0170288085938,640.4000244140625,655.75,626.0499877929688,640.0,4528404
2024-02-06,628.871826171875,648.5,650.6500244140625,634.5,646.2999877929688,2829812
2024-02-07,626.447509765625,646.0,669.7999877929688,636.2999877929688,659.0,3261779
2024-02-08,627.9990234375,647.5999755859375,655.5999755859375,642.4500122070312,650.25,1639613
2024-02-09,630.5203857421875,650.2000122070312,656.9000244140625,632.1500244140625,650.0,2017131
2024-02-12,601.6708374023438,620.4500122070312,653.5,616.3499755859375,651.0499877929688,1869679
2024-02-13,611.9014892578125,631.0,632.5999755859375,614.1500244140625,616.0,2821807
2024-02-14,617.3319702148438,636.5999755859375,640.6500244140625,619.0,621.0,1260746
2024-02-15,618.64111328125,637.9500122070312,644.2000122070312,629.2999877929688,639.7999877929688,1914588
2024-02-16,622.3261108398438,641.75,648.4500122070312,639.5,641.0,1798377
2024-02-19,615.6349487304688,634.8499755859375,645.9000244140625,633.0,645.0,1148627
2024-02-20,619.6109008789062,638.9500122070312,639.9000244140625,626.6500244140625,634.8499755859375,1502356
2024-02-21,621.5018920898438,640.9000244140625,646.9500122070312,637.5499877929688,637.5499877929688,2367781
2024-02-22,622.8109741210938,642.25,644.0,635.5499877929688,641.4000244140625,868334
2024-02-23,622.8594970703125,642.2999877929688,648.7999877929688,637.9500122070312,645.5,1038739
2024-02-26,639.199462890625,659.1500244140625,661.4500122070312,643.0,643.4500122070312,3011803
2024-02-27,629.8900146484375,649.5499877929688,666.0999755859375,645.0,661.9000244140625,2940335
2024-02-28,618.8351440429688,638.1500244140625,656.3499755859375,635.75,651.8499755859375,1130316
2024-02-29,628.3385009765625,647.9500122070312,652.0,633.5,641.1500244140625,2116417
2024-03-01,629.1142578125,648.75,654.9000244140625,646.4500122070312,650.3499755859375,877615
2024-03-04,637.8418579101562,657.75,661.1500244140625,648.75,650.0,1558962
2024-03-05,636.1448364257812,656.0,671.9500122070312,652.9000244140625,660.0,2375311
2024-03-06,620.7745971679688,640.1500244140625,656.4500122070312,623.0,656.0,2796433
2024-03-07,618.3017578125,637.5999755859375,648.0,634.7999877929688,640.5499877929688,1314041
2024-03-11,615.3925170898438,634.5999755859375,642.0,633.0999755859375,639.0,1351832
2024-03-12,605.2103271484375,624.0999755859375,639.0,619.8499755859375,634.5499877929688,1854808
2024-03-13,572.578857421875,590.4500122070312,625.9500122070312,584.9500122070312,625.0,3102446
2024-03-14,573.887939453125,591.7999877929688,595.5499877929688,577.75,586.5,1799972
2024-03-15,566.9058837890625,584.5999755859375,594.75,575.25,585.2999877929688,3195333
2024-03-18,557.6934204101562,575.0999755859375,587.7000122070312,573.8499755859375,585.0,1642367
2024-03-19,553.47509765625,570.75,575.5,565.0499877929688,574.7000122070312,1575894
2024-03-20,552.7962646484375,570.0499877929688,575.1500244140625,559.4500122070312,573.5,1023212
2024-03-21,573.4515380859375,591.3499755859375,594.0,575.1500244140625,575.2000122070312,1697503
2024-03-22,577.4759521484375,595.5,599.0,588.0,588.0,1290405
2024-03-26,574.8092041015625,592.75,598.7999877929688,590.0499877929688,595.5,2247918
2024-03-27,573.5001220703125,591.4000244140625,597.6500244140625,589.4500122070312,593.9500122070312,1075990
2024-03-28,592.4583740234375,610.9500122070312,614.5,591.7999877929688,591.7999877929688,2992847
2024-04-01,616.9441528320312,636.2000122070312,638.0,614.2000122070312,617.3499755859375,1573234
2024-04-02,619.7562866210938,639.0999755859375,642.9500122070312,630.6500244140625,638.0,1608600
2024-04-03,621.9867553710938,641.4000244140625,644.0,632.0,637.7999877929688,1187104
2024-04-04,624.362548828125,643.8499755859375,661.0,641.8499755859375,646.25,3145305
2024-04-05,624.7989501953125,644.2999877929688,647.7000122070312,636.0499877929688,647.7000122070312,1830294
2024-04-08,627.2232666015625,646.7999877929688,655.8499755859375,636.0999755859375,649.2000122070312,5285739
2024-04-09,631.6355590820312,651.3499755859375,659.3499755859375,646.75,651.0,3264890
2024-04-10,629.4051513671875,649.0499877929688,655.8499755859375,644.5499877929688,654.7999877929688,2938995
2024-04-12,628.871826171875,648.5,658.8499755859375,644.2000122070312,647.5499877929688,3207293
2024-04-15,619.1260375976562,638.4500122070312,654.75,624.5999755859375,633.0,3059341
2024-04-16,634.2537841796875,654.0499877929688,661.6500244140625,633.5499877929688,635.0,5288396
2024-04-18,622.9564819335938,642.4000244140625,666.0,639.0999755859375,658.2000122070312,3395430
2024-04-19,623.4898681640625,642.9500122070312,646.7000122070312,624.25,637.0,2471599
2024-04-22,643.1268920898438,663.2000122070312,665.5,644.75,647.2000122070312,4657549
2024-04-23,650.884765625,671.2000122070312,674.7999877929688,661.0999755859375,669.0,4555962
2024-04-24,653.0667114257812,673.4500122070312,681.5,670.0,674.5499877929688,3744615
2024-04-25,641.2359008789062,661.25,675.0,656.5,675.0,2711612
2024-04-26,641.3328857421875,661.3499755859375,672.4000244140625,657.0,665.8499755859375,1345850
2024-04-29,646.6663818359375,666.8499755859375,670.0999755859375,652.3499755859375,666.0,1647600
