date_,adj close_schaeffler.ns,close_schaeffler.ns,high_schaeffler.ns,low_schaeffler.ns,open_schaeffler.ns,volume_schaeffler.ns
2024-01-16,3265.41748046875,3319.550048828125,3434.0,3274.800048828125,3389.0,36484
2024-01-17,3270.68017578125,3324.89990234375,3358.0,3291.800048828125,3318.0,81955
2024-01-18,3231.430908203125,3285.0,3318.89990234375,3174.050048828125,3318.89990234375,35720
2024-01-19,3197.886962890625,3250.89990234375,3320.14990234375,3230.050048828125,3320.14990234375,35397
2024-01-23,3061.30126953125,3112.050048828125,3299.60009765625,3085.050048828125,3299.550048828125,58093
2024-01-24,3080.28662109375,3131.35009765625,3160.0,3041.89990234375,3109.0,55109
2024-01-25,3059.38330078125,3110.10009765625,3154.800048828125,3087.300048828125,3118.0,43917
2024-01-29,3050.972412109375,3101.550048828125,3145.800048828125,3090.199951171875,3110.199951171875,27329
2024-01-30,3058.301025390625,3109.0,3171.85009765625,3100.0,3110.800048828125,41462
2024-01-31,3080.138916015625,3131.199951171875,3141.89990234375,3062.800048828125,3102.14990234375,32779
2024-02-01,3062.67822265625,3113.449951171875,3158.199951171875,3102.10009765625,3117.300048828125,33149
2024-02-02,3080.138916015625,3131.199951171875,3149.949951171875,3100.0,3100.0,100744
2024-02-05,3011.772216796875,3061.699951171875,3179.89990234375,3044.949951171875,3131.199951171875,95104
2024-02-06,3064.891845703125,3115.699951171875,3141.949951171875,3027.050048828125,3064.699951171875,61581
2024-02-07,3022.150146484375,3072.25,3157.0,3061.050048828125,3115.699951171875,78605
2024-02-08,2968.637451171875,3017.85009765625,3086.949951171875,3010.25,3072.25,31202
2024-02-09,2967.65380859375,3016.85009765625,3040.5,2980.0,3023.85009765625,24315
2024-02-12,2956.48876953125,3005.5,3056.85009765625,2981.35009765625,3021.050048828125,83968
2024-02-13,2908.238525390625,2956.449951171875,3005.300048828125,2947.449951171875,2990.0,20961
2024-02-14,2929.732177734375,2978.300048828125,2996.800048828125,2932.0,2932.0,13168
2024-02-15,2973.31005859375,3022.60009765625,3094.0,2962.0,2978.300048828125,74756
2024-02-16,3014.182373046875,3064.14990234375,3097.25,3050.0,3085.0,26483
2024-02-19,2962.7353515625,3011.85009765625,3063.85009765625,2951.0,2979.0,358971
2024-02-20,2858.119384765625,2905.5,3044.75,2886.0,3022.449951171875,75232
