date_,adj close_vbl.ns,close_vbl.ns,high_vbl.ns,low_vbl.ns,open_vbl.ns,volume_vbl.ns
2024-01-16,504.1482849121094,506.44000244140625,510.3999938964844,502.4200134277344,509.5199890136719,3301850
2024-01-17,497.1401062011719,499.3999938964844,505.44000244140625,492.0400085449219,502.3999938964844,5397812
2024-01-18,489.8333435058594,492.05999755859375,499.82000732421875,478.55999755859375,497.6000061035156,4635975
2024-01-19,504.6460266113281,506.94000244140625,512.9600219726562,491.20001220703125,495.55999755859375,7103392
2024-01-23,506.3980712890625,508.70001220703125,511.8999938964844,497.2799987792969,504.3999938964844,4767932
2024-01-24,504.2478332519531,506.5400085449219,509.9200134277344,501.20001220703125,504.3999938964844,7679777
2024-01-25,500.6840515136719,502.9599914550781,506.0,488.3999938964844,505.4200134277344,8328487
2024-01-29,505.5220642089844,507.82000732421875,511.1400146484375,499.6000061035156,500.0,4574967
2024-01-30,498.21527099609375,500.4800109863281,513.5,496.4800109863281,510.0199890136719,6966607
2024-01-31,509.8423767089844,512.1599731445312,514.0,492.3999938964844,492.3999938964844,5499840
2024-02-01,511.4749450683594,513.7999877929688,515.5599975585938,506.55999755859375,513.1199951171875,3070410
2024-02-02,511.9726867675781,514.2999877929688,521.3800048828125,508.3999938964844,508.44000244140625,5404360
2024-02-05,518.6423950195312,521.0,528.0,504.0,515.7999877929688,10507030
2024-02-06,536.4215698242188,538.8599853515625,540.0,523.280029296875,528.4000244140625,10393642
2024-02-07,535.6450805664062,538.0800170898438,545.7999877929688,531.4199829101562,542.4000244140625,4505802
2024-02-08,547.6505126953125,550.1400146484375,565.4400024414062,538.0,539.7999877929688,8259177
2024-02-09,545.5202026367188,548.0,563.9600219726562,544.02001953125,551.6199951171875,6313580
2024-02-12,553.2251586914062,555.739990234375,557.8800048828125,546.8200073242188,551.5999755859375,3223332
2024-02-13,555.27587890625,557.7999877929688,563.5999755859375,551.5999755859375,556.02001953125,3194342
2024-02-14,569.6903686523438,572.280029296875,576.7999877929688,553.5999755859375,557.8599853515625,3432082
2024-02-15,567.5401611328125,570.1199951171875,582.4000244140625,568.02001953125,576.0,4892730
2024-02-16,566.6441650390625,569.219970703125,573.5999755859375,560.7999877929688,568.0,3828422
2024-02-19,572.7166748046875,575.3200073242188,576.97998046875,568.8200073242188,571.52001953125,1245720
2024-02-20,572.3980102539062,575.0,580.9600219726562,572.0,580.9600219726562,2895762
2024-02-21,583.0296630859375,585.6799926757812,589.4199829101562,577.0999755859375,580.760009765625,2389720
2024-02-22,596.1699829101562,598.8800048828125,600.0,585.0,589.7999877929688,2654775
2024-02-23,603.0586547851562,605.7999877929688,610.0,596.6599731445312,604.97998046875,2887335
2024-02-26,611.7192993164062,614.5,624.780029296875,602.8800048828125,605.8200073242188,3168280
2024-02-27,584.1445922851562,586.7999877929688,612.5399780273438,581.2000122070312,612.0,6202435
2024-02-28,556.6098022460938,559.1400146484375,591.0399780273438,556.0,590.780029296875,12580557
2024-02-29,560.8506469726562,563.4000244140625,567.8599853515625,538.0,556.0,13937442
2024-03-01,564.5736083984375,567.1400146484375,571.2999877929688,557.0,571.219970703125,5235115
2024-03-04,571.0641479492188,573.6599731445312,580.719970703125,561.4600219726562,580.02001953125,4506765
2024-03-05,549.322998046875,551.8200073242188,578.0,548.1400146484375,578.0,11104745
2024-03-06,570.9445190429688,573.5399780273438,579.0800170898438,544.7999877929688,548.4000244140625,7370822
2024-03-07,566.763671875,569.3400268554688,578.5999755859375,565.260009765625,575.2000122070312,3851625
2024-03-11,563.14013671875,565.7000122070312,598.0,558.8400268554688,573.2999877929688,8245362
2024-03-12,566.4451293945312,569.02001953125,573.2000122070312,559.5999755859375,566.719970703125,4388537
2024-03-13,555.0369262695312,557.5599975585938,568.4000244140625,546.7999877929688,567.5599975585938,7181872
2024-03-14,564.5138549804688,567.0800170898438,570.0,541.6799926757812,555.5399780273438,4386595
2024-03-15,571.0839233398438,573.6799926757812,576.0,561.2000122070312,568.0,4719685
2024-03-18,571.97998046875,574.5800170898438,579.1400146484375,568.6599731445312,575.2000122070312,3851225
2024-03-19,556.9682006835938,559.5,575.2000122070312,558.0,575.2000122070312,2669332
2024-03-20,557.5256958007812,560.0599975585938,564.0,556.219970703125,559.5,3989047
2024-03-21,557.5653686523438,560.0999755859375,569.9400024414062,558.6599731445312,569.9400024414062,3613535
2024-03-22,558.4215087890625,560.9600219726562,563.0399780273438,552.8200073242188,560.0,3173577
2024-03-26,558.142822265625,560.6799926757812,564.0,559.1400146484375,563.9199829101562,4459500
2024-03-27,551.0948486328125,553.5999755859375,562.4000244140625,551.3400268554688,561.219970703125,5855022
2024-03-28,556.9083862304688,559.4400024414062,562.0,548.0,559.2000122070312,5047647
2024-04-01,556.3509521484375,558.8800048828125,574.239990234375,556.9600219726562,563.2000122070312,4051780
2024-04-02,561.2288208007812,563.780029296875,569.5800170898438,559.4400024414062,568.7999877929688,2651662
2024-04-03,587.6885986328125,590.3599853515625,595.2000122070312,554.5999755859375,562.8200073242188,9176512
2024-04-04,603.5897827148438,605.8200073242188,617.97998046875,592.8200073242188,598.4000244140625,8314400
2024-04-05,595.3003540039062,597.5,614.0,594.5599975585938,607.5999755859375,3406465
2024-04-08,577.9046630859375,580.0399780273438,600.719970703125,576.0,600.719970703125,7297395
2024-04-09,571.8071899414062,573.9199829101562,580.5,568.4000244140625,580.0,4447677
2024-04-10,567.32373046875,569.4199829101562,578.760009765625,568.0,577.5599975585938,3006212
2024-04-12,552.29931640625,554.3400268554688,571.9400024414062,552.0,570.0,7751762
2024-04-15,550.4063110351562,552.4400024414062,561.4600219726562,539.8800048828125,544.02001953125,7133952
2024-04-16,559.5126342773438,561.5800170898438,567.9600219726562,550.239990234375,560.7999877929688,9683697
