date_,adj close_acc.ns,close_acc.ns,high_acc.ns,low_acc.ns,open_acc.ns,volume_acc.ns
2024-01-16,2278.722900390625,2294.449951171875,2327.39990234375,2282.10009765625,2309.050048828125,202836
2024-01-17,2236.365234375,2251.800048828125,2324.0,2247.64990234375,2289.0,296563
2024-01-18,2244.608642578125,2260.10009765625,2267.10009765625,2201.050048828125,2246.0,228207
2024-01-19,2261.4921875,2277.10009765625,2283.14990234375,2237.550048828125,2273.0,230851
2024-01-23,2192.81591796875,2207.949951171875,2311.39990234375,2199.5,2309.0,277970
2024-01-24,2225.2421875,2240.60009765625,2248.449951171875,2190.0,2206.0,213154
2024-01-25,2450.73583984375,2467.64990234375,2563.75,2238.85009765625,2248.699951171875,3008170
2024-01-29,2475.812744140625,2492.89990234375,2565.0,2455.0,2520.050048828125,1663558
2024-01-30,2495.924072265625,2513.14990234375,2577.800048828125,2496.85009765625,2508.0,957680
2024-01-31,2526.860595703125,2544.300048828125,2584.0,2469.199951171875,2514.0,752943
2024-02-01,2512.658447265625,2530.0,2566.0,2511.699951171875,2553.39990234375,424201
2024-02-02,2482.31787109375,2499.449951171875,2563.89990234375,2490.0,2552.800048828125,240193
2024-02-05,2469.158447265625,2486.199951171875,2523.5,2469.64990234375,2510.0,234406
2024-02-06,2510.92041015625,2528.25,2533.0,2469.25,2485.800048828125,201246
2024-02-07,2488.376220703125,2505.550048828125,2556.0,2494.800048828125,2535.0,246866
2024-02-08,2493.639892578125,2510.85009765625,2539.949951171875,2503.35009765625,2517.10009765625,190668
2024-02-09,2610.03662109375,2628.050048828125,2645.0,2506.800048828125,2520.0,1828299
2024-02-12,2618.279541015625,2636.35009765625,2691.449951171875,2610.5,2646.0,785117
2024-02-13,2596.6787109375,2614.60009765625,2635.550048828125,2562.85009765625,2635.550048828125,413974
2024-02-14,2601.64453125,2619.60009765625,2646.60009765625,2585.300048828125,2599.050048828125,458027
2024-02-15,2619.5703125,2637.64990234375,2651.949951171875,2608.75,2635.050048828125,261121
2024-02-16,2701.75341796875,2720.39990234375,2746.39990234375,2642.300048828125,2649.949951171875,1169085
2024-02-19,2652.1953125,2670.5,2744.0,2660.39990234375,2744.0,273523
2024-02-20,2668.284423828125,2686.699951171875,2715.0,2657.199951171875,2674.0,459876
2024-02-21,2648.47119140625,2666.75,2719.0,2651.10009765625,2690.0,383105
2024-02-22,2661.729736328125,2680.10009765625,2687.800048828125,2636.0,2676.800048828125,261578
2024-02-23,2661.183349609375,2679.550048828125,2718.0,2665.0,2677.10009765625,419808
2024-02-26,2656.31689453125,2674.64990234375,2720.0,2668.050048828125,2679.10009765625,416193
2024-02-27,2651.10302734375,2669.39990234375,2688.0,2660.5,2666.64990234375,189689
2024-02-28,2555.612060546875,2573.25,2683.35009765625,2567.0,2669.39990234375,374995
2024-02-29,2611.27783203125,2629.300048828125,2662.0,2556.199951171875,2570.0,442487
2024-03-01,2676.974365234375,2695.449951171875,2704.85009765625,2636.35009765625,2650.0,295468
2024-03-04,2677.1728515625,2695.64990234375,2723.14990234375,2688.60009765625,2710.0,246474
2024-03-05,2650.457275390625,2668.75,2705.0,2660.0,2705.0,148918
2024-03-06,2623.890869140625,2642.0,2673.39990234375,2596.949951171875,2665.0,217355
2024-03-07,2620.712646484375,2638.800048828125,2656.85009765625,2615.300048828125,2642.0,149670
2024-03-11,2623.791259765625,2641.89990234375,2677.10009765625,2635.0,2645.0,216685
2024-03-12,2544.0419921875,2561.60009765625,2659.35009765625,2550.050048828125,2642.0,288886
2024-03-13,2372.72412109375,2389.10009765625,2575.64990234375,2354.449951171875,2565.0,512003
2024-03-14,2465.0869140625,2482.10009765625,2489.300048828125,2347.199951171875,2387.0,350605
2024-03-15,2485.7939453125,2502.949951171875,2523.949951171875,2426.550048828125,2482.10009765625,333506
2024-03-18,2424.81494140625,2441.550048828125,2480.10009765625,2393.050048828125,2480.10009765625,612586
2024-03-19,2386.92626953125,2403.39990234375,2449.85009765625,2375.75,2442.800048828125,340416
2024-03-20,2381.265380859375,2397.699951171875,2431.449951171875,2371.050048828125,2409.050048828125,218650
2024-03-21,2422.13330078125,2438.85009765625,2450.89990234375,2400.050048828125,2429.0,142027
2024-03-22,2426.503173828125,2443.25,2458.0,2415.550048828125,2439.050048828125,328757
2024-03-26,2433.20703125,2450.0,2477.199951171875,2429.60009765625,2430.0,186745
2024-03-27,2437.27880859375,2454.10009765625,2500.0,2448.550048828125,2463.949951171875,357536
2024-03-28,2474.62109375,2491.699951171875,2505.0,2453.199951171875,2478.0,326365
2024-04-01,2527.10888671875,2544.550048828125,2555.64990234375,2497.10009765625,2510.0,436532
2024-04-02,2630.4951171875,2648.64990234375,2658.0,2545.85009765625,2555.0,493639
2024-04-03,2615.895751953125,2633.949951171875,2657.0,2606.0,2625.0,331703
2024-04-04,2598.3173828125,2616.25,2666.699951171875,2590.10009765625,2648.89990234375,206549
2024-04-05,2557.44921875,2575.10009765625,2628.75,2564.25,2615.0,279335
2024-04-08,2564.748779296875,2582.449951171875,2607.0,2540.0,2595.89990234375,311791
2024-04-09,2506.99755859375,2524.300048828125,2598.300048828125,2515.0,2583.0,441705
