date_,adj close_mfsl.ns,close_mfsl.ns,high_mfsl.ns,low_mfsl.ns,open_mfsl.ns,volume_mfsl.ns
2024-01-16,918.8499755859375,918.8499755859375,935.0999755859375,914.9500122070312,930.2000122070312,420936
2024-01-17,927.9500122070312,927.9500122070312,947.25,914.0,915.7999877929688,1348443
2024-01-18,898.9500122070312,898.9500122070312,912.5,891.2000122070312,906.0499877929688,1126585
2024-01-19,905.7000122070312,905.7000122070312,910.0,898.9500122070312,905.0,757902
2024-01-23,865.0,865.0,893.4000244140625,862.25,890.0,972024
2024-01-24,893.2000122070312,893.2000122070312,895.7999877929688,864.0,869.5999755859375,762200
2024-01-25,878.2000122070312,878.2000122070312,896.6500244140625,870.7000122070312,890.0499877929688,437094
2024-01-29,901.7999877929688,901.7999877929688,905.5499877929688,870.0,879.9500122070312,1004778
2024-01-30,876.0999755859375,876.0999755859375,905.0,874.2000122070312,905.0,978239
2024-01-31,890.2999877929688,890.2999877929688,894.5499877929688,854.25,880.0,2901717
2024-02-01,900.4500122070312,900.4500122070312,907.8499755859375,872.1500244140625,890.3499755859375,1187926
2024-02-02,887.5499877929688,887.5499877929688,902.7000122070312,882.25,902.0,564052
2024-02-05,871.2000122070312,871.2000122070312,900.0,866.7000122070312,888.0,570208
2024-02-06,913.0,913.0,918.0,861.75,875.5499877929688,1839099
2024-02-07,960.25,960.25,970.5,920.0,932.0,7019769
2024-02-08,996.0,996.0,1005.9000244140625,961.9000244140625,961.9000244140625,3337092
2024-02-09,987.3499755859375,987.3499755859375,1005.2000122070312,973.6500244140625,992.0499877929688,989168
2024-02-12,962.1500244140625,962.1500244140625,985.5,954.25,985.5,494478
2024-02-13,979.25,979.25,984.5,949.9000244140625,966.2999877929688,867305
2024-02-14,968.5999755859375,968.5999755859375,976.0,946.3499755859375,973.4000244140625,957267
2024-02-15,949.25,949.25,983.4000244140625,938.7000122070312,976.0,1289969
2024-02-16,972.0499877929688,972.0499877929688,989.2000122070312,945.9500122070312,954.2000122070312,1525067
2024-02-19,979.8499755859375,979.8499755859375,984.8499755859375,961.9500122070312,977.2000122070312,554934
2024-02-20,964.7999877929688,964.7999877929688,984.9500122070312,957.0499877929688,965.0,414540
2024-02-21,953.0999755859375,953.0999755859375,970.5,949.7999877929688,966.0,425358
2024-02-22,950.3499755859375,950.3499755859375,958.0999755859375,941.2999877929688,958.0999755859375,572167
2024-02-23,930.2000122070312,930.2000122070312,953.2000122070312,920.7000122070312,953.2000122070312,1024950
2024-02-26,925.25,925.25,938.0,920.0,929.5,851672
2024-02-27,935.4000244140625,935.4000244140625,942.0,913.0499877929688,922.2999877929688,1175846
2024-02-28,964.3499755859375,964.3499755859375,979.9500122070312,941.5,945.0,3335190
2024-02-29,969.7000122070312,969.7000122070312,978.9000244140625,958.5999755859375,964.4500122070312,1641805
2024-03-01,968.4500122070312,968.4500122070312,977.7000122070312,955.7000122070312,963.9500122070312,594819
2024-03-04,1000.5999755859375,1000.5999755859375,1005.0999755859375,959.25,973.2000122070312,1164390
2024-03-05,978.5,978.5,1004.0,975.9000244140625,1004.0,620347
2024-03-06,980.5499877929688,980.5499877929688,984.0999755859375,962.4000244140625,979.9000244140625,462045
2024-03-07,978.4000244140625,978.4000244140625,992.0,975.25,985.7000122070312,972665
2024-03-11,991.5499877929688,991.5499877929688,1010.0,982.75,995.0,1256809
2024-03-12,979.4000244140625,979.4000244140625,995.0,968.3499755859375,993.4500122070312,577139
2024-03-13,951.9500122070312,951.9500122070312,1000.0,945.75,990.0,1264419
2024-03-14,960.5499877929688,960.5499877929688,984.0,930.8499755859375,950.5999755859375,1494019
2024-03-15,962.75,962.75,994.0,952.9000244140625,972.5,2154818
2024-03-18,955.25,955.25,961.0,935.5,961.0,630906
2024-03-19,961.5,961.5,967.0499877929688,947.6500244140625,954.2000122070312,1395397
2024-03-20,944.25,944.25,971.9500122070312,939.5499877929688,966.5999755859375,889215
2024-03-21,952.0,952.0,965.0,943.0999755859375,946.5999755859375,1244775
