date_,adj close_concor.ns,close_concor.ns,high_concor.ns,low_concor.ns,open_concor.ns,volume_concor.ns
2024-01-16,859.4075927734375,882.7000122070312,903.9500122070312,873.25,903.9500122070312,1299501
2024-01-17,827.7164916992188,850.1500244140625,881.6500244140625,843.5,880.0,1856770
2024-01-18,821.3880004882812,843.6500244140625,850.0,813.9000244140625,850.0,2296029
2024-01-19,836.0408325195312,858.7000122070312,867.6500244140625,840.5999755859375,850.0,1564164
2024-01-23,803.5222778320312,825.2999877929688,883.75,817.1500244140625,877.9500122070312,1482258
2024-01-24,818.9053344726562,841.0999755859375,843.3499755859375,816.6500244140625,828.0,1124950
2024-01-25,806.7838745117188,828.6500244140625,846.3499755859375,818.0999755859375,844.0,1772063
2024-01-29,837.6472778320312,860.3499755859375,867.8499755859375,815.2000122070312,831.0,6047472
2024-01-30,842.6127319335938,865.4500122070312,894.5,855.0,868.0,6244159
2024-01-31,864.080810546875,887.5,892.0,865.0,871.5,2756554
2024-02-01,896.8916015625,921.2000122070312,924.2999877929688,872.5999755859375,892.7000122070312,4773808
2024-02-02,895.7719116210938,920.0499877929688,937.9000244140625,915.1500244140625,937.0499877929688,3415920
2024-02-05,905.8489379882812,930.4000244140625,951.9000244140625,913.0499877929688,930.0499877929688,3238887
2024-02-06,911.0576782226562,935.75,940.4500122070312,920.0,935.9000244140625,1185651
2024-02-07,901.2880859375,922.5499877929688,939.0,918.0499877929688,938.0,1022135
2024-02-08,928.9359130859375,950.8499755859375,964.0,920.2000122070312,928.0,3711989
2024-02-09,921.608642578125,943.3499755859375,971.5499877929688,910.0999755859375,961.0,2799376
2024-02-12,892.59326171875,913.6500244140625,951.9500122070312,906.5,951.9500122070312,2251407
2024-02-13,903.9746704101562,925.2999877929688,933.6500244140625,894.0,914.9000244140625,1624595
2024-02-14,917.9940185546875,939.6500244140625,942.5,913.0,920.9000244140625,1538122
2024-02-15,933.1368408203125,955.1500244140625,961.6500244140625,934.0,949.0,1713175
2024-02-16,958.1956176757812,980.7999877929688,987.0,951.2000122070312,957.0,3576995
2024-02-19,986.966796875,1010.25,1015.2000122070312,966.4500122070312,984.75,3354158
2024-02-20,976.7577514648438,999.7999877929688,1013.75,990.0,1001.5,3193542
2024-02-21,969.0398559570312,991.9000244140625,1027.6500244140625,986.0999755859375,1004.0,3854456
2024-02-22,990.3374633789062,1013.7000122070312,1024.0,985.7000122070312,1002.75,2872499
2024-02-23,981.7890625,1004.9500122070312,1021.5,1001.25,1021.5,1290598
2024-02-26,964.301513671875,987.0499877929688,1005.2999877929688,978.75,1004.9500122070312,3999562
2024-02-27,949.6473388671875,972.0499877929688,998.4000244140625,965.2000122070312,987.0499877929688,1540090
2024-02-28,935.1884765625,957.25,985.9500122070312,951.2000122070312,980.2000122070312,1761906
2024-02-29,954.8739624023438,977.4000244140625,985.6500244140625,945.0,952.2000122070312,3664111
2024-03-01,955.5089721679688,978.0499877929688,988.9000244140625,972.3499755859375,983.7999877929688,627986
