date_,adj close_hscl.ns,close_hscl.ns,high_hscl.ns,low_hscl.ns,open_hscl.ns,volume_hscl.ns
2024-01-16,390.6253662109375,391.70001220703125,393.5,372.1000061035156,375.20001220703125,1635182
2024-01-17,375.91583251953125,376.95001220703125,388.75,375.0,383.75,862347
2024-01-18,374.9684143066406,376.0,381.0,358.1000061035156,377.0,732498
2024-01-19,373.0237731933594,374.04998779296875,381.45001220703125,370.0,376.70001220703125,534004
2024-01-23,363.6994323730469,364.70001220703125,376.6000061035156,357.0,374.0,870677
2024-01-24,363.9487609863281,364.95001220703125,368.0,358.1000061035156,361.1000061035156,1031573
2024-01-25,371.0791015625,372.1000061035156,377.0,361.0,366.6000061035156,351124
2024-01-29,369.23419189453125,370.25,378.70001220703125,367.29998779296875,373.6000061035156,483677
2024-01-30,364.54705810546875,365.54998779296875,373.5,365.1000061035156,372.1000061035156,380628
2024-01-31,373.32293701171875,374.3500061035156,379.0,366.0,366.0,488732
2024-02-01,369.5832214355469,370.6000061035156,378.1000061035156,368.6000061035156,376.95001220703125,438357
2024-02-02,369.23419189453125,370.25,372.1000061035156,366.1000061035156,372.1000061035156,467807
2024-02-05,366.5914611816406,367.6000061035156,370.5,362.0,370.0,575278
2024-02-06,372.8243103027344,373.8500061035156,375.0,366.0,369.04998779296875,619200
2024-02-07,378.1097717285156,379.1499938964844,389.8999938964844,374.0,374.0,598662
2024-02-08,370.58050537109375,371.6000061035156,389.29998779296875,370.1000061035156,389.29998779296875,322619
2024-02-09,368.13720703125,369.1499938964844,375.1000061035156,353.04998779296875,371.6000061035156,523553
2024-02-12,351.8819274902344,352.8500061035156,369.1499938964844,350.70001220703125,365.0,857421
2024-02-13,350.3361511230469,351.29998779296875,358.1000061035156,335.20001220703125,349.0,741049
2024-02-14,353.9761657714844,354.95001220703125,359.79998779296875,341.1000061035156,342.5,415731
2024-02-15,358.513671875,359.5,366.1000061035156,353.95001220703125,356.1000061035156,312784
2024-02-16,363.10107421875,364.1000061035156,369.95001220703125,356.04998779296875,361.6499938964844,421203
2024-02-19,361.7547607421875,362.75,369.0,358.8999938964844,367.0,372601
2024-02-20,363.35040283203125,364.3500061035156,365.8999938964844,360.04998779296875,365.6499938964844,256673
2024-02-21,361.4555969238281,362.45001220703125,366.0,359.1000061035156,365.8500061035156,289415
2024-02-22,361.206298828125,362.20001220703125,364.8999938964844,353.1000061035156,362.45001220703125,1244021
2024-02-23,364.8961181640625,365.8999938964844,369.0,356.5,363.1499938964844,406458
2024-02-26,365.1953125,366.20001220703125,373.0,361.0,369.0,826505
2024-02-27,364.995849609375,366.0,369.8999938964844,360.70001220703125,368.79998779296875,311326
2024-02-28,359.0123291015625,360.0,368.20001220703125,351.25,368.20001220703125,407992
2024-02-29,367.2895202636719,368.29998779296875,374.75,350.0,364.8999938964844,906162
2024-03-01,362.7021789550781,363.70001220703125,372.79998779296875,358.1000061035156,368.29998779296875,273529
2024-03-04,354.8238220214844,355.79998779296875,365.0,352.29998779296875,364.54998779296875,325785
2024-03-05,352.430419921875,353.3999938964844,358.0,351.20001220703125,355.0,230027
2024-03-06,341.06170654296875,342.0,353.3500061035156,336.0,350.1000061035156,660044
2024-03-07,332.9839172363281,333.8999938964844,341.95001220703125,332.0,341.95001220703125,633932
2024-03-11,316.32977294921875,317.20001220703125,333.0,317.20001220703125,333.0,725015
2024-03-12,300.5232238769531,301.3500061035156,310.8999938964844,301.3500061035156,301.3500061035156,825662
2024-03-13,285.5145263671875,286.29998779296875,294.95001220703125,286.29998779296875,286.29998779296875,744167
2024-03-14,299.7752685546875,300.6000061035156,300.6000061035156,272.0,272.0,938149
