date_,adj close_sundrmfast.ns,close_sundrmfast.ns,high_sundrmfast.ns,low_sundrmfast.ns,open_sundrmfast.ns,volume_sundrmfast.ns
2024-01-16,1237.7159423828125,1255.8499755859375,1278.1500244140625,1251.300048828125,1267.199951171875,38864
2024-01-17,1249.3948974609375,1267.699951171875,1275.0,1237.0,1253.199951171875,45261
2024-01-18,1257.3778076171875,1275.800048828125,1280.0,1247.3499755859375,1274.0,51703
2024-01-19,1255.94873046875,1274.3499755859375,1295.0,1267.0,1268.0,53198
2024-01-23,1246.290283203125,1264.550048828125,1289.1500244140625,1253.800048828125,1277.0,33045
2024-01-24,1255.2589111328125,1273.6500244140625,1284.550048828125,1250.0,1267.6500244140625,83185
2024-01-25,1251.8585205078125,1270.199951171875,1280.5,1264.050048828125,1280.0,22288
2024-01-29,1215.8365478515625,1233.6500244140625,1280.0,1230.0,1270.0,59209
2024-01-30,1201.9893798828125,1219.5999755859375,1245.0,1215.0,1245.0,204869
2024-01-31,1201.5458984375,1219.1500244140625,1239.0,1216.25,1223.0,104662
2024-02-01,1212.0914306640625,1229.8499755859375,1233.949951171875,1210.25,1225.25,138431
2024-02-02,1210.3665771484375,1228.0999755859375,1238.0,1217.0,1232.0999755859375,104199
2024-02-05,1174.98486328125,1192.199951171875,1234.0999755859375,1179.0,1220.0,74293
2024-02-06,1231.0633544921875,1249.0999755859375,1286.5,1162.449951171875,1192.199951171875,374336
2024-02-07,1208.1983642578125,1225.9000244140625,1256.800048828125,1211.1500244140625,1249.0999755859375,215685
2024-02-08,1172.0775146484375,1189.25,1231.0,1184.800048828125,1230.0,100600
2024-02-09,1112.3033447265625,1128.5999755859375,1194.550048828125,1124.199951171875,1189.6500244140625,292992
2024-02-12,1070.5155029296875,1086.199951171875,1139.5,1071.550048828125,1134.5,187300
2024-02-13,1075.0491943359375,1090.800048828125,1100.0,1049.6500244140625,1087.0,196991
2024-02-14,1078.646484375,1094.449951171875,1119.0,1069.5999755859375,1085.0,130498
