date_,adj close_auropharma.ns,close_auropharma.ns,high_auropharma.ns,low_auropharma.ns,open_auropharma.ns,volume_auropharma.ns
2024-01-16,1113.0594482421875,1118.8499755859375,1149.6500244140625,1115.199951171875,1149.6500244140625,1916355
2024-01-17,1083.0157470703125,1088.6500244140625,1118.3499755859375,1083.050048828125,1114.949951171875,2555372
2024-01-18,1118.978759765625,1124.800048828125,1130.9000244140625,1061.4000244140625,1087.5,3751754
2024-01-19,1142.7550048828125,1148.699951171875,1155.449951171875,1115.199951171875,1130.0,1860722
2024-01-23,1127.733154296875,1133.5999755859375,1166.300048828125,1126.050048828125,1159.9000244140625,2687597
2024-01-24,1154.095947265625,1160.0999755859375,1165.449951171875,1112.6500244140625,1133.5999755859375,3035259
2024-01-25,1144.8939208984375,1150.8499755859375,1173.9000244140625,1140.050048828125,1163.9000244140625,1951555
2024-01-29,1154.842041015625,1160.8499755859375,1170.300048828125,1142.050048828125,1151.0,2487620
2024-01-30,1150.067138671875,1156.050048828125,1177.0999755859375,1144.050048828125,1157.0,1317033
2024-01-31,1144.4462890625,1150.4000244140625,1161.699951171875,1121.1500244140625,1148.1500244140625,6067488
2024-02-01,1065.2581787109375,1070.800048828125,1155.050048828125,1035.4000244140625,1155.0,10693504
2024-02-02,1061.2291259765625,1066.75,1075.0,1050.0,1071.0999755859375,4136167
2024-02-05,1012.9801635742188,1018.25,1074.300048828125,1009.3499755859375,1052.0,9198598
2024-02-06,1009.1500854492188,1014.4000244140625,1048.9000244140625,1005.25,1026.5,3897286
2024-02-07,989.1043701171875,994.25,1022.75,977.0,1017.6500244140625,6590077
2024-02-08,997.4111328125,1002.5999755859375,1029.800048828125,997.5999755859375,1002.5,3235131
2024-02-09,997.9583740234375,1003.1500244140625,1021.0,977.0,1012.5999755859375,3018985
2024-02-12,1013.3781127929688,1018.6500244140625,1035.9000244140625,1000.0499877929688,1035.9000244140625,7764030
2024-02-13,1021.0880126953125,1026.4000244140625,1040.0,1018.0,1031.9000244140625,3447523
2024-02-14,990.9447631835938,996.0999755859375,1019.9000244140625,958.5,1019.9000244140625,6714469
2024-02-15,1011.9356079101562,1017.2000122070312,1024.0,996.4500122070312,998.9500122070312,3729561
2024-02-16,1028.84765625,1034.199951171875,1053.699951171875,1020.5999755859375,1024.449951171875,4276343
2024-02-19,1035.512939453125,1040.9000244140625,1056.800048828125,1034.199951171875,1041.050048828125,2374532
2024-02-20,1048.46435546875,1052.4000244140625,1055.0999755859375,1025.050048828125,1040.9000244140625,1754778
2024-02-21,1036.90771484375,1040.800048828125,1061.0,1036.449951171875,1052.0999755859375,1584527
2024-02-22,1043.08447265625,1047.0,1053.949951171875,1035.300048828125,1053.949951171875,893988
2024-02-23,1039.896484375,1043.800048828125,1054.25,1039.0999755859375,1049.0,1093551
2024-02-26,1038.003662109375,1041.9000244140625,1049.0,1019.0,1043.800048828125,3005755
2024-02-27,1041.689697265625,1045.5999755859375,1053.0,1033.5999755859375,1037.0,912097
2024-02-28,1024.70361328125,1028.550048828125,1050.550048828125,1022.2000122070312,1049.5999755859375,1300541
2024-02-29,1024.255126953125,1028.0999755859375,1032.550048828125,1014.75,1028.550048828125,1882782
2024-03-01,1022.5615844726562,1026.4000244140625,1032.449951171875,1011.1500244140625,1020.5999755859375,2737303
2024-03-04,1086.8203125,1090.9000244140625,1114.0,1072.0,1080.0,3893794
2024-03-05,1079.796630859375,1083.8499755859375,1098.699951171875,1069.300048828125,1086.0999755859375,2278824
2024-03-06,1056.235107421875,1060.199951171875,1081.800048828125,1038.0999755859375,1081.25,1717312
2024-03-07,1054.89013671875,1058.8499755859375,1073.6500244140625,1054.449951171875,1060.0,1168234
2024-03-11,1060.71826171875,1064.699951171875,1076.9000244140625,1052.1500244140625,1072.0,2372008
2024-03-12,1040.7930908203125,1044.699951171875,1085.0,1037.1500244140625,1073.9000244140625,1492814
2024-03-13,1001.8392944335938,1005.5999755859375,1067.3499755859375,985.0499877929688,1051.0,2054014
2024-03-14,1007.5180053710938,1011.2999877929688,1022.1500244140625,990.4000244140625,1005.0,1744256
2024-03-15,997.605224609375,1001.3499755859375,1015.7999877929688,984.2999877929688,1010.0,2084432
2024-03-18,1013.79443359375,1017.5999755859375,1025.0,989.25,989.9000244140625,2266012
2024-03-19,986.6962280273438,990.4000244140625,1017.0,986.2000122070312,1015.0,1633129
2024-03-20,1013.44580078125,1017.25,1022.0,994.0499877929688,1004.0,2058203
2024-03-21,1024.4046630859375,1028.25,1030.800048828125,1012.25,1028.300048828125,1235122
2024-03-22,1016.0360107421875,1019.8499755859375,1036.300048828125,1004.0,1004.0,1430882
2024-03-26,1049.1119384765625,1053.050048828125,1059.25,995.2999877929688,1002.0,1859790
2024-03-27,1066.34716796875,1070.3499755859375,1074.9000244140625,1041.5999755859375,1050.0,1497184
2024-03-28,1084.6783447265625,1088.75,1099.25,1064.050048828125,1070.3499755859375,2060466
2024-04-01,1109.1864013671875,1113.3499755859375,1131.550048828125,1104.550048828125,1113.0,2560078
2024-04-02,1097.330810546875,1101.449951171875,1115.0,1094.050048828125,1114.550048828125,1019400
2024-04-03,1133.3955078125,1137.6500244140625,1150.699951171875,1103.0,1103.0,2589939
2024-04-04,1119.3980712890625,1123.5999755859375,1139.050048828125,1115.25,1137.0999755859375,2299460
2024-04-05,1119.4976806640625,1123.699951171875,1142.0,1120.300048828125,1123.0,1696633
2024-04-08,1116.060546875,1120.25,1129.9000244140625,1104.050048828125,1129.9000244140625,1961231
2024-04-09,1127.716796875,1131.949951171875,1137.25,1116.050048828125,1124.0,770370
2024-04-10,1104.5040283203125,1108.6500244140625,1134.9000244140625,1105.0,1132.0,1589943
2024-04-12,1084.3795166015625,1088.449951171875,1127.949951171875,1086.0,1110.0999755859375,1216798
2024-04-15,1081.2413330078125,1085.300048828125,1095.75,1072.050048828125,1075.0,2423299
2024-04-16,1106.94482421875,1111.0999755859375,1117.199951171875,1069.300048828125,1075.0,1700783
2024-04-18,1110.33203125,1114.5,1129.0,1095.800048828125,1113.8499755859375,2027734
