date_,adj close_deepakntr.ns,close_deepakntr.ns,high_deepakntr.ns,low_deepakntr.ns,open_deepakntr.ns,volume_deepakntr.ns
2024-01-16,2387.148193359375,2403.199951171875,2456.199951171875,2373.0,2430.0,191471
2024-01-17,2309.818359375,2325.35009765625,2420.35009765625,2317.0,2381.0,367496
2024-01-18,2277.734130859375,2293.050048828125,2346.89990234375,2261.0,2325.39990234375,293820
2024-01-19,2340.958740234375,2356.699951171875,2407.449951171875,2299.199951171875,2300.0,457836
2024-01-23,2231.544677734375,2246.550048828125,2340.14990234375,2239.050048828125,2318.949951171875,235127
2024-01-24,2268.893310546875,2284.14990234375,2292.0,2227.050048828125,2244.75,135521
2024-01-25,2221.46240234375,2236.39990234375,2294.949951171875,2231.89990234375,2284.14990234375,125374
2024-01-29,2225.1376953125,2240.10009765625,2250.0,2223.0,2236.39990234375,134590
2024-01-30,2203.681884765625,2218.5,2265.35009765625,2214.5,2250.0,164594
2024-01-31,2290.498046875,2305.89990234375,2320.0,2208.050048828125,2208.050048828125,393059
2024-02-01,2235.468017578125,2250.5,2357.949951171875,2239.0,2350.0,406784
2024-02-02,2235.120361328125,2250.14990234375,2280.0,2245.39990234375,2270.0,144886
2024-02-05,2197.275146484375,2212.050048828125,2268.0,2204.35009765625,2250.14990234375,186156
2024-02-06,2233.38232421875,2248.39990234375,2266.699951171875,2212.050048828125,2222.0,176374
2024-02-07,2215.3037109375,2230.199951171875,2268.75,2221.550048828125,2255.0,206048
2024-02-08,2188.434326171875,2203.14990234375,2247.35009765625,2195.550048828125,2236.0,137498
2024-02-09,2200.35400390625,2215.14990234375,2222.39990234375,2178.0,2200.0,145845
2024-02-12,2183.219482421875,2197.89990234375,2251.0,2189.0,2216.0,154953
2024-02-13,2215.85009765625,2230.75,2238.300048828125,2163.0,2189.10009765625,180054
2024-02-14,2241.676513671875,2256.75,2270.550048828125,2183.0,2183.0,413434
2024-02-15,2267.453125,2282.699951171875,2334.0,2263.0,2270.050048828125,420659
2024-02-16,2296.755859375,2312.199951171875,2323.25,2273.050048828125,2289.0,205382
2024-02-19,2266.360595703125,2281.60009765625,2314.85009765625,2275.550048828125,2295.25,299424
2024-02-20,2340.859619140625,2356.60009765625,2368.050048828125,2276.699951171875,2281.60009765625,798999
2024-02-21,2311.208740234375,2326.75,2378.0,2312.050048828125,2371.949951171875,748700
2024-02-22,2325.959716796875,2341.60009765625,2352.35009765625,2320.0,2334.0,228509
2024-02-23,2290.150390625,2305.550048828125,2362.0,2300.0,2343.550048828125,188350
2024-02-26,2268.396728515625,2283.64990234375,2314.60009765625,2275.449951171875,2307.0,129553
2024-02-27,2247.984130859375,2263.10009765625,2304.699951171875,2256.050048828125,2284.0,145591
2024-02-28,2175.918701171875,2190.550048828125,2274.75,2180.800048828125,2264.949951171875,319676
2024-02-29,2198.06982421875,2212.85009765625,2223.64990234375,2169.0,2190.550048828125,214547
2024-03-01,2206.41357421875,2221.25,2234.800048828125,2206.14990234375,2206.14990234375,184530
2024-03-04,2172.888916015625,2187.5,2238.050048828125,2184.10009765625,2218.35009765625,99205
2024-03-05,2186.696044921875,2201.39990234375,2227.0,2176.050048828125,2176.050048828125,215185
2024-03-06,2174.92529296875,2189.550048828125,2201.75,2134.85009765625,2200.0,222308
2024-03-07,2191.315185546875,2206.050048828125,2250.0,2197.0,2200.0,244118
2024-03-11,2150.986083984375,2165.449951171875,2215.14990234375,2157.550048828125,2206.050048828125,126299
2024-03-12,2115.12744140625,2129.35009765625,2175.0,2121.5,2174.449951171875,183290
2024-03-13,2051.40576171875,2065.199951171875,2145.949951171875,2054.199951171875,2125.10009765625,396878
2024-03-14,2085.576171875,2099.60009765625,2109.0,2035.0999755859375,2051.0,138189
2024-03-15,2084.63232421875,2098.64990234375,2123.550048828125,2080.0,2108.0,234166
2024-03-18,2095.161865234375,2109.25,2120.89990234375,2101.0,2106.449951171875,102446
2024-03-19,2101.568603515625,2115.699951171875,2139.0,2096.699951171875,2109.449951171875,201055
2024-03-20,2086.02294921875,2100.050048828125,2130.0,2059.14990234375,2115.699951171875,165795
2024-03-21,2135.490478515625,2149.85009765625,2155.0,2110.050048828125,2110.550048828125,198270
2024-03-22,2146.715087890625,2161.14990234375,2183.300048828125,2148.14990234375,2160.0,225223
2024-03-26,2124.7626953125,2139.050048828125,2171.699951171875,2134.550048828125,2154.199951171875,138132
2024-03-27,2142.145751953125,2156.550048828125,2180.75,2130.0,2148.89990234375,273112
2024-03-28,2111.30322265625,2125.5,2168.949951171875,2117.0,2156.550048828125,214589
2024-04-01,2127.990966796875,2142.300048828125,2155.800048828125,2120.0,2131.949951171875,273839
2024-04-02,2188.23583984375,2202.949951171875,2214.050048828125,2140.5,2157.949951171875,359037
2024-04-03,2169.01513671875,2183.60009765625,2207.699951171875,2178.0,2200.0,412580
2024-04-04,2199.658935546875,2214.449951171875,2230.75,2163.64990234375,2189.949951171875,662523
2024-04-05,2205.072265625,2219.89990234375,2222.75,2187.199951171875,2216.949951171875,314918
2024-04-08,2192.06005859375,2206.800048828125,2257.949951171875,2197.050048828125,2225.0,364870
2024-04-09,2177.35888671875,2192.0,2234.5,2185.050048828125,2212.949951171875,232323
2024-04-10,2281.757080078125,2297.10009765625,2307.0,2190.449951171875,2195.0,803752
