date_,adj close_utiamc.ns,close_utiamc.ns,high_utiamc.ns,low_utiamc.ns,open_utiamc.ns,volume_utiamc.ns
2024-01-16,806.7161254882812,870.9000244140625,897.9000244140625,865.1500244140625,891.9500122070312,124250
2024-01-17,788.0510864257812,850.75,865.9500122070312,843.2000122070312,864.0,130029
2024-01-18,792.4973754882812,855.5499877929688,859.7000122070312,828.6500244140625,847.0,82547
2024-01-19,800.741455078125,864.4500122070312,868.0,856.5499877929688,856.5499877929688,56826
2024-01-23,769.9419555664062,831.2000122070312,859.9000244140625,825.0999755859375,856.0,130061
2024-01-24,794.3499755859375,857.5499877929688,863.25,832.2000122070312,834.9000244140625,82488
2024-01-25,795.5078125,858.7999877929688,865.75,850.7999877929688,859.0,50451
2024-01-29,802.9182739257812,866.7999877929688,871.25,852.0,860.4500122070312,98936
2024-01-30,830.244140625,896.2999877929688,965.0,884.9500122070312,885.0,3616645
2024-01-31,860.90478515625,929.4000244140625,944.6500244140625,899.1500244140625,899.7000122070312,1165074
2024-02-01,856.6437377929688,924.7999877929688,949.0,920.5499877929688,939.7999877929688,172809
2024-02-02,857.8015747070312,926.0499877929688,931.9500122070312,915.0,925.7000122070312,110851
2024-02-05,852.1511840820312,919.9500122070312,939.75,910.25,927.8499755859375,137924
2024-02-06,856.3195190429688,924.4500122070312,946.8499755859375,920.0,920.0,162040
2024-02-07,851.9659423828125,919.75,937.0,910.0,937.0,79052
2024-02-08,850.11328125,917.75,929.0,908.5,921.0,106534
2024-02-09,850.8080444335938,918.5,922.9000244140625,892.2000122070312,919.8499755859375,93003
2024-02-12,831.6336059570312,897.7999877929688,928.4500122070312,893.25,918.5,88309
2024-02-13,845.1112670898438,912.3499755859375,917.5999755859375,878.0,897.7999877929688,85719
2024-02-14,849.51123046875,917.0999755859375,920.0499877929688,895.0999755859375,901.0499877929688,78254
2024-02-15,847.1491088867188,914.5499877929688,936.0499877929688,908.0,917.0999755859375,90520
2024-02-16,840.94287109375,907.8499755859375,926.7000122070312,905.25,921.0,64860
2024-02-19,844.9723510742188,912.2000122070312,925.0,902.25,923.0,72368
2024-02-20,841.4987182617188,908.4500122070312,921.0,904.0499877929688,914.5,103520
2024-02-21,865.9994506835938,934.9000244140625,960.9500122070312,909.1500244140625,913.7999877929688,669144
2024-02-22,851.2711791992188,919.0,942.9500122070312,912.0499877929688,940.0,143565
2024-02-23,848.8628540039062,916.4000244140625,934.5,913.0,926.0,255389
2024-02-26,838.4882202148438,905.2000122070312,928.5999755859375,902.75,920.0,125734
2024-02-27,857.570068359375,925.7999877929688,937.0,904.8499755859375,906.7000122070312,458338
2024-02-28,826.0758056640625,891.7999877929688,936.5499877929688,888.5499877929688,922.0,137497
2024-02-29,830.6146850585938,896.7000122070312,908.0,879.25,895.9000244140625,257362
2024-03-01,835.5240478515625,902.0,911.8499755859375,895.0,895.0,68161
2024-03-04,830.568359375,896.6500244140625,913.7000122070312,894.25,905.7999877929688,45234
2024-03-05,829.781005859375,895.7999877929688,899.4500122070312,891.0,895.0499877929688,56502
2024-03-06,811.3475952148438,875.9000244140625,904.0,869.4500122070312,895.7999877929688,119292
2024-03-07,825.056884765625,890.7000122070312,894.9000244140625,872.0,875.75,67564
2024-03-11,809.8191528320312,874.25,895.0,871.25,890.7000122070312,64863
2024-03-12,798.1478271484375,861.6500244140625,880.75,858.0999755859375,880.0,85719
2024-03-13,751.6937255859375,811.5,865.0,806.0,862.0,165620
2024-03-14,790.968994140625,853.9000244140625,857.7999877929688,802.0,813.9500122070312,81277
2024-03-15,776.0092163085938,837.75,855.0,830.0999755859375,855.0,69396
2024-03-18,764.8009643554688,825.6500244140625,839.7999877929688,821.0999755859375,832.0,88575
2024-03-19,749.3779907226562,809.0,848.0999755859375,805.0,822.0,268541
2024-03-20,757.158935546875,817.4000244140625,823.0,804.5,811.7000122070312,62545
2024-03-21,764.1525268554688,824.9500122070312,839.0,818.0,821.0999755859375,67130
2024-03-22,773.09130859375,834.5999755859375,839.0,819.5499877929688,819.75,40856
2024-03-26,760.4935913085938,821.0,838.0,818.25,835.1500244140625,57205
2024-03-27,754.19482421875,814.2000122070312,839.0,808.0,823.0499877929688,122376
2024-03-28,753.083251953125,813.0,826.0,807.0,815.0,87950
2024-04-01,780.548095703125,842.6500244140625,844.6500244140625,818.9500122070312,820.9000244140625,53487
2024-04-02,787.9121704101562,850.5999755859375,853.9500122070312,835.5,843.0,62606
2024-04-03,801.3898315429688,865.1500244140625,869.25,847.5499877929688,851.5,83522
2024-04-04,829.7347412109375,895.75,898.3499755859375,865.1500244140625,865.1500244140625,151967
2024-04-05,858.774169921875,927.0999755859375,929.4000244140625,895.0,895.75,308765
2024-04-08,856.1806030273438,924.2999877929688,934.9500122070312,901.5999755859375,930.9500122070312,132768
2024-04-09,847.5660400390625,915.0,935.9500122070312,911.2999877929688,926.0,214208
2024-04-10,840.3408203125,907.2000122070312,926.0,905.0,917.7999877929688,146356
2024-04-12,851.4564208984375,919.2000122070312,922.5,897.75,905.5999755859375,114787
2024-04-15,833.2083129882812,899.5,916.0499877929688,873.9000244140625,916.0499877929688,136771
2024-04-16,854.6522216796875,922.6500244140625,930.0,887.5,895.0,205694
2024-04-18,835.94091796875,902.4500122070312,930.0,900.25,923.0,89178
2024-04-19,833.99560546875,900.3499755859375,919.0,884.7999877929688,899.9000244140625,80886
2024-04-22,862.942626953125,931.5999755859375,954.6500244140625,920.1500244140625,932.0,582766
2024-04-23,870.02880859375,939.25,964.9000244140625,930.2999877929688,934.5,295054
2024-04-24,878.5045166015625,948.4000244140625,964.7999877929688,933.1500244140625,948.9500122070312,299066
2024-04-25,877.62451171875,947.4500122070312,958.0,933.25,950.0,245268
2024-04-26,902.5883178710938,974.4000244140625,1005.0,962.0,975.0,1936653
2024-04-29,897.4473266601562,968.8499755859375,999.0,964.7000122070312,982.0,455672
2024-04-30,880.4034423828125,950.4500122070312,976.9000244140625,941.0,976.9000244140625,265419
2024-05-02,878.5971069335938,948.5,960.3499755859375,942.5999755859375,950.0,130228
2024-05-03,875.7719116210938,945.4500122070312,956.9000244140625,936.0,954.9000244140625,113824
2024-05-06,855.48583984375,923.5499877929688,954.5,919.9000244140625,950.0,107869
2024-05-07,841.6839599609375,908.6500244140625,927.9000244140625,902.5999755859375,926.9000244140625,126499
2024-05-08,855.0690307617188,923.0999755859375,929.9000244140625,904.1500244140625,908.6500244140625,146045
2024-05-09,831.9578247070312,898.1500244140625,930.9500122070312,893.9000244140625,925.4500122070312,62538
2024-05-10,842.8418579101562,909.9000244140625,922.7000122070312,894.0999755859375,903.9500122070312,202888
2024-05-13,830.3831176757812,896.4500122070312,913.5,891.0,913.5,86383
2024-05-14,849.1406860351562,916.7000122070312,918.5,897.8499755859375,898.9000244140625,52719
2024-05-15,838.4419555664062,905.1500244140625,926.0,903.0,925.0,69492
2024-05-16,846.0839233398438,913.4000244140625,919.5499877929688,904.9500122070312,908.25,98923
2024-05-17,851.734375,919.5,924.5499877929688,912.9500122070312,915.8499755859375,111483
2024-05-21,853.7258911132812,921.6500244140625,931.0,915.0,931.0,61728
2024-05-22,859.2837524414062,927.6500244140625,936.7999877929688,914.0,927.9500122070312,61409
2024-05-23,856.4584350585938,924.5999755859375,929.9500122070312,917.7999877929688,928.1500244140625,42812
2024-05-24,858.2184448242188,926.5,934.6500244140625,921.4500122070312,929.0,42983
2024-05-27,849.83544921875,917.4500122070312,937.7999877929688,915.9000244140625,933.2999877929688,55371
2024-05-28,853.8185424804688,921.75,927.0,912.3499755859375,914.7999877929688,76088
2024-05-29,855.346923828125,923.4000244140625,939.7999877929688,915.0,915.0,86358
2024-05-30,837.83984375,904.5,924.7999877929688,899.0499877929688,923.7999877929688,52094
2024-05-31,841.6839599609375,908.6500244140625,913.1500244140625,900.2999877929688,907.0,149445
2024-06-03,857.060546875,925.25,937.0,918.3499755859375,932.0,106262
2024-06-04,866.3236083984375,935.25,944.7999877929688,896.9500122070312,934.0,426376
2024-06-05,859.0521850585938,927.4000244140625,940.0,908.5499877929688,931.4000244140625,93627
2024-06-06,888.6474609375,959.3499755859375,975.5,930.0499877929688,930.0499877929688,280399
2024-06-07,889.4811401367188,960.25,975.75,949.0,949.0,115376
2024-06-10,904.5798950195312,976.5499877929688,986.3499755859375,952.5499877929688,965.2999877929688,274544
2024-06-11,911.0176391601562,983.5,990.7000122070312,970.25,976.7000122070312,189564
2024-06-12,916.7144165039062,989.6500244140625,995.6500244140625,982.0499877929688,992.2000122070312,143733
2024-06-13,916.297607421875,989.2000122070312,1004.0,984.3499755859375,989.7000122070312,107142
2024-06-14,927.2742309570312,1001.0499877929688,1012.2000122070312,987.2999877929688,989.2000122070312,297947
2024-06-18,966.9662475585938,1043.9000244140625,1068.0,1002.0,1002.0,779522
2024-06-19,953.025390625,1028.8499755859375,1054.25,1022.1500244140625,1043.9000244140625,168961
2024-06-20,948.8570556640625,1024.3499755859375,1046.0,1017.0,1028.0,136421
2024-06-21,937.88037109375,1012.5,1036.9000244140625,1005.0,1033.9000244140625,151576
2024-06-24,943.2529296875,1018.2999877929688,1022.5,1006.7999877929688,1020.0499877929688,111135
2024-06-25,944.9666137695312,1020.1500244140625,1048.5999755859375,1010.0,1027.5,182524
2024-06-26,940.4740600585938,1015.2999877929688,1027.949951171875,1001.9000244140625,1020.2000122070312,114156
2024-06-27,926.6257934570312,1000.3499755859375,1020.0,997.6500244140625,1018.5999755859375,94809
