date_,adj close_vijaya.ns,close_vijaya.ns,high_vijaya.ns,low_vijaya.ns,open_vijaya.ns,volume_vijaya.ns
2024-01-16,667.6543579101562,669.75,679.4000244140625,666.4500122070312,673.0,76960
2024-01-17,671.1931762695312,673.2999877929688,676.0,652.2000122070312,671.0,82290
2024-01-18,662.4207763671875,664.5,675.6500244140625,646.8499755859375,673.2999877929688,72965
2024-01-19,647.7667236328125,649.7999877929688,668.5499877929688,647.0,667.75,66739
2024-01-23,634.3588256835938,636.3499755859375,661.75,631.2000122070312,650.0,153562
2024-01-24,633.461669921875,635.4500122070312,655.3499755859375,624.7999877929688,635.0,293320
2024-01-25,645.972412109375,648.0,651.0,632.0,637.7000122070312,114950
2024-01-29,646.8197631835938,648.8499755859375,657.1500244140625,644.5499877929688,651.25,44787
2024-01-30,648.0658569335938,650.0999755859375,666.7000122070312,646.7000122070312,648.5499877929688,70331
2024-01-31,658.3336181640625,660.4000244140625,675.0999755859375,652.3499755859375,653.3499755859375,157052
2024-02-01,656.6389770507812,658.7000122070312,671.1500244140625,656.7999877929688,663.7000122070312,73197
2024-02-02,646.6702270507812,648.7000122070312,665.2000122070312,643.6500244140625,656.1500244140625,48978
2024-02-05,618.2095947265625,620.1500244140625,654.0,608.5499877929688,648.7000122070312,353468
2024-02-06,628.1283569335938,630.0999755859375,643.7000122070312,623.8499755859375,629.0,654015
2024-02-07,666.9564819335938,669.0499877929688,718.7999877929688,645.4500122070312,667.7000122070312,3487727
2024-02-08,660.0282592773438,662.0999755859375,688.9500122070312,645.2000122070312,675.0,419765
2024-02-09,642.3338012695312,644.3499755859375,667.5,631.0,663.0,285322
2024-02-12,642.3836669921875,644.4000244140625,647.7000122070312,635.75,644.0,94259
2024-02-13,629.673583984375,631.6500244140625,647.75,622.4500122070312,644.4000244140625,110268
2024-02-14,625.63623046875,627.5999755859375,634.9500122070312,621.0,621.0,75985
2024-02-15,625.1876220703125,627.1500244140625,644.5999755859375,625.1500244140625,627.5999755859375,67554
2024-02-16,633.3619995117188,635.3499755859375,653.4000244140625,627.1500244140625,627.1500244140625,132823
2024-02-19,631.7669677734375,633.75,637.75,626.0,630.0,144942
2024-02-20,631.3682250976562,633.3499755859375,646.5,630.0,630.0,148977
2024-02-21,642.9817504882812,645.0,650.0,628.9500122070312,636.5,193813
2024-02-22,653.0501708984375,655.0999755859375,658.0,640.0,645.0,221541
2024-02-23,651.85400390625,653.9000244140625,664.9500122070312,648.0,664.9500122070312,54018
2024-02-26,655.4426879882812,657.5,661.0,648.0499877929688,653.9000244140625,45654
2024-02-27,663.0188598632812,665.0999755859375,668.7000122070312,654.2999877929688,657.5,97197
2024-02-28,654.44580078125,656.5,676.5999755859375,648.0999755859375,670.0,107835
2024-02-29,642.4833374023438,644.5,653.3499755859375,638.0,650.0,71350
2024-03-01,629.6236572265625,631.5999755859375,643.25,629.0,640.0,98811
2024-03-04,616.3154907226562,618.25,634.5499877929688,611.0,630.0,93774
2024-03-05,617.3123168945312,619.25,625.0,605.0,612.25,105522
2024-03-06,620.65185546875,622.5999755859375,633.4000244140625,611.25,619.25,150722
2024-03-07,635.70458984375,637.7000122070312,650.7000122070312,617.0999755859375,622.5999755859375,99824
2024-03-11,640.5394287109375,642.5499877929688,644.9500122070312,630.2000122070312,637.7000122070312,142274
2024-03-12,612.3280029296875,614.25,645.7999877929688,597.0499877929688,642.5499877929688,777308
2024-03-13,608.09130859375,610.0,616.9000244140625,598.7999877929688,610.0,134915
2024-03-14,602.4589233398438,604.3499755859375,622.7000122070312,596.0499877929688,619.1500244140625,184250
2024-03-15,603.3063354492188,605.2000122070312,617.4500122070312,602.2000122070312,604.2999877929688,50181
2024-03-18,605.59912109375,607.5,616.4000244140625,596.0499877929688,603.0,53150
2024-03-19,607.6925659179688,609.5999755859375,618.6500244140625,603.0999755859375,605.2000122070312,60641
2024-03-20,624.1907958984375,626.1500244140625,645.0,609.5499877929688,609.5999755859375,303908
2024-03-21,625.8853759765625,627.8499755859375,635.2000122070312,620.2999877929688,628.0499877929688,79824
2024-03-22,628.9259033203125,630.9000244140625,634.4000244140625,622.25,627.8499755859375,77292
2024-03-26,633.810546875,635.7999877929688,638.5,624.5999755859375,624.5999755859375,85903
2024-03-27,631.7171630859375,633.7000122070312,644.9500122070312,626.6500244140625,639.0,56212
2024-03-28,634.6080932617188,636.5999755859375,644.5,629.9500122070312,644.0,82137
2024-04-01,658.83203125,660.9000244140625,664.7000122070312,636.5999755859375,636.5999755859375,76643
2024-04-02,654.5953369140625,656.6500244140625,669.0,650.0499877929688,669.0,105608
2024-04-03,646.8197631835938,648.8499755859375,658.5,640.5499877929688,652.0,68178
2024-04-04,653.9971923828125,656.0499877929688,659.0,642.9500122070312,646.0,61019
2024-04-05,662.919189453125,665.0,671.2999877929688,655.7999877929688,656.0499877929688,790927
2024-04-08,658.83203125,660.9000244140625,679.5999755859375,655.75,665.0,128482
2024-04-09,669.3988647460938,671.5,675.5,661.3499755859375,665.0,58642
2024-04-10,667.7041625976562,669.7999877929688,676.6500244140625,663.5999755859375,669.5499877929688,71814
2024-04-12,680.7133178710938,682.8499755859375,688.75,650.0999755859375,669.7999877929688,141339
2024-04-15,669.3988647460938,671.5,675.2000122070312,647.4000244140625,666.0,89933
2024-04-16,689.9343872070312,692.0999755859375,697.0,665.5,671.5,183071
2024-04-18,674.233642578125,676.3499755859375,699.7000122070312,665.0499877929688,696.0,401349
2024-04-19,670.74462890625,672.8499755859375,683.0499877929688,667.0,675.0,41001
2024-04-22,665.6605834960938,667.75,680.0999755859375,658.2999877929688,672.9500122070312,95075
2024-04-23,658.6326904296875,660.7000122070312,676.75,652.4500122070312,676.75,158421
2024-04-24,669.9470825195312,672.0499877929688,675.0,660.2999877929688,661.0,52216
2024-04-25,689.2366333007812,691.4000244140625,695.0,660.0499877929688,674.9000244140625,94852
2024-04-26,700.70068359375,702.9000244140625,720.0,688.9500122070312,695.9000244140625,178710
2024-04-29,715.0555419921875,717.2999877929688,720.0,696.5499877929688,718.0,325851
2024-04-30,697.1616821289062,699.3499755859375,716.4500122070312,690.9500122070312,716.4500122070312,73778
2024-05-02,675.03125,677.1500244140625,698.9500122070312,673.0,698.9500122070312,267162
2024-05-03,679.2679443359375,681.4000244140625,684.2999877929688,666.2000122070312,677.1500244140625,73120
2024-05-06,673.4361572265625,675.5499877929688,684.25,659.0,681.4000244140625,384702
2024-05-07,663.9659423828125,666.0499877929688,688.9000244140625,662.5,671.5,150964
2024-05-08,675.479736328125,677.5999755859375,684.0,654.5499877929688,666.0,140320
2024-05-09,727.9650268554688,730.25,737.0,679.0,684.9500122070312,3512294
2024-05-10,800.3877563476562,802.9000244140625,817.9500122070312,723.5,728.5,8587775
2024-05-13,763.005126953125,765.4000244140625,799.7999877929688,762.0999755859375,793.7999877929688,1099467
2024-05-14,757.9708251953125,760.3499755859375,783.0999755859375,750.5999755859375,770.0,400216
2024-05-15,799.8394165039062,802.3499755859375,837.9500122070312,764.5499877929688,767.7999877929688,2870124
2024-05-16,782.3941650390625,784.8499755859375,802.5499877929688,780.2999877929688,802.3499755859375,396287
2024-05-17,773.771240234375,776.2000122070312,788.7000122070312,768.9500122070312,788.0,237032
2024-05-21,782.3442993164062,784.7999877929688,803.0499877929688,775.5499877929688,803.0,174566
2024-05-22,778.5064086914062,780.9500122070312,795.0,777.0,793.8499755859375,113392
2024-05-23,774.0703125,776.5,803.3499755859375,770.1500244140625,787.9000244140625,262580
2024-05-24,773.123291015625,775.5499877929688,793.0,766.0499877929688,791.0,190243
2024-05-27,773.8709106445312,776.2999877929688,789.0,759.0499877929688,775.5499877929688,126884
2024-05-28,790.3192749023438,792.7999877929688,844.4500122070312,777.0499877929688,777.9000244140625,2000873
2024-05-29,808.0635986328125,810.5999755859375,823.0,792.7999877929688,795.9500122070312,317640
