date_,adj close_sbilife.ns,close_sbilife.ns,high_sbilife.ns,low_sbilife.ns,open_sbilife.ns,volume_sbilife.ns
2024-01-16,1403.6025390625,1408.800048828125,1431.9000244140625,1405.550048828125,1425.050048828125,1729041
2024-01-17,1415.906982421875,1421.1500244140625,1444.949951171875,1386.550048828125,1397.0,2628568
2024-01-18,1399.7169189453125,1404.9000244140625,1438.0,1384.199951171875,1416.9000244140625,2296538
2024-01-19,1435.28515625,1440.5999755859375,1445.0,1405.4000244140625,1405.9000244140625,570639
2024-01-23,1370.42529296875,1375.5,1448.6500244140625,1367.3499755859375,1444.0,2880301
2024-01-24,1405.34619140625,1410.550048828125,1413.9000244140625,1368.550048828125,1380.4000244140625,1255876
2024-01-25,1375.805419921875,1380.9000244140625,1414.9000244140625,1357.1500244140625,1414.9000244140625,3230297
2024-01-29,1413.1671142578125,1418.4000244140625,1424.5999755859375,1388.0,1388.0,1607583
2024-01-30,1393.8387451171875,1399.0,1433.699951171875,1392.8499755859375,1425.0,1464906
2024-01-31,1395.980712890625,1401.1500244140625,1406.5,1381.699951171875,1400.0,1343827
2024-02-01,1427.4642333984375,1432.75,1459.699951171875,1398.5,1407.300048828125,1803699
2024-02-02,1430.1541748046875,1435.449951171875,1456.0,1420.050048828125,1440.800048828125,1817169
2024-02-05,1414.6116943359375,1419.8499755859375,1460.0,1414.9000244140625,1435.0,1010779
2024-02-06,1458.598876953125,1464.0,1469.949951171875,1404.9000244140625,1422.5999755859375,1515381
2024-02-07,1464.0286865234375,1469.449951171875,1493.0,1453.6500244140625,1472.5999755859375,690402
2024-02-08,1453.6671142578125,1459.050048828125,1492.0999755859375,1455.1500244140625,1481.9000244140625,1679065
2024-02-09,1434.388427734375,1439.699951171875,1468.0,1436.5,1468.0,596482
2024-02-12,1430.7021484375,1436.0,1452.0,1423.25,1442.449951171875,515507
2024-02-13,1462.185546875,1467.5999755859375,1475.8499755859375,1428.199951171875,1436.0,1388464
