date_,adj close_kajariacer.ns,close_kajariacer.ns,high_kajariacer.ns,low_kajariacer.ns,open_kajariacer.ns,volume_kajariacer.ns
2024-01-16,1373.3909912109375,1398.800048828125,1433.0999755859375,1391.0999755859375,1405.0,190793
2024-01-17,1370.936279296875,1396.300048828125,1412.75,1380.75,1395.050048828125,254717
2024-01-18,1368.0399169921875,1393.3499755859375,1410.949951171875,1348.1500244140625,1391.75,238862
2024-01-19,1364.35791015625,1389.5999755859375,1417.0,1372.050048828125,1398.75,263766
2024-01-23,1311.87890625,1336.1500244140625,1403.9000244140625,1326.5,1378.0,182042
2024-01-24,1307.95166015625,1332.1500244140625,1343.9000244140625,1305.0,1334.0999755859375,183461
2024-01-25,1315.06982421875,1339.4000244140625,1353.8499755859375,1329.0,1329.199951171875,49018
2024-01-29,1324.2501220703125,1348.75,1355.0,1328.449951171875,1339.3499755859375,82041
2024-01-30,1326.213623046875,1350.75,1399.0,1332.6500244140625,1346.0,128068
2024-01-31,1358.859619140625,1384.0,1406.0,1348.75,1350.0,714000
2024-02-01,1352.575927734375,1377.5999755859375,1412.5999755859375,1370.0,1390.800048828125,529459
2024-02-02,1320.371826171875,1344.800048828125,1390.4000244140625,1342.5,1384.800048828125,130954
2024-02-05,1281.9329833984375,1305.6500244140625,1344.0,1295.0,1344.0,159914
2024-02-06,1275.20751953125,1298.800048828125,1334.949951171875,1295.050048828125,1310.0,454826
2024-02-07,1276.5330810546875,1300.1500244140625,1324.800048828125,1290.0,1310.0,327368
2024-02-08,1256.4052734375,1279.6500244140625,1309.699951171875,1272.6500244140625,1300.0,133920
2024-02-09,1225.3302001953125,1248.0,1280.0,1221.300048828125,1280.0,157116
2024-02-12,1173.58740234375,1195.300048828125,1254.5999755859375,1190.199951171875,1249.0999755859375,131606
2024-02-13,1196.5625,1218.699951171875,1264.5999755859375,1186.4000244140625,1195.300048828125,1040255
2024-02-14,1215.0208740234375,1237.5,1242.0,1213.449951171875,1218.699951171875,433614
2024-02-15,1238.4376220703125,1261.3499755859375,1267.0,1231.25,1240.0,125779
2024-02-16,1236.6214599609375,1259.5,1281.4000244140625,1251.449951171875,1270.0,190896
2024-02-19,1246.88134765625,1269.949951171875,1289.8499755859375,1262.0999755859375,1270.0,75518
2024-02-20,1223.857421875,1246.5,1270.0,1242.0999755859375,1269.949951171875,62727
2024-02-21,1225.03564453125,1247.699951171875,1259.949951171875,1241.550048828125,1259.0,76773
2024-02-22,1222.630126953125,1245.25,1256.449951171875,1231.0,1250.5,95718
2024-02-23,1229.5521240234375,1252.300048828125,1260.0,1241.300048828125,1245.0,221824
2024-02-26,1235.7867431640625,1258.6500244140625,1262.0,1235.0,1258.949951171875,99854
2024-02-27,1249.3360595703125,1272.449951171875,1275.0,1256.0,1264.949951171875,95529
2024-02-28,1246.68505859375,1269.75,1287.5999755859375,1262.199951171875,1272.449951171875,315393
2024-02-29,1253.1651611328125,1276.3499755859375,1288.0,1235.199951171875,1269.75,350761
2024-03-01,1249.728759765625,1272.8499755859375,1292.550048828125,1266.25,1292.0,254308
2024-03-04,1261.5108642578125,1284.8499755859375,1296.0,1272.25,1290.0,302514
2024-03-05,1253.3616943359375,1276.550048828125,1293.3499755859375,1268.0,1285.050048828125,117122
2024-03-06,1255.816162109375,1279.050048828125,1288.75,1264.9000244140625,1282.300048828125,207991
2024-03-07,1212.2716064453125,1234.699951171875,1282.25,1223.0,1273.800048828125,114881
2024-03-11,1207.4117431640625,1229.75,1254.199951171875,1214.4000244140625,1234.25,290004
2024-03-12,1205.1534423828125,1227.449951171875,1239.75,1211.0,1239.75,199133
2024-03-13,1180.3621826171875,1202.199951171875,1241.9000244140625,1186.550048828125,1239.4000244140625,216866
2024-03-14,1167.352783203125,1188.949951171875,1221.0999755859375,1181.050048828125,1200.050048828125,145574
2024-03-15,1155.865234375,1177.25,1202.699951171875,1151.300048828125,1189.0,183547
2024-03-18,1177.072998046875,1198.8499755859375,1206.0,1178.0,1183.050048828125,526559
2024-03-19,1168.0400390625,1189.6500244140625,1222.0,1183.0,1199.050048828125,193764
2024-03-20,1168.8746337890625,1190.5,1204.5,1188.0,1188.050048828125,165416
2024-03-21,1172.7529296875,1194.449951171875,1204.699951171875,1181.0,1196.0,73343
2024-03-22,1167.20556640625,1188.800048828125,1200.0,1184.5,1194.449951171875,63322
2024-03-26,1124.8394775390625,1145.6500244140625,1197.0,1138.0,1197.0,191064
2024-03-27,1126.066650390625,1146.9000244140625,1152.0,1110.3499755859375,1145.6500244140625,435716
2024-03-28,1133.8721923828125,1154.8499755859375,1172.6500244140625,1139.550048828125,1146.9000244140625,270312
