date_,adj close_kec.ns,close_kec.ns,high_kec.ns,low_kec.ns,open_kec.ns,volume_kec.ns
2024-01-16,618.2683715820312,625.0999755859375,629.1500244140625,619.0499877929688,623.9000244140625,497437
2024-01-17,608.4765625,615.2000122070312,621.0,610.5,621.0,254396
2024-01-18,614.7077026367188,621.5,628.0,597.0,615.1500244140625,631267
2024-01-19,618.2188720703125,625.0499877929688,626.5,614.2000122070312,624.5999755859375,246701
2024-01-23,611.3448486328125,618.0999755859375,633.0,611.0,620.2000122070312,402037
2024-01-24,617.1309204101562,623.9500122070312,627.0,606.5999755859375,618.0999755859375,207490
2024-01-25,609.2183837890625,615.9500122070312,625.9000244140625,611.0,625.9000244140625,89124
2024-01-29,616.8837280273438,623.7000122070312,625.75,616.5499877929688,616.9500122070312,117685
2024-01-30,621.8784790039062,628.75,643.7000122070312,625.0999755859375,640.0,682302
2024-01-31,650.4627075195312,657.6500244140625,675.0,640.5499877929688,646.5,2894576
2024-02-01,653.5781860351562,660.7999877929688,667.5,643.5499877929688,664.0499877929688,458658
2024-02-02,658.919189453125,666.2000122070312,670.7000122070312,658.9000244140625,670.7000122070312,463112
2024-02-05,645.0722045898438,652.2000122070312,669.7000122070312,649.5999755859375,669.7000122070312,338579
2024-02-06,651.8967895507812,659.0999755859375,665.9500122070312,654.0499877929688,654.9000244140625,180413
2024-02-07,646.1107788085938,653.25,665.0,650.0,660.0,144253
2024-02-08,653.4298706054688,660.6500244140625,685.0,660.0,672.0999755859375,973628
2024-02-09,651.6494750976562,658.8499755859375,671.25,650.0,660.9500122070312,377295
2024-02-12,647.8416137695312,655.0,670.0,637.0,657.3499755859375,331523
2024-02-13,665.3482055664062,672.7000122070312,675.0,641.2999877929688,657.0,324544
2024-02-14,688.04736328125,695.6500244140625,699.0,652.7000122070312,660.0,668545
2024-02-15,681.469970703125,689.0,704.0,684.0,699.8499755859375,492505
2024-02-16,661.2435302734375,668.5499877929688,689.0999755859375,666.7000122070312,687.0,278074
2024-02-19,660.1060791015625,667.4000244140625,675.5999755859375,659.5499877929688,672.0999755859375,180469
2024-02-20,648.1383056640625,655.2999877929688,670.8499755859375,650.0,667.4000244140625,259872
2024-02-21,647.989990234375,655.1500244140625,663.9000244140625,652.0,656.0999755859375,137544
2024-02-22,656.2981567382812,663.5499877929688,671.4500122070312,652.25,658.5999755859375,178465
2024-02-23,669.3538818359375,676.75,680.4500122070312,663.8499755859375,666.8499755859375,247155
2024-02-26,663.7161865234375,671.0499877929688,680.2999877929688,665.3499755859375,680.2999877929688,174958
2024-02-27,689.9760131835938,697.5999755859375,700.6500244140625,672.1500244140625,673.5999755859375,1534063
2024-02-28,719.1041259765625,727.0499877929688,737.5,700.3499755859375,700.5,2910760
2024-02-29,718.7085571289062,726.6500244140625,730.0,701.1500244140625,727.0,784649
2024-03-01,706.88916015625,714.7000122070312,728.0499877929688,711.1500244140625,727.0,266166
2024-03-04,722.120849609375,730.0999755859375,737.0,705.0499877929688,724.2999877929688,409814
2024-03-05,716.0380859375,723.9500122070312,730.0999755859375,713.2999877929688,730.0999755859375,163009
