date_,adj close_abrel.ns,close_abrel.ns,high_abrel.ns,low_abrel.ns,open_abrel.ns,volume_abrel.ns
2024-01-16,1429.4390869140625,1434.0,1475.0,1423.800048828125,1448.6500244140625,204269
2024-01-17,1393.603515625,1398.050048828125,1424.949951171875,1385.5,1400.0999755859375,138407
2024-01-18,1384.5323486328125,1388.949951171875,1414.550048828125,1365.0,1398.949951171875,148501
2024-01-19,1396.39453125,1400.8499755859375,1443.5,1375.0999755859375,1402.0,249645
2024-01-23,1368.9322509765625,1373.300048828125,1405.0,1359.0999755859375,1405.0,150594
2024-01-24,1349.3447265625,1353.6500244140625,1369.4000244140625,1324.0,1360.0,267320
2024-01-25,1341.021240234375,1345.300048828125,1382.949951171875,1340.050048828125,1359.0999755859375,481311
2024-01-29,1413.7391357421875,1418.25,1429.0,1350.0,1350.0,273861
2024-01-30,1383.8843994140625,1388.300048828125,1425.0,1383.0,1418.050048828125,102225
2024-01-31,1421.4146728515625,1425.949951171875,1445.0,1385.050048828125,1390.0,395897
2024-02-01,1510.97900390625,1515.800048828125,1543.0,1416.9000244140625,1425.0,567871
2024-02-02,1542.328857421875,1547.25,1590.0,1491.8499755859375,1526.5999755859375,1195279
2024-02-05,1476.638427734375,1481.3499755859375,1587.0,1470.199951171875,1587.0,264714
2024-02-06,1490.2451171875,1495.0,1516.699951171875,1476.0999755859375,1484.800048828125,106247
2024-02-07,1445.9365234375,1450.550048828125,1534.5999755859375,1439.25,1495.0,236467
2024-02-08,1446.0362548828125,1450.6500244140625,1487.0999755859375,1428.6500244140625,1458.4000244140625,115632
2024-02-09,1426.299072265625,1430.8499755859375,1469.1500244140625,1401.0,1463.5999755859375,146439
2024-02-12,1370.7763671875,1375.1500244140625,1437.949951171875,1360.0,1435.050048828125,135304
2024-02-13,1351.6373291015625,1355.949951171875,1396.0999755859375,1326.0999755859375,1390.0,221878
2024-02-14,1425.10302734375,1429.6500244140625,1438.0,1330.050048828125,1349.949951171875,165391
2024-02-15,1424.3055419921875,1428.8499755859375,1445.1500244140625,1421.050048828125,1438.0,77449
2024-02-16,1410.6490478515625,1415.1500244140625,1454.949951171875,1410.0,1440.0,82309
2024-02-19,1453.46240234375,1458.0999755859375,1476.5,1402.1500244140625,1430.0,149748
2024-02-20,1454.65869140625,1459.300048828125,1478.199951171875,1441.4000244140625,1465.0,91215
2024-02-21,1432.5291748046875,1437.0999755859375,1485.0,1431.5,1464.3499755859375,127958
2024-02-22,1418.57373046875,1423.0999755859375,1456.199951171875,1412.0,1448.550048828125,179417
2024-02-23,1428.2430419921875,1432.800048828125,1447.25,1414.199951171875,1440.0,60264
2024-02-26,1486.8558349609375,1491.5999755859375,1507.9000244140625,1427.0,1432.800048828125,511407
2024-02-27,1475.4921875,1480.199951171875,1499.0,1443.0,1491.5999755859375,171311
2024-02-28,1445.737060546875,1450.3499755859375,1498.9000244140625,1420.1500244140625,1498.9000244140625,222312
2024-02-29,1406.5621337890625,1411.050048828125,1445.25,1403.0,1445.199951171875,208114
2024-03-01,1460.09130859375,1464.75,1474.949951171875,1419.800048828125,1420.050048828125,135126
2024-03-04,1454.0107421875,1458.6500244140625,1467.199951171875,1434.949951171875,1465.3499755859375,95275
2024-03-05,1468.26513671875,1472.949951171875,1496.0,1450.050048828125,1460.0,202805
2024-03-06,1432.5791015625,1437.1500244140625,1482.800048828125,1392.199951171875,1473.5,181457
2024-03-07,1525.3829345703125,1530.25,1547.75,1441.0,1450.1500244140625,770305
2024-03-11,1463.4306640625,1468.0999755859375,1537.0,1461.0,1500.0,358820
2024-03-12,1428.7413330078125,1433.300048828125,1480.5999755859375,1415.4000244140625,1474.949951171875,220430
2024-03-13,1340.273681640625,1344.550048828125,1451.0,1283.699951171875,1439.699951171875,441785
2024-03-14,1432.5291748046875,1437.0999755859375,1448.699951171875,1340.75,1344.800048828125,255607
2024-03-15,1413.7890625,1418.300048828125,1425.0,1384.1500244140625,1419.0,197853
2024-03-18,1410.5494384765625,1415.050048828125,1428.25,1395.0,1422.949951171875,80627
2024-03-19,1395.69677734375,1400.1500244140625,1434.0,1387.050048828125,1422.199951171875,84906
2024-03-20,1419.81982421875,1424.3499755859375,1430.949951171875,1384.949951171875,1404.1500244140625,85154
2024-03-21,1452.4158935546875,1457.050048828125,1465.0,1406.1500244140625,1406.1500244140625,109970
2024-03-22,1454.65869140625,1459.300048828125,1487.0,1449.9000244140625,1465.0,156722
2024-03-26,1439.90576171875,1444.5,1474.699951171875,1436.4000244140625,1455.0,112680
2024-03-27,1501.1602783203125,1505.949951171875,1510.0,1388.050048828125,1441.5999755859375,381940
2024-03-28,1624.716064453125,1629.9000244140625,1684.9000244140625,1494.5,1519.9000244140625,3549159
2024-04-01,1705.8072509765625,1711.25,1724.5,1630.1500244140625,1660.0,669978
2024-04-02,1669.9716796875,1675.300048828125,1725.300048828125,1660.0,1699.050048828125,443694
2024-04-03,1669.6226806640625,1674.949951171875,1699.0,1661.050048828125,1690.0,215722
2024-04-04,1668.775390625,1674.0999755859375,1695.0,1654.0,1686.449951171875,186325
2024-04-05,1664.4892578125,1669.800048828125,1683.949951171875,1661.800048828125,1674.75,116761
2024-04-08,1736.8582763671875,1742.4000244140625,1774.9000244140625,1675.0,1675.0,1076822
2024-04-09,1825.973876953125,1831.800048828125,1849.9000244140625,1739.550048828125,1740.0,1214306
2024-04-10,1834.8955078125,1840.75,1891.9000244140625,1789.199951171875,1825.8499755859375,654854
2024-04-12,1791.9324951171875,1797.6500244140625,1842.0,1785.300048828125,1840.050048828125,226558
2024-04-15,1740.9451904296875,1746.5,1775.050048828125,1693.9000244140625,1767.3499755859375,227252
2024-04-16,1767.26123046875,1772.9000244140625,1804.699951171875,1724.0999755859375,1735.0,204929
2024-04-18,1800.9537353515625,1806.699951171875,1835.9000244140625,1745.800048828125,1781.0,330252
2024-04-19,1843.6175537109375,1849.5,1859.949951171875,1750.0,1805.0,345043
2024-04-22,1869.0364990234375,1875.0,1942.25,1844.0,1859.0,631769
2024-04-23,1912.6473388671875,1918.75,1930.199951171875,1867.0,1875.0,310958
2024-04-24,1859.1181640625,1865.050048828125,1939.0,1850.050048828125,1924.8499755859375,257364
2024-04-25,1918.1298828125,1924.25,1987.8499755859375,1861.550048828125,1878.949951171875,949916
2024-04-26,1990.947509765625,1997.300048828125,2006.050048828125,1911.0,1920.0,860919
2024-04-29,1993.1405029296875,1999.5,2032.949951171875,1984.8499755859375,2018.550048828125,893152
2024-04-30,1990.7979736328125,1997.1500244140625,2020.449951171875,1986.050048828125,2006.5,397474
2024-05-02,2003.25830078125,2009.6500244140625,2055.449951171875,1997.800048828125,2006.050048828125,749384
2024-05-03,1958.002685546875,1964.25,2033.949951171875,1921.0,2020.0,348339
2024-05-06,1925.855224609375,1932.0,1999.0,1922.800048828125,1965.300048828125,244839
