date_,adj close_bbtc.ns,close_bbtc.ns,high_bbtc.ns,low_bbtc.ns,open_bbtc.ns,volume_bbtc.ns
2024-01-16,1632.7139892578125,1648.699951171875,1702.0,1608.699951171875,1660.0,242908
2024-01-17,1569.3841552734375,1584.75,1639.9000244140625,1576.5,1606.0,181535
2024-01-18,1575.9697265625,1591.4000244140625,1622.0,1531.550048828125,1588.0,120798
2024-01-19,1590.8736572265625,1606.449951171875,1626.0,1597.050048828125,1602.0,84175
2024-01-23,1522.4931640625,1537.4000244140625,1635.0999755859375,1528.4000244140625,1630.0,138363
2024-01-24,1591.1707763671875,1606.75,1624.800048828125,1545.0999755859375,1549.949951171875,325897
2024-01-25,1646.5782470703125,1662.699951171875,1701.0,1600.0999755859375,1606.0,298128
2024-01-29,1641.626708984375,1657.699951171875,1677.949951171875,1650.0,1670.0,102584
2024-01-30,1654.8472900390625,1671.050048828125,1737.5,1637.949951171875,1657.699951171875,407586
2024-01-31,1717.3848876953125,1734.199951171875,1739.699951171875,1654.050048828125,1671.050048828125,229788
2024-02-01,1698.5692138671875,1715.199951171875,1744.0,1688.300048828125,1741.699951171875,89217
2024-02-02,1690.201171875,1706.75,1752.0,1694.050048828125,1732.199951171875,108218
2024-02-05,1642.765625,1658.8499755859375,1715.25,1633.0,1710.0,85142
2024-02-06,1697.529541015625,1714.1500244140625,1807.0,1666.0,1666.0,460032
2024-02-07,1757.0467529296875,1774.25,1809.800048828125,1685.199951171875,1714.1500244140625,287791
2024-02-08,1724.3665771484375,1741.25,1790.0,1732.199951171875,1790.0,111828
2024-02-09,1699.6585693359375,1716.300048828125,1743.199951171875,1650.199951171875,1740.9000244140625,116544
2024-02-12,1640.388916015625,1656.449951171875,1714.699951171875,1634.699951171875,1702.0,94638
2024-02-13,1765.4146728515625,1782.699951171875,1839.949951171875,1644.550048828125,1655.0,567747
2024-02-14,1702.678955078125,1719.3499755859375,1782.699951171875,1701.75,1741.0,162877
2024-02-15,1717.1373291015625,1733.949951171875,1747.800048828125,1704.6500244140625,1718.0,93524
2024-02-16,1747.6387939453125,1764.75,1818.9000244140625,1735.699951171875,1743.9000244140625,207325
2024-02-19,1770.9110107421875,1788.25,1826.0,1755.050048828125,1755.050048828125,145427
2024-02-20,1765.1671142578125,1782.449951171875,1836.9000244140625,1745.0999755859375,1787.0,228995
2024-02-21,1696.14306640625,1712.75,1794.800048828125,1697.5,1778.0,179465
2024-02-22,1694.80615234375,1711.4000244140625,1725.6500244140625,1672.8499755859375,1716.9000244140625,95903
2024-02-23,1714.2159423828125,1731.0,1769.949951171875,1710.0,1724.0,105008
2024-02-26,1745.856201171875,1762.949951171875,1780.050048828125,1718.050048828125,1730.0,65270
2024-02-27,1710.7996826171875,1727.550048828125,1762.949951171875,1719.550048828125,1754.0,50257
2024-02-28,1653.8074951171875,1670.0,1735.0,1665.0,1735.0,56638
2024-02-29,1720.1082763671875,1736.949951171875,1750.0,1639.949951171875,1668.949951171875,98889
2024-03-01,1705.3529052734375,1722.050048828125,1748.6500244140625,1700.0,1748.0,50188
2024-03-04,1716.2462158203125,1733.050048828125,1763.0,1708.0999755859375,1723.300048828125,62354
2024-03-05,1711.888916015625,1728.6500244140625,1758.4000244140625,1711.0,1727.9000244140625,40779
2024-03-06,1666.2852783203125,1682.5999755859375,1724.1500244140625,1670.0,1723.699951171875,51578
2024-03-07,1728.327880859375,1745.25,1814.0,1684.699951171875,1684.949951171875,260140
2024-03-11,1671.7816162109375,1688.1500244140625,1767.800048828125,1678.0,1759.0,74219
2024-03-12,1634.051025390625,1650.050048828125,1695.9000244140625,1620.300048828125,1695.9000244140625,79954
2024-03-13,1528.831298828125,1543.800048828125,1677.0,1525.3499755859375,1656.949951171875,82996
2024-03-14,1611.323486328125,1627.0999755859375,1639.449951171875,1531.050048828125,1551.0,54482
2024-03-15,1594.33984375,1609.949951171875,1625.0,1568.800048828125,1599.9000244140625,47495
2024-03-18,1549.0333251953125,1564.199951171875,1621.9000244140625,1556.0999755859375,1609.949951171875,34366
2024-03-19,1527.3458251953125,1542.300048828125,1585.8499755859375,1535.0999755859375,1573.0,31475
2024-03-20,1525.8106689453125,1540.75,1560.699951171875,1522.0,1546.6500244140625,30603
2024-03-21,1560.3724365234375,1575.6500244140625,1585.0,1546.9000244140625,1548.949951171875,18900
2024-03-22,1559.5306396484375,1574.800048828125,1594.8499755859375,1570.0,1570.949951171875,24772
2024-03-26,1557.7479248046875,1573.0,1598.0,1561.550048828125,1575.0,28429
2024-03-27,1530.5146484375,1545.5,1581.699951171875,1530.0999755859375,1573.0,73341
2024-03-28,1552.549072265625,1567.75,1589.300048828125,1550.050048828125,1558.25,39831
2024-04-01,1593.2503662109375,1608.8499755859375,1625.5,1574.8499755859375,1574.9000244140625,35737
2024-04-02,1620.2857666015625,1636.1500244140625,1660.0,1609.050048828125,1612.0,43181
2024-04-03,1618.750732421875,1634.5999755859375,1649.0,1620.0,1636.0,34543
2024-04-04,1636.2791748046875,1652.300048828125,1669.0,1629.8499755859375,1642.5,51409
2024-04-05,1608.005859375,1623.75,1659.5,1612.0,1648.0,37245
2024-04-08,1617.46337890625,1633.300048828125,1663.949951171875,1621.050048828125,1634.0,45912
2024-04-09,1582.7037353515625,1598.199951171875,1658.5999755859375,1556.4000244140625,1641.5,70248
2024-04-10,1576.2171630859375,1591.6500244140625,1612.050048828125,1585.8499755859375,1604.0,24355
2024-04-12,1579.0892333984375,1594.550048828125,1622.0,1575.0,1590.0,66407
2024-04-15,1535.8624267578125,1550.9000244140625,1588.949951171875,1535.0,1568.0,23662
2024-04-16,1523.92919921875,1538.8499755859375,1568.75,1530.050048828125,1550.0,22681
2024-04-18,1502.7366943359375,1517.449951171875,1555.0,1506.199951171875,1548.0,35261
2024-04-19,1483.128662109375,1497.6500244140625,1516.0,1490.050048828125,1516.0,32446
2024-04-22,1555.07421875,1570.300048828125,1640.3499755859375,1523.6500244140625,1524.0,564236
2024-04-23,1565.1258544921875,1580.449951171875,1591.8499755859375,1551.949951171875,1585.0,83776
2024-04-24,1568.4927978515625,1583.8499755859375,1604.8499755859375,1567.75,1590.0,55919
2024-04-25,1563.5909423828125,1578.9000244140625,1609.9000244140625,1565.300048828125,1588.0,41053
2024-04-26,1553.8858642578125,1569.0999755859375,1613.1500244140625,1556.550048828125,1583.6500244140625,75616
2024-04-29,1562.00634765625,1577.300048828125,1599.949951171875,1557.949951171875,1575.949951171875,28309
2024-04-30,1543.834228515625,1558.949951171875,1584.3499755859375,1541.3499755859375,1582.0,32495
