date_,adj close_360one.ns,close_360one.ns,high_360one.ns,low_360one.ns,open_360one.ns,volume_360one.ns
2024-01-16,645.04052734375,661.5999755859375,668.2000122070312,654.5499877929688,660.0,141899
2024-01-17,630.3671875,646.5499877929688,658.4500122070312,637.6500244140625,655.0,266993
2024-01-18,626.954833984375,643.0499877929688,654.5,638.0999755859375,646.5499877929688,229384
2024-01-19,613.0127563476562,628.75,659.0,626.0499877929688,650.0,277493
2024-01-23,603.5067138671875,619.0,644.9000244140625,610.0,644.0,448657
2024-01-24,601.5568237304688,617.0,627.0,591.5,620.0,332842
2024-01-25,614.426513671875,630.2000122070312,637.4000244140625,614.9500122070312,617.0,244105
2024-01-29,622.576904296875,634.0,643.5499877929688,626.0,633.0,899275
2024-01-30,617.274169921875,628.5999755859375,642.0,618.8499755859375,639.9500122070312,170252
2024-01-31,608.878173828125,620.0499877929688,640.6500244140625,616.1500244140625,630.3499755859375,347921
2024-02-01,606.3742065429688,617.5,624.7999877929688,609.7999877929688,621.0,364500
2024-02-02,594.0503540039062,604.9500122070312,620.5999755859375,601.0999755859375,620.0,290046
2024-02-05,604.4102783203125,615.5,621.2999877929688,597.25,610.0,381313
2024-02-06,617.1759643554688,628.5,639.0,615.0,623.4500122070312,1281972
2024-02-07,631.5130004882812,643.0999755859375,652.7000122070312,632.0499877929688,639.9000244140625,321124
2024-02-08,644.327880859375,656.1500244140625,669.7000122070312,643.0,644.75,791047
2024-02-09,642.5110473632812,654.2999877929688,659.5499877929688,644.0,654.5999755859375,410126
2024-02-12,636.5701904296875,648.25,666.0,641.0499877929688,651.8499755859375,1146649
2024-02-13,679.2373046875,691.7000122070312,698.0,647.0499877929688,650.75,1283704
2024-02-14,695.0962524414062,707.8499755859375,719.9500122070312,680.6500244140625,690.25,696379
2024-02-15,700.7427368164062,713.5999755859375,726.9500122070312,705.7000122070312,712.0,665907
2024-02-16,679.9247436523438,692.4000244140625,715.0,685.0499877929688,713.0499877929688,930453
2024-02-19,689.3517456054688,702.0,707.5999755859375,695.1500244140625,695.1500244140625,87428
2024-02-20,692.7886352539062,705.5,709.0,695.5499877929688,707.9500122070312,113402
2024-02-21,700.8410034179688,713.7000122070312,744.9000244140625,707.75,708.75,327025
2024-02-22,695.734619140625,708.5,721.0999755859375,689.0,719.0,220919
2024-02-23,708.69677734375,721.7000122070312,724.75,699.3499755859375,710.0,138055
2024-02-26,755.7337036132812,769.5999755859375,775.0,717.7999877929688,721.9000244140625,1134217
2024-02-27,734.3756103515625,747.8499755859375,788.9500122070312,737.4500122070312,773.7999877929688,837440
2024-02-28,703.39404296875,716.2999877929688,751.0999755859375,710.0499877929688,748.0499877929688,501982
2024-02-29,705.996337890625,718.9500122070312,743.9500122070312,707.9000244140625,723.4500122070312,824679
2024-03-01,718.5166015625,731.7000122070312,743.8499755859375,721.5499877929688,723.0,347110
2024-03-04,714.1958618164062,727.2999877929688,739.7000122070312,721.0499877929688,730.75,114655
2024-03-05,707.9603271484375,720.9500122070312,734.7999877929688,701.5499877929688,708.3499755859375,235044
2024-03-06,683.705322265625,696.25,717.5999755859375,692.2000122070312,710.1500244140625,247042
2024-03-07,667.5516967773438,679.7999877929688,705.0999755859375,675.8499755859375,702.5499877929688,298672
2024-03-11,697.8949584960938,710.7000122070312,722.6500244140625,672.0,681.0499877929688,743621
2024-03-12,695.685546875,708.4500122070312,731.4500122070312,690.0,713.5499877929688,594950
2024-03-13,685.0309448242188,697.5999755859375,707.1500244140625,674.75,704.9000244140625,472495
2024-03-14,684.147216796875,696.7000122070312,700.0,679.6500244140625,682.0,141794
2024-03-15,681.8395385742188,694.3499755859375,700.5499877929688,685.0999755859375,695.7999877929688,284769
2024-03-18,677.2243041992188,689.6500244140625,710.0,682.3499755859375,705.0,132046
2024-03-19,680.12109375,692.5999755859375,700.0,688.5499877929688,692.0,256540
2024-03-20,661.6107177734375,673.75,696.3499755859375,666.0499877929688,694.3499755859375,177154
2024-03-21,661.2670288085938,673.4000244140625,689.5499877929688,670.0,676.5499877929688,285163
2024-03-22,653.85302734375,665.8499755859375,682.4500122070312,659.0499877929688,675.7000122070312,802243
2024-03-26,638.5831909179688,650.2999877929688,666.0,647.0,665.7999877929688,264980
2024-03-27,655.9152221679688,667.9500122070312,674.0,650.8499755859375,652.5499877929688,530619
2024-03-28,663.4273681640625,675.5999755859375,681.0,658.3499755859375,667.0499877929688,481500
2024-04-01,684.245361328125,696.7999877929688,702.5,677.2999877929688,685.0,208800
2024-04-02,683.3125,695.8499755859375,704.5499877929688,680.9500122070312,696.7999877929688,272675
2024-04-03,708.35302734375,721.3499755859375,745.4500122070312,695.8499755859375,695.8499755859375,609168
2024-04-04,708.0093994140625,721.0,727.0,711.2000122070312,723.2999877929688,160014
2024-04-05,703.0013427734375,715.9000244140625,722.0,707.0999755859375,720.9500122070312,141185
2024-04-08,707.1255493164062,720.0999755859375,724.4500122070312,707.3499755859375,719.7000122070312,558348
2024-04-09,706.1927490234375,719.1500244140625,748.4000244140625,715.0,735.9500122070312,944127
2024-04-10,722.542724609375,735.7999877929688,741.4500122070312,722.7000122070312,729.9500122070312,1515257
2024-04-12,735.2103271484375,748.7000122070312,765.0,734.7000122070312,736.8499755859375,1420517
2024-04-15,726.5689086914062,739.9000244140625,756.7000122070312,730.0,745.0499877929688,257991
2024-04-16,737.2724609375,750.7999877929688,763.0,735.2999877929688,735.2999877929688,787154
2024-04-18,784.996826171875,799.4000244140625,900.9500122070312,754.2000122070312,757.5999755859375,2222350
2024-04-19,776.3553466796875,790.5999755859375,823.0,785.0999755859375,796.0,957760
2024-04-22,755.58642578125,769.4500122070312,810.0,765.0,800.0,507505
2024-04-23,752.2476806640625,766.0499877929688,813.0999755859375,760.0499877929688,778.2999877929688,793448
2024-04-24,786.9608764648438,801.4000244140625,870.0,794.0499877929688,870.0,5165029
2024-04-25,823.6378173828125,838.75,845.0,793.8499755859375,802.0,2685823
2024-04-26,793.4909057617188,808.0499877929688,841.8499755859375,800.0,840.0,2460020
2024-04-29,775.0296630859375,789.25,811.5,784.0,811.1500244140625,1356055
2024-04-30,769.9234008789062,784.0499877929688,793.0,774.4000244140625,792.0999755859375,424089
2024-05-02,763.5119018554688,774.0499877929688,791.75,765.0999755859375,784.0,530029
2024-05-03,781.168212890625,791.9500122070312,796.3499755859375,768.0499877929688,778.5,731424
2024-05-06,756.409912109375,766.8499755859375,799.9500122070312,756.4500122070312,799.9500122070312,815497
2024-05-07,739.049560546875,749.25,774.0,738.5999755859375,773.0,872091
2024-05-08,734.3641967773438,744.5,758.4000244140625,740.3499755859375,750.7999877929688,393318
2024-05-09,720.9000244140625,730.8499755859375,754.0,716.25,750.0,214799
2024-05-10,738.2111206054688,748.4000244140625,765.0,735.3499755859375,738.75,305148
2024-05-13,748.9133911132812,759.25,764.0,735.0499877929688,750.0,260125
2024-05-14,748.765380859375,759.0999755859375,768.9000244140625,744.3499755859375,759.3499755859375,349959
2024-05-15,744.6226806640625,754.9000244140625,769.8499755859375,752.2000122070312,761.0,152610
2024-05-16,754.1904907226562,764.5999755859375,768.5,746.0499877929688,752.0,270179
2024-05-17,776.87744140625,787.5999755859375,790.0,764.2999877929688,767.4500122070312,699051
