date_,adj close_nh.ns,close_nh.ns,high_nh.ns,low_nh.ns,open_nh.ns,volume_nh.ns
2024-01-16,1253.32421875,1260.300048828125,1313.949951171875,1251.0,1297.4000244140625,303181
2024-01-17,1251.78271484375,1258.75,1267.0,1247.5999755859375,1260.0,180267
2024-01-18,1245.3685302734375,1252.300048828125,1260.8499755859375,1208.050048828125,1250.199951171875,268408
2024-01-19,1247.208251953125,1254.1500244140625,1265.6500244140625,1245.0,1258.300048828125,168776
2024-01-23,1224.28564453125,1231.0999755859375,1270.0,1220.5,1248.0,313867
2024-01-24,1233.6834716796875,1240.550048828125,1259.25,1222.800048828125,1231.0999755859375,229517
2024-01-25,1254.71630859375,1261.699951171875,1269.9000244140625,1242.050048828125,1243.8499755859375,186905
2024-01-29,1239.998291015625,1246.9000244140625,1270.0,1232.0999755859375,1268.0,141533
2024-01-30,1243.578369140625,1250.5,1285.5999755859375,1230.9000244140625,1250.0,639277
2024-01-31,1309.56103515625,1316.8499755859375,1338.0,1252.199951171875,1252.199951171875,1170894
2024-02-01,1355.704345703125,1363.25,1375.300048828125,1312.5,1330.0,348377
2024-02-02,1334.67138671875,1342.0999755859375,1380.0,1327.0,1380.0,331116
2024-02-05,1368.9307861328125,1376.550048828125,1397.0,1323.5999755859375,1344.800048828125,352743
2024-02-06,1358.1407470703125,1365.699951171875,1404.949951171875,1361.0,1376.550048828125,321201
2024-02-07,1356.9473876953125,1364.5,1387.550048828125,1358.0,1374.949951171875,138320
2024-02-08,1358.6876220703125,1366.25,1389.699951171875,1352.8499755859375,1371.3499755859375,411064
2024-02-09,1367.239990234375,1374.8499755859375,1387.449951171875,1342.5999755859375,1373.0999755859375,321695
2024-02-12,1369.27880859375,1376.9000244140625,1395.0,1367.0999755859375,1385.0,268170
2024-02-13,1365.10205078125,1372.699951171875,1384.75,1332.0,1378.0,291083
2024-02-14,1409.1070556640625,1416.949951171875,1444.9000244140625,1352.25,1365.300048828125,561542
