date_,adj close_bajfinance.ns,close_bajfinance.ns,high_bajfinance.ns,low_bajfinance.ns,open_bajfinance.ns,volume_bajfinance.ns
2024-01-16,737.3903198242188,745.6649780273438,761.4500122070312,742.7899780273438,747.5,11947230
2024-01-17,727.7188110351562,735.885009765625,747.8200073242188,730.219970703125,730.3300170898438,13802710
2024-01-18,718.4923095703125,726.5549926757812,735.1749877929688,723.4000244140625,729.5999755859375,16869960
2024-01-19,723.7879638671875,731.9099731445312,738.8800048828125,726.125,736.0,8308100
2024-01-23,699.2236328125,707.0700073242188,735.5,704.260009765625,735.2899780273438,25332970
2024-01-24,697.70068359375,705.530029296875,710.4000244140625,699.6799926757812,710.4000244140625,20636750
2024-01-25,700.6871948242188,708.5499877929688,712.5800170898438,703.5999755859375,705.530029296875,11683490
2024-01-29,711.184326171875,719.1649780273438,722.4949951171875,708.510009765625,708.5499877929688,18603610
2024-01-30,674.1548461914062,681.719970703125,698.8499755859375,680.5,698.8499755859375,41531470
2024-01-31,678.6741333007812,686.2899780273438,692.0999755859375,681.2000122070312,682.0,18105120
2024-02-01,666.846923828125,674.3300170898438,687.9949951171875,673.2999877929688,686.5900268554688,19111370
2024-02-02,677.2304077148438,684.8300170898438,691.0,675.2999877929688,675.5,13675080
2024-02-05,653.48681640625,660.8200073242188,689.5,660.0,689.4000244140625,17712220
2024-02-06,652.4930419921875,659.8150024414062,669.9000244140625,653.5,664.7999877929688,24395330
2024-02-07,663.4746704101562,670.9199829101562,673.760009765625,662.5250244140625,664.0999755859375,15382370
2024-02-08,650.2680053710938,657.5650024414062,673.75,653.6699829101562,673.1849975585938,21932090
2024-02-09,658.0654296875,665.4500122070312,667.77001953125,657.2000122070312,658.0,12098740
2024-02-12,649.6251831054688,656.9149780273438,667.1849975585938,655.1500244140625,666.9450073242188,5447840
2024-02-13,653.036865234375,660.364990234375,663.9000244140625,655.3099975585938,660.0,9480140
2024-02-14,657.2743530273438,664.6500244140625,665.5999755859375,655.0,656.385009765625,6361260
2024-02-15,654.5944213867188,661.9400024414062,667.739990234375,658.5650024414062,664.5999755859375,8808590
2024-02-16,654.5745849609375,661.9199829101562,666.0,660.2000122070312,665.0050048828125,10294310
2024-02-19,663.8307495117188,671.280029296875,680.6900024414062,662.530029296875,664.8900146484375,13158810
2024-02-20,668.8543701171875,676.3599853515625,679.2000122070312,668.125,671.1900024414062,11067090
2024-02-21,661.4573974609375,668.8800048828125,679.0,666.5050048828125,679.0,8549440
2024-02-22,660.0877685546875,667.4949951171875,670.6849975585938,656.0999755859375,669.10498046875,10223740
2024-02-23,662.3523559570312,669.7849731445312,671.9000244140625,663.260009765625,667.4000244140625,12803110
2024-02-26,656.9529418945312,664.3250122070312,670.7999877929688,662.4199829101562,669.0,8920560
2024-02-27,648.3494262695312,655.625,664.2000122070312,649.1099853515625,663.0999755859375,11503060
2024-02-28,642.6583862304688,649.8699951171875,659.6749877929688,647.5,657.2000122070312,5353210
