date_,adj close_thermax.ns,close_thermax.ns,high_thermax.ns,low_thermax.ns,open_thermax.ns,volume_thermax.ns
2024-01-16,3135.0927734375,3154.89990234375,3199.050048828125,3074.199951171875,3181.699951171875,68069
2024-01-17,3069.209228515625,3088.60009765625,3154.89990234375,3065.64990234375,3154.89990234375,27505
2024-01-18,3054.60107421875,3073.89990234375,3105.0,3001.5,3074.949951171875,28876
2024-01-19,3056.34033203125,3075.64990234375,3125.0,3060.0,3089.0,26267
2024-01-23,2974.6064453125,2993.39990234375,3094.5,2987.0,3073.0,22828
2024-01-24,3009.73486328125,3028.75,3059.0,2977.0,2994.0,26051
2024-01-25,3095.542724609375,3115.10009765625,3145.0,3032.0,3040.0,78716
2024-01-29,3087.195556640625,3106.699951171875,3151.0,3090.35009765625,3130.699951171875,27412
2024-01-30,3064.04150390625,3083.39990234375,3165.0,3046.60009765625,3112.0,45842
2024-01-31,3161.277587890625,3181.25,3228.0,3085.550048828125,3095.0,87781
2024-02-01,3116.51025390625,3136.199951171875,3209.949951171875,3103.199951171875,3197.699951171875,29107
2024-02-02,3075.419921875,3094.85009765625,3160.949951171875,3049.550048828125,3138.0,38412
2024-02-05,3105.231689453125,3124.85009765625,3162.89990234375,3058.449951171875,3104.5,33131
2024-02-06,3219.8076171875,3240.14990234375,3288.0,3085.25,3129.89990234375,116089
2024-02-07,3264.52490234375,3285.14990234375,3330.0,3209.0,3330.0,85681
2024-02-08,3188.604736328125,3208.75,3508.550048828125,3151.050048828125,3339.449951171875,304099
2024-02-09,3329.166748046875,3350.199951171875,3364.199951171875,3206.0,3290.0,156658
2024-02-12,3290.759521484375,3311.550048828125,3405.5,3276.050048828125,3390.199951171875,72598
2024-02-13,3301.292724609375,3322.14990234375,3357.949951171875,3290.14990234375,3312.0,78917
2024-02-14,3341.2900390625,3362.39990234375,3450.0,3292.89990234375,3315.0,106499
2024-02-15,3437.03515625,3458.75,3477.0,3378.949951171875,3379.199951171875,114825
2024-02-16,3413.732421875,3435.300048828125,3498.0,3402.35009765625,3458.75,64984
2024-02-19,3465.157470703125,3487.050048828125,3559.0,3461.0,3474.5,86795
2024-02-20,3489.60302734375,3511.64990234375,3563.949951171875,3486.050048828125,3517.5,84391
2024-02-21,3521.948486328125,3544.199951171875,3581.949951171875,3486.050048828125,3549.89990234375,248882
2024-02-22,3698.334228515625,3721.699951171875,3758.85009765625,3495.0,3547.75,212820
2024-02-23,3716.370361328125,3739.85009765625,3772.89990234375,3694.75,3729.949951171875,181934
2024-02-26,3704.743896484375,3728.14990234375,3894.949951171875,3701.10009765625,3754.85009765625,144804
2024-02-27,3675.280029296875,3698.5,3739.35009765625,3658.949951171875,3728.89990234375,55483
2024-02-28,3559.8095703125,3582.300048828125,3699.0,3540.0,3699.0,309787
2024-02-29,3614.41455078125,3637.25,3645.35009765625,3519.10009765625,3578.699951171875,92159
2024-03-01,3607.359130859375,3630.14990234375,3650.0,3592.050048828125,3637.25,220727
2024-03-04,3674.08740234375,3697.300048828125,3739.89990234375,3591.25,3666.35009765625,48100
2024-03-05,3652.6728515625,3675.75,3699.0,3635.949951171875,3680.050048828125,62762
2024-03-06,3552.65478515625,3575.10009765625,3683.949951171875,3551.0,3677.949951171875,84684
2024-03-07,3618.836669921875,3641.699951171875,3677.949951171875,3575.0,3575.0,36604
2024-03-11,3595.384765625,3618.10009765625,3726.0,3431.60009765625,3669.89990234375,141494
2024-03-12,3595.384765625,3618.10009765625,3669.699951171875,3534.64990234375,3600.10009765625,51422
2024-03-13,3606.26611328125,3629.050048828125,3762.0,3542.85009765625,3609.75,204544
2024-03-14,3587.08740234375,3609.75,3640.0,3571.89990234375,3607.050048828125,96849
2024-03-15,3462.176513671875,3484.050048828125,3615.0,3450.0,3610.0,481655
2024-03-18,3667.330078125,3690.5,3725.0,3408.949951171875,3484.89990234375,133565
2024-03-19,3571.83349609375,3594.39990234375,3714.89990234375,3571.14990234375,3714.89990234375,71728
2024-03-20,3661.964111328125,3685.10009765625,3731.949951171875,3583.60009765625,3594.949951171875,90209
2024-03-21,3835.6171875,3859.85009765625,3985.0,3666.449951171875,3700.89990234375,260347
2024-03-22,3874.372314453125,3898.85009765625,3952.050048828125,3841.699951171875,3859.949951171875,104721
2024-03-26,4075.998291015625,4101.75,4147.0,3899.0,3920.0,292030
2024-03-27,4160.7626953125,4187.0498046875,4208.0,4035.5,4097.0,91835
