date_,adj close_aiaeng.ns,close_aiaeng.ns,high_aiaeng.ns,low_aiaeng.ns,open_aiaeng.ns,volume_aiaeng.ns
2024-01-16,3683.797119140625,3716.0,3739.949951171875,3655.550048828125,3707.800048828125,47216
2024-01-17,3685.531982421875,3717.75,3744.0,3668.050048828125,3715.5,33995
2024-01-18,3616.534912109375,3648.14990234375,3815.449951171875,3601.0,3718.0,93161
2024-01-19,3681.169921875,3713.35009765625,3735.0,3646.050048828125,3648.14990234375,59626
2024-01-23,3604.39111328125,3635.89990234375,3710.0,3620.0,3708.949951171875,32508
2024-01-24,3778.469482421875,3811.5,3909.75,3600.050048828125,3625.10009765625,86109
2024-01-25,3861.146728515625,3894.89990234375,3989.0,3825.0,3825.0,145403
2024-01-29,3991.903564453125,4026.800048828125,4096.0,3931.550048828125,3939.0,97321
2024-01-30,3850.9853515625,3884.64990234375,4040.0,3840.0,4035.0,54814
2024-01-31,4071.755615234375,4107.35009765625,4235.0,3893.199951171875,3893.25,201723
2024-02-01,4318.64697265625,4356.39990234375,4630.0,3986.14990234375,4074.0,566698
2024-02-02,4422.5390625,4461.2001953125,4591.2001953125,4289.0,4329.75,187535
2024-02-05,4285.73486328125,4323.2001953125,4479.0,4272.0,4468.25,104268
2024-02-06,4384.71923828125,4423.0498046875,4444.9501953125,4302.10009765625,4377.0,56681
2024-02-07,4093.56494140625,4129.35009765625,4542.4501953125,4038.60009765625,4408.0,277798
2024-02-08,3901.4443359375,3935.550048828125,4119.0,3885.0,4033.39990234375,262892
2024-02-09,3902.286865234375,3936.39990234375,3965.0,3814.0,3964.949951171875,73236
2024-02-12,3898.52001953125,3932.60009765625,3978.60009765625,3900.0,3940.0,55358
2024-02-13,3934.852294921875,3969.25,3990.0,3756.050048828125,3907.0,104554
2024-02-14,3897.47900390625,3931.550048828125,3966.550048828125,3897.050048828125,3950.0,27769
2024-02-15,3812.769775390625,3846.10009765625,3945.0,3815.0,3931.60009765625,115738
2024-02-16,3826.449951171875,3859.89990234375,3909.0,3830.0,3830.25,70690
2024-02-19,3888.656005859375,3922.64990234375,3970.0,3840.050048828125,3864.0,35602
2024-02-20,3842.658447265625,3876.25,3922.0,3851.050048828125,3922.0,134624
2024-02-21,3764.7890625,3797.699951171875,3875.0,3770.0,3875.0,77094
2024-02-22,3716.015380859375,3748.5,3817.699951171875,3722.14990234375,3797.699951171875,53614
2024-02-23,3710.95947265625,3743.39990234375,3765.60009765625,3715.25,3748.39990234375,41557
2024-02-26,3689.645751953125,3721.89990234375,3750.199951171875,3685.0,3729.949951171875,41357
2024-02-27,3758.940185546875,3791.800048828125,3818.699951171875,3680.0,3710.0,53440
2024-02-28,3671.157470703125,3703.25,3811.60009765625,3690.0,3800.0,41007
2024-02-29,3613.907958984375,3645.5,3695.0,3634.89990234375,3683.300048828125,63569
2024-03-01,3654.5029296875,3686.449951171875,3745.050048828125,3635.25,3643.0,77347
2024-03-04,3681.864013671875,3714.050048828125,3765.0,3662.39990234375,3765.0,64930
2024-03-05,3683.00390625,3715.199951171875,3740.0,3673.449951171875,3685.0,54458
2024-03-06,3621.7392578125,3653.39990234375,3735.0,3612.300048828125,3718.949951171875,58780
2024-03-07,3667.093017578125,3699.14990234375,3720.0,3632.0,3670.0,61123
2024-03-11,3640.525390625,3672.35009765625,3716.5,3645.0,3708.5,22115
2024-03-12,3662.8798828125,3694.89990234375,3709.949951171875,3622.35009765625,3652.35009765625,30137
2024-03-13,3598.3935546875,3629.85009765625,3692.949951171875,3554.10009765625,3685.64990234375,47161
2024-03-14,3584.66357421875,3616.0,3632.0,3578.300048828125,3621.0,41986
2024-03-15,3584.7626953125,3616.10009765625,3659.64990234375,3565.5,3616.0,45713
2024-03-18,3605.3330078125,3636.85009765625,3647.89990234375,3573.050048828125,3614.949951171875,56718
2024-03-19,3614.30419921875,3645.89990234375,3655.0,3582.0,3648.85009765625,30407
2024-03-20,3611.330322265625,3642.89990234375,3662.699951171875,3600.10009765625,3627.60009765625,87238
2024-03-21,3684.34228515625,3716.550048828125,3763.39990234375,3640.0,3640.0,115726
2024-03-22,3763.5498046875,3796.449951171875,3819.5,3692.10009765625,3734.75,27474
2024-03-26,3768.110107421875,3801.050048828125,3812.199951171875,3722.0,3803.89990234375,42096
2024-03-27,3852.62109375,3886.300048828125,3934.89990234375,3800.0,3812.0,91531
2024-03-28,3881.320068359375,3915.25,3975.0,3735.10009765625,3885.0,109850
2024-04-01,3953.4892578125,3988.050048828125,3997.85009765625,3865.0,3935.89990234375,36140
2024-04-02,3988.9296875,4023.800048828125,4049.949951171875,3928.25,3928.25,29891
2024-04-03,3950.118896484375,3984.64990234375,4044.0,3957.800048828125,4023.800048828125,46892
2024-04-04,3942.18798828125,3976.64990234375,4030.60009765625,3915.0,3985.0,25866
2024-04-05,3961.0234375,3995.64990234375,4040.0,3950.0,3976.60009765625,29465
2024-04-08,4057.678466796875,4093.14990234375,4181.9501953125,4010.0,4075.0,129370
2024-04-09,4064.46923828125,4100.0,4206.39990234375,4085.300048828125,4093.050048828125,60425
2024-04-10,3976.091796875,4010.85009765625,4130.5498046875,3982.64990234375,4110.25,31365
2024-04-12,3889.597900390625,3923.60009765625,4037.89990234375,3901.0,4025.0,67164
2024-04-15,3775.1484375,3808.14990234375,3917.949951171875,3800.0,3900.0,23244
2024-04-16,3781.988525390625,3815.050048828125,3864.199951171875,3800.0,3800.0,54471
2024-04-18,3800.724853515625,3833.949951171875,3877.89990234375,3812.0,3828.949951171875,26218
2024-04-19,3801.517822265625,3834.75,3874.199951171875,3773.39990234375,3830.0,14797
2024-04-22,3812.026123046875,3845.35009765625,3893.85009765625,3832.0,3860.0,41077
2024-04-23,3809.89453125,3843.199951171875,3877.60009765625,3812.60009765625,3865.550048828125,79996
2024-04-24,3853.51318359375,3887.199951171875,3928.949951171875,3833.300048828125,3833.300048828125,35888
