date_,adj close_vedl.ns,close_vedl.ns,high_vedl.ns,low_vedl.ns,open_vedl.ns,volume_vedl.ns
2024-01-16,235.86911010742188,273.20001220703125,278.04998779296875,269.3500061035156,277.0,12507371
2024-01-17,228.6601104736328,264.8500061035156,272.45001220703125,263.6000061035156,270.45001220703125,10649774
2024-01-18,230.9911651611328,267.54998779296875,268.8999938964844,258.0,265.5,9930238
2024-01-19,230.04147338867188,266.45001220703125,269.70001220703125,265.8999938964844,268.1499938964844,4537034
2024-01-23,217.6954803466797,252.14999389648438,267.0,250.64999389648438,266.8500061035156,8740319
2024-01-24,226.67437744140625,262.54998779296875,263.29998779296875,253.10000610351562,254.8000030517578,6563186
2024-01-25,227.58091735839844,263.6000061035156,266.79998779296875,260.6499938964844,264.3500061035156,5195068
2024-01-29,231.2069854736328,267.79998779296875,269.1499938964844,260.5,263.75,11648515
2024-01-30,229.86878967285156,266.25,271.29998779296875,265.25,268.1499938964844,6620878
2024-01-31,236.43032836914062,273.8500061035156,276.8999938964844,265.75,266.79998779296875,9537630
2024-02-01,231.81134033203125,268.5,276.5,265.04998779296875,275.45001220703125,7974578
2024-02-02,235.30795288085938,272.54998779296875,276.79998779296875,268.75,270.20001220703125,9665486
2024-02-05,236.2144775390625,273.6000061035156,279.8500061035156,271.54998779296875,272.8500061035156,10619393
2024-02-06,244.3300323486328,283.0,284.5,269.8500061035156,273.70001220703125,11559491
2024-02-07,243.72569274902344,282.29998779296875,285.8500061035156,277.6000061035156,285.0,7603119
2024-02-08,240.53126525878906,278.6000061035156,285.5,276.6000061035156,284.0,6966850
2024-02-09,236.86199951171875,274.3500061035156,280.45001220703125,268.3999938964844,279.0,4627489
2024-02-12,231.50918579101562,268.1499938964844,281.04998779296875,265.04998779296875,276.95001220703125,6191878
2024-02-13,232.67471313476562,269.5,271.0,260.70001220703125,267.54998779296875,4469509
2024-02-14,241.43780517578125,279.6499938964844,282.6000061035156,264.54998779296875,269.0,11916664
2024-02-15,231.3365020751953,267.95001220703125,284.0,267.0,282.54998779296875,108103036
2024-02-16,230.3436279296875,266.79998779296875,272.0,265.1000061035156,269.25,16394886
2024-02-19,233.23590087890625,270.1499938964844,273.20001220703125,267.1000061035156,268.8999938964844,10944899
2024-02-20,233.23590087890625,270.1499938964844,272.20001220703125,268.1000061035156,270.8999938964844,9025475
2024-02-21,233.1063690185547,270.0,276.3999938964844,268.5,273.0,12329064
2024-02-22,234.40142822265625,271.5,272.95001220703125,267.1000061035156,271.8999938964844,6661898
2024-02-23,231.6818389892578,268.3500061035156,272.20001220703125,268.0,272.0,5955886
2024-02-26,229.0054473876953,265.25,268.95001220703125,264.04998779296875,268.95001220703125,4923166
2024-02-27,227.83990478515625,263.8999938964844,268.0,262.6000061035156,266.70001220703125,5033046
2024-02-28,227.01974487304688,262.95001220703125,272.29998779296875,261.54998779296875,268.5,17579831
2024-02-29,231.42283630371094,268.04998779296875,269.8999938964844,260.79998779296875,263.1000061035156,9404521
2024-03-01,234.66043090820312,271.79998779296875,272.8999938964844,263.6000061035156,265.1000061035156,12244554
2024-03-04,238.5886993408203,276.3500061035156,279.0,272.75,273.04998779296875,10443351
2024-03-05,246.6611328125,285.70001220703125,288.3999938964844,274.6000061035156,277.5,19847512
2024-03-06,243.85520935058594,282.45001220703125,289.25,275.0,286.5,13944430
2024-03-07,244.20053100585938,282.8500061035156,287.3999938964844,281.04998779296875,283.70001220703125,9134995
2024-03-11,237.72537231445312,275.3500061035156,282.8500061035156,274.0,282.8500061035156,6214148
2024-03-12,233.3654022216797,270.29998779296875,276.79998779296875,267.5,276.0,7220451
2024-03-13,217.4796142578125,251.89999389648438,270.5,249.5,268.5,15451474
2024-03-14,224.60232543945312,260.1499938964844,261.5,251.60000610351562,251.8000030517578,10335603
2024-03-15,228.87596130371094,265.1000061035156,266.0,255.14999389648438,260.1499938964844,17681404
2024-03-18,234.0128936767578,271.04998779296875,272.95001220703125,262.25,265.0,7234156
