date_,adj close_anandrathi.ns,close_anandrathi.ns,high_anandrathi.ns,low_anandrathi.ns,open_anandrathi.ns,volume_anandrathi.ns
2024-01-16,1308.2911376953125,1321.4000244140625,1360.074951171875,1286.324951171875,1344.699951171875,196406
2024-01-17,1338.9586181640625,1352.375,1365.5,1299.75,1299.75,397072
2024-01-18,1344.973388671875,1358.449951171875,1374.3499755859375,1319.625,1352.375,86534
2024-01-19,1375.4432373046875,1389.2249755859375,1400.0,1358.4749755859375,1358.4749755859375,99146
2024-01-23,1387.274658203125,1401.175048828125,1422.5,1351.425048828125,1365.0,188706
2024-01-24,1460.39208984375,1475.0250244140625,1500.0,1401.175048828125,1404.949951171875,237040
2024-01-25,1506.0098876953125,1521.0999755859375,1535.0,1487.9749755859375,1489.75,215960
2024-01-29,1499.822021484375,1514.8499755859375,1550.0,1470.7750244140625,1550.0,168720
2024-01-30,1495.4161376953125,1510.4000244140625,1534.5,1487.5999755859375,1500.0,78528
2024-01-31,1513.9554443359375,1529.125,1534.375,1504.5250244140625,1510.425048828125,114548
2024-02-01,1590.9835205078125,1606.925048828125,1625.0,1535.0,1544.0,220708
2024-02-02,1626.552001953125,1642.8499755859375,1665.0,1615.0,1637.0,130296
2024-02-05,1717.738525390625,1734.949951171875,1748.0,1595.050048828125,1656.5,180660
2024-02-06,1682.120361328125,1698.9749755859375,1774.0,1658.5,1760.0,154892
2024-02-07,1709.1744384765625,1726.300048828125,1749.8499755859375,1700.0250244140625,1700.0250244140625,87212
2024-02-08,1682.392578125,1699.25,1762.4749755859375,1691.125,1750.0,103566
2024-02-09,1691.204345703125,1708.1500244140625,1708.5,1652.0,1708.5,185152
2024-02-12,1618.0374755859375,1634.25,1708.1500244140625,1621.199951171875,1708.1500244140625,362774
2024-02-13,1667.0462646484375,1683.75,1700.0,1625.0,1634.25,96880
2024-02-14,1711.32763671875,1728.4749755859375,1737.1500244140625,1687.449951171875,1708.5,67326
2024-02-15,1771.3265380859375,1789.074951171875,1799.4749755859375,1745.574951171875,1750.0,107142
2024-02-16,1804.9891357421875,1823.074951171875,1829.949951171875,1768.050048828125,1803.425048828125,139316
2024-02-19,1824.468994140625,1842.75,1870.0,1823.5250244140625,1854.5,105490
2024-02-20,1825.4095458984375,1843.699951171875,1872.5,1825.7750244140625,1872.5,58062
2024-02-21,1808.0584716796875,1826.175048828125,1857.5,1816.0999755859375,1844.0,237140
2024-02-22,1812.3157958984375,1830.4749755859375,1849.0,1818.074951171875,1849.0,57244
2024-02-23,1826.4490966796875,1844.75,1857.5,1826.0,1838.4749755859375,65140
2024-02-26,1826.3748779296875,1844.675048828125,1869.9749755859375,1830.0,1859.5250244140625,64568
2024-02-27,1820.7066650390625,1838.949951171875,1853.375,1827.6500244140625,1850.0,50584
