date_,adj close_dcmshriram.ns,close_dcmshriram.ns,high_dcmshriram.ns,low_dcmshriram.ns,open_dcmshriram.ns,volume_dcmshriram.ns
2024-01-16,1000.8619384765625,1017.7999877929688,1043.449951171875,1010.7000122070312,1039.949951171875,70822
2024-01-17,969.34521484375,985.75,1024.949951171875,976.5,1017.0499877929688,125524
2024-01-18,987.389892578125,1004.0999755859375,1007.9000244140625,973.0499877929688,993.0,86217
2024-01-19,1013.8914794921875,1031.050048828125,1049.0,1005.0999755859375,1013.9500122070312,250374
2024-01-23,975.5404663085938,992.0499877929688,1026.199951171875,969.0999755859375,1026.1500244140625,71039
2024-01-24,1002.0912475585938,1019.0499877929688,1020.0,965.0999755859375,989.9500122070312,188005
2024-01-25,982.4240112304688,999.0499877929688,1019.0499877929688,992.5,1019.0,26838
2024-01-29,989.1107788085938,1005.8499755859375,1023.0,995.0,999.0499877929688,48613
2024-01-30,990.9299926757812,1007.7000122070312,1013.9000244140625,996.0999755859375,1000.0,26774
2024-01-31,1022.643310546875,1039.949951171875,1052.050048828125,1004.75,1007.7000122070312,83307
2024-02-01,1011.482177734375,1028.5999755859375,1042.050048828125,987.7999877929688,1042.0,116475
2024-02-02,998.99365234375,1015.9000244140625,1037.050048828125,1011.5,1028.5999755859375,40908
2024-02-05,1002.3861083984375,1019.3499755859375,1029.300048828125,1004.1500244140625,1016.0,49404
2024-02-06,984.2922973632812,1000.9500122070312,1026.199951171875,993.0,1017.8499755859375,42749
2024-02-07,985.3740234375,1002.0499877929688,1033.199951171875,995.5,1019.9000244140625,30503
2024-02-08,980.5556030273438,997.1500244140625,1010.0,988.0,1007.0999755859375,29987
2024-02-09,981.7356567382812,998.3499755859375,1009.9500122070312,976.0999755859375,1003.9000244140625,30412
2024-02-12,963.150146484375,979.4500122070312,1005.5,975.0,1005.5,52228
2024-02-13,961.380126953125,977.6500244140625,986.0,965.0499877929688,984.3499755859375,24454
2024-02-14,956.9550170898438,973.1500244140625,981.0999755859375,955.1500244140625,955.1500244140625,28574
2024-02-15,968.017822265625,984.4000244140625,995.0,974.1500244140625,990.0,31945
2024-02-16,966.1002197265625,982.4500122070312,996.2999877929688,978.2999877929688,995.0,18160
2024-02-19,962.2160034179688,978.5,994.5,973.25,987.0,21619
2024-02-20,958.282470703125,974.5,984.9500122070312,970.0,978.5,18467
2024-02-21,953.21826171875,969.3499755859375,981.2000122070312,964.2999877929688,981.0,20664
2024-02-22,956.5616455078125,972.75,984.1500244140625,965.8499755859375,974.2000122070312,20971
2024-02-23,979.326416015625,995.9000244140625,1001.0,974.75,979.25,45234
2024-02-26,960.5443115234375,976.7999877929688,999.9500122070312,971.0499877929688,999.0,21108
2024-02-27,987.3408203125,1004.0499877929688,1027.0,968.75,983.2999877929688,218018
2024-02-28,960.8392333984375,977.0999755859375,1006.9000244140625,972.5499877929688,1006.9000244140625,46730
2024-02-29,938.2219848632812,954.0999755859375,982.0,945.5499877929688,982.0,36760
2024-03-01,946.2363891601562,962.25,973.1500244140625,951.5499877929688,960.7000122070312,27753
2024-03-04,949.9240112304688,966.0,976.7000122070312,962.0,975.8499755859375,25832
2024-03-05,944.3680419921875,960.3499755859375,975.0499877929688,951.2000122070312,974.2999877929688,36459
2024-03-06,933.1602783203125,945.0,960.7999877929688,938.0,960.3499755859375,25754
2024-03-07,934.8389892578125,946.7000122070312,953.9500122070312,936.8499755859375,951.2999877929688,15312
2024-03-11,904.4741821289062,915.9500122070312,960.0,907.0999755859375,960.0,40140
2024-03-12,900.9192504882812,912.3499755859375,920.5499877929688,902.6500244140625,915.9500122070312,49676
2024-03-13,852.3357543945312,863.1500244140625,918.4500122070312,855.5,918.4500122070312,71137
2024-03-14,861.1242065429688,872.0499877929688,881.4000244140625,859.0999755859375,861.8499755859375,33349
2024-03-15,856.9768676757812,867.8499755859375,890.0,860.25,880.0,24313
2024-03-18,883.7866821289062,895.0,937.7000122070312,872.2000122070312,872.2000122070312,693700
2024-03-19,877.614990234375,888.75,898.1500244140625,881.0,891.0,36737
2024-03-20,869.172119140625,880.2000122070312,898.0,860.9500122070312,892.75,51722
2024-03-21,883.5892333984375,894.7999877929688,906.9000244140625,885.0,885.0,24115
2024-03-22,876.6769409179688,887.7999877929688,899.0,885.0,898.0,30809
2024-03-26,855.5450439453125,866.4000244140625,892.25,862.7999877929688,890.0,61376
