date_,adj close_homefirst.ns,close_homefirst.ns,high_homefirst.ns,low_homefirst.ns,open_homefirst.ns,volume_homefirst.ns
2024-01-16,949.3619384765625,956.0499877929688,976.2000122070312,951.1500244140625,967.9500122070312,79460
2024-01-17,958.2493286132812,965.0,978.0499877929688,943.6500244140625,954.0,141973
2024-01-18,977.0668334960938,983.9500122070312,1003.0,957.8499755859375,965.0,396608
2024-01-19,1002.0905151367188,1009.1500244140625,1061.0,989.0,990.0,1157175
2024-01-23,983.4219970703125,990.3499755859375,1002.75,969.0,985.0,193562
2024-01-24,990.124755859375,997.0999755859375,1001.9000244140625,965.0499877929688,999.0,176320
2024-01-25,957.7528686523438,964.5,1002.7999877929688,952.0,999.0,153851
2024-01-29,979.449951171875,986.3499755859375,1009.75,970.2999877929688,973.0,381114
2024-01-30,966.3919677734375,973.2000122070312,992.5,958.0,991.1500244140625,105453
2024-01-31,977.8115844726562,984.7000122070312,992.5,975.2000122070312,979.8499755859375,150608
2024-02-01,983.074462890625,990.0,999.9500122070312,978.5499877929688,984.7000122070312,90222
2024-02-02,974.8822021484375,981.75,1010.0,962.5499877929688,1004.0,216725
2024-02-05,964.8031616210938,971.5999755859375,981.9500122070312,960.0999755859375,981.9500122070312,251927
2024-02-06,962.5192260742188,969.2999877929688,989.5,955.5,974.0,290013
2024-02-07,988.33740234375,995.2999877929688,1011.0,970.0,970.0,199725
2024-02-08,991.9122314453125,998.9000244140625,1009.4500122070312,992.0499877929688,999.0,194364
2024-02-09,976.6695556640625,983.5499877929688,1005.0,972.0,1000.0,187150
2024-02-12,946.4325561523438,953.0999755859375,987.0,930.1500244140625,983.5499877929688,105958
2024-02-13,947.6241455078125,954.2999877929688,961.5,947.2999877929688,953.0,68800
2024-02-14,928.757080078125,935.2999877929688,961.5499877929688,932.5,940.0,82008
2024-02-15,922.650146484375,929.1500244140625,949.25,922.0999755859375,936.0,128796
2024-02-16,932.4312133789062,939.0,950.9000244140625,935.0,937.0,100965
2024-02-19,876.7236938476562,882.9000244140625,945.0,876.0,945.0,483580
2024-02-20,922.40185546875,928.9000244140625,937.0,889.0499877929688,892.0,585925
2024-02-21,908.996337890625,915.4000244140625,939.9500122070312,907.0,929.7999877929688,159677
2024-02-22,940.2759399414062,946.9000244140625,954.0,926.0,935.0,288732
2024-02-23,952.390625,959.0999755859375,963.0,943.4000244140625,947.0,283608
2024-02-26,921.7564086914062,928.25,955.0,920.0999755859375,949.5999755859375,137929
2024-02-27,895.2927856445312,901.5999755859375,930.0,896.9000244140625,925.2000122070312,118601
2024-02-28,882.0362548828125,888.25,909.4500122070312,884.5,903.0,162050
2024-02-29,862.1265258789062,868.2000122070312,896.0,863.25,889.0,340553
2024-03-01,900.3572387695312,906.7000122070312,916.0999755859375,869.5499877929688,874.0,204677
2024-03-04,887.6963500976562,893.9500122070312,919.9000244140625,891.0,908.2000122070312,73485
2024-03-05,860.339111328125,866.4000244140625,893.5499877929688,862.0,880.5499877929688,158730
2024-03-06,824.2930297851562,830.0999755859375,868.7999877929688,825.0,868.7999877929688,250100
2024-03-07,862.7222900390625,868.7999877929688,907.6500244140625,835.9000244140625,835.9000244140625,599086
2024-03-11,847.2314453125,853.2000122070312,868.9500122070312,848.2999877929688,868.75,117550
2024-03-12,838.6419067382812,844.5499877929688,865.0,833.1500244140625,858.0,133710
2024-03-13,812.2776489257812,818.0,875.0,816.0,847.0499877929688,120968
