"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"ANANDRATHI","3,084.20","3,140.00","3,055.00","3,084.20","3,085.10","-","0.90","0.03","1,75,899","54.56","3,321.40","1,594.00","3.34","-22.54"
"UBL","1,515.10","1,522.00","1,497.60","1,519.60","1,520.00","-","0.40","0.03","57,692","8.73","2,299.70","1,495.40","-6.41","-21.97"
"BANKBARODA","307.70","313.35","306.10","307.70","307.75","-","0.05","0.02","1,66,90,141","517.58","313.35","190.70","8.98","38.84"
"NCC","150.44","152.46","149.50","149.97","150.00","-","0.03","0.02","17,46,243","26.37","261.80","145.05","-4.83","-38.13"
"MAXHEALTH","1,029.00","1,040.10","1,022.70","1,033.60","1,033.50","-","-0.10","-0.01","25,84,321","266.71","1,314.30","940.05","-3.36","-0.20"
"APLAPOLLO","1,944.00","1,963.00","1,930.00","1,934.70","1,934.30","-","-0.40","-0.02","4,05,626","78.78","1,993.70","1,272.70","11.99","28.24"
"FORCEMOT","20,555.00","20,710.00","20,155.00","20,495.00","20,490.00","-","-5.00","-0.02","38,474","78.56","21,990.00","6,125.00","18.67","214.04"
"ITI","302.35","304.90","300.50","301.05","301.00","-","-0.05","-0.02","5,07,557","15.35","427.00","234.04","0.03","-21.68"
"SCHAEFFLER","3,790.00","3,842.10","3,769.80","3,813.20","3,812.50","-","-0.70","-0.02","34,103","12.98","4,392.00","2,823.00","-0.10","18.75"
"THERMAX","2,947.00","2,975.00","2,920.00","2,971.80","2,971.00","-","-0.80","-0.03","65,557","19.36","4,246.80","2,742.70","2.97","-26.02"
"ASTRAL","1,480.00","1,498.30","1,458.00","1,462.60","1,462.00","-","-0.60","-0.04","4,69,969","69.28","1,593.50","1,232.30","0.10","-0.82"
"OLECTRA","1,123.70","1,132.00","1,105.00","1,114.60","1,114.00","-","-0.60","-0.05","1,87,542","20.96","1,714.20","989.95","-7.47","-18.40"
"ATUL","6,021.00","6,044.50","5,960.50","6,020.00","6,015.50","-","-4.50","-0.07","19,792","11.88","7,788.00","4,752.00","4.23","-11.14"
"IOB","36.29","36.87","36.00","36.11","36.08","-","-0.03","-0.08","1,12,34,753","40.89","54.54","33.50","-1.34","-27.71"
"AKUMS","443.80","445.70","440.50","444.45","444.10","-","-0.35","-0.08","60,395","2.67","636.00","405.00","5.56","-28.41"
"DOMS","2,517.20","2,585.40","2,487.60","2,517.20","2,515.00","-","-2.20","-0.09","45,697","11.62","3,064.60","2,092.30","-0.21","0.27"
"3MINDIA","35,435.00","35,620.00","34,780.00","35,435.00","35,400.00","-","-35.00","-0.10","3,650","12.84","37,305.00","25,718.15","-0.34","22.33"
"BRITANNIA","5,875.00","5,944.00","5,862.00","5,906.50","5,900.00","-","-6.50","-0.11","4,53,904","268.02","6,336.00","4,506.00","-2.76","20.95"
"APTUS","270.30","271.20","268.05","270.30","270.00","-","-0.30","-0.11","9,32,988","25.19","364.00","267.95","-6.70","-2.53"
"PRAJIND","307.20","315.40","306.00","308.35","308.00","-","-0.35","-0.11","6,56,926","20.47","807.00","293.40","-9.86","-57.92"
"JINDALSTEL","1,045.90","1,054.00","1,035.50","1,040.70","1,039.30","-","-1.40","-0.13","15,00,141","156.82","1,098.00","723.35","3.13","14.57"
"JSWCEMENT","121.65","122.22","120.38","121.67","121.50","-","-0.17","-0.14","14,08,305","17.10","162.15","106.65","0.06","-"
"IKS","1,702.40","1,705.20","1,678.80","1,702.40","1,700.00","-","-2.40","-0.14","65,306","11.08","1,992.20","1,236.80","1.29","-11.28"
"SRF","3,039.80","3,072.00","3,010.00","3,032.00","3,027.40","-","-4.60","-0.15","2,55,342","77.59","3,325.00","2,484.50","0.39","21.50"
"COALINDIA","432.20","433.60","428.00","432.20","431.50","-","-0.70","-0.16","64,10,141","276.01","442.00","349.25","12.95","15.06"
"GRSE","2,441.90","2,452.00","2,410.00","2,431.00","2,427.00","-","-4.00","-0.16","6,10,176","148.02","3,538.40","1,184.90","5.85","72.12"
"JSWENERGY","496.50","503.65","490.60","494.65","493.80","-","-0.85","-0.17","25,48,099","126.24","582.00","418.75","2.99","-12.24"
"EXIDEIND","345.35","348.95","343.45","345.35","344.75","-","-0.60","-0.17","8,79,779","30.41","431.00","328.00","-6.05","-9.92"
"ANANTRAJ","552.50","567.85","547.00","552.00","551.00","-","-1.00","-0.18","19,69,499","109.67","928.00","376.15","2.28","-38.39"
"BHARTIARTL","2,020.00","2,029.70","1,988.70","2,022.50","2,018.00","-","-4.50","-0.22","73,10,676","1,469.75","2,174.50","1,559.50","-4.07","25.44"
"AXISBANK","1,298.80","1,309.00","1,286.50","1,298.80","1,296.00","-","-2.80","-0.22","51,75,495","670.02","1,309.00","933.50","6.12","26.04"
"DLF","654.50","666.20","646.05","651.05","649.60","-","-1.45","-0.22","51,89,752","339.86","886.80","601.20","-6.08","-11.56"
"LT","3,890.00","3,914.00","3,848.70","3,865.80","3,857.00","-","-8.80","-0.23","18,07,300","700.39","4,195.00","2,965.30","-5.10","10.14"
"SUMICHEM","428.10","437.05","428.00","430.20","429.20","-","-1.00","-0.23","2,22,067","9.59","665.00","428.00","-5.53","-9.71"
"CANFINHOME","921.35","929.55","911.15","917.45","915.00","-","-2.45","-0.27","1,40,738","12.98","971.50","558.50","0.31","36.58"
"BRIGADE","844.10","846.40","828.60","842.40","840.00","-","-2.40","-0.28","3,78,627","31.73","1,332.00","828.60","-2.49","-24.14"
"WELCORP","738.65","741.80","730.10","738.65","736.50","-","-2.15","-0.29","3,73,406","27.48","994.00","664.30","-8.37","-3.10"
"TATAINVEST","663.80","672.35","660.80","663.80","661.85","-","-1.95","-0.29","2,45,709","16.39","1,184.70","514.52","-6.89","-89.27"
"NIVABUPA","78.98","79.56","78.42","78.98","78.75","-","-0.23","-0.29","8,21,276","6.48","95.21","68.54","1.47","-0.05"
"MUTHOOTFIN","3,905.00","3,969.80","3,905.00","3,938.10","3,926.30","-","-11.80","-0.30","2,54,955","100.45","3,995.00","1,965.00","2.32","80.59"
"RADICO","2,922.60","2,947.90","2,870.60","2,907.40","2,898.00","-","-9.40","-0.32","3,63,997","105.55","3,591.90","1,845.50","-8.78","31.07"
"PGEL","587.30","600.40","582.60","587.30","585.40","-","-1.90","-0.32","16,47,042","97.24","1,008.00","465.00","2.59","-31.08"
"PAGEIND","34,325.00","34,650.00","34,200.00","34,320.00","34,210.00","-","-110.00","-0.32","15,184","52.29","50,590.00","34,055.00","-5.47","-25.35"
"WHIRLPOOL","805.00","808.30","798.00","802.60","800.00","-","-2.60","-0.32","2,99,374","24.06","1,730.00","798.00","-15.11","-52.39"
"IGL","180.48","181.80","179.33","181.38","180.80","-","-0.58","-0.32","11,68,275","21.14","229.00","172.00","-1.37","-55.01"
"HAPPSTMNDS","429.55","435.95","425.55","427.90","426.45","-","-1.45","-0.34","3,77,889","16.28","773.70","423.60","-12.97","-41.05"
"IIFL","635.35","641.35","626.75","635.35","633.10","-","-2.25","-0.35","9,31,932","59.02","675.00","279.80","11.81","61.13"
"SONACOMS","461.65","464.10","457.35","461.65","460.05","-","-1.60","-0.35","6,42,454","29.60","588.95","380.00","-5.12","-19.42"
"CRISIL","4,767.90","4,820.00","4,690.00","4,767.20","4,750.00","-","-17.20","-0.36","25,241","11.97","6,139.00","3,973.60","7.16","-17.83"
"ESCORTS","3,714.90","3,744.50","3,658.00","3,690.00","3,676.30","-","-13.70","-0.37","1,05,729","39.14","4,180.00","2,776.40","0.01","5.74"
"ICICIBANK","1,417.90","1,429.00","1,400.20","1,418.40","1,413.00","-","-5.40","-0.38","1,25,30,886","1,771.12","1,500.00","1,186.00","3.28","13.93"
"TATAPOWER","368.00","372.35","364.20","367.40","366.00","-","-1.40","-0.38","37,26,735","137.24","416.80","326.35","-3.62","0.18"
"LLOYDSME","1,243.90","1,245.40","1,221.10","1,238.70","1,234.00","-","-4.70","-0.38","2,34,967","28.93","1,612.00","942.15","-6.15","-14.22"
"ONGC","246.90","247.78","242.40","248.23","247.23","-","-1.00","-0.40","1,22,87,680","302.47","270.47","205.00","6.44","-4.26"
"ADANIPORTS","1,430.00","1,448.00","1,416.10","1,430.00","1,424.30","-","-5.70","-0.40","15,56,318","223.01","1,549.00","1,010.75","-5.14","25.95"
"ADANIPOWER","142.60","144.50","141.50","142.77","142.20","-","-0.57","-0.40","86,51,198","123.82","182.70","91.99","-1.86","-74.04"
"VIJAYA","990.00","993.70","967.60","994.70","990.60","-","-4.10","-0.41","2,68,863","26.34","1,234.40","740.00","0.90","-14.06"
"BANDHANBNK","144.60","145.90","143.23","145.32","144.71","-","-0.61","-0.42","81,10,476","117.29","192.48","128.16","-3.11","-2.32"
"KFINTECH","1,067.80","1,077.70","1,052.70","1,067.80","1,063.30","-","-4.50","-0.42","9,27,664","99.03","1,388.50","784.15","3.51","-13.93"
"LALPATHLAB","1,409.00","1,410.30","1,390.30","1,410.20","1,404.30","-","-5.90","-0.42","5,21,271","72.85","1,770.00","1,146.78","-50.64","-49.56"
"SUNDRMFAST","925.25","941.80","925.25","936.90","933.00","-","-3.90","-0.42","27,928","2.61","1,102.70","831.15","-0.72","-10.49"
"WAAREEENER","2,575.00","2,626.70","2,540.50","2,560.00","2,549.00","-","-11.00","-0.43","12,54,418","323.52","3,865.00","1,863.00","-12.57","-2.21"
"IDBI","105.41","106.90","104.20","104.85","104.39","-","-0.46","-0.44","1,36,78,724","144.45","118.38","66.41","5.04","41.72"
"PETRONET","287.00","290.30","283.10","286.25","285.00","-","-1.25","-0.44","19,97,775","57.22","332.40","263.50","7.54","-12.76"
"COROMANDEL","2,320.50","2,343.60","2,301.90","2,320.50","2,310.00","-","-10.50","-0.45","2,13,566","49.55","2,718.90","1,596.00","0.32","27.20"
"POWERGRID","258.30","261.55","256.20","258.35","257.15","-","-1.20","-0.46","96,48,251","249.86","322.00","247.30","-1.17","-13.85"
"JUBLFOOD","526.30","531.80","524.35","529.30","526.85","-","-2.45","-0.46","30,65,491","162.00","760.50","512.10","-5.78","-24.60"
"GAIL","164.40","166.25","163.48","165.17","164.40","-","-0.77","-0.47","2,05,49,276","338.43","202.79","150.52","-2.42","-7.70"
"HEROMOTOCO","5,622.00","5,732.00","5,617.50","5,676.50","5,649.00","-","-27.50","-0.48","5,88,398","333.95","6,388.50","3,344.00","-4.96","37.44"
"BAJAJHLDNG","10,799.00","10,810.00","10,621.00","10,741.00","10,689.00","-","-52.00","-0.48","52,028","55.65","14,763.00","10,315.05","-3.49","-1.54"
"BAYERCROP","4,448.00","4,448.00","4,381.00","4,412.30","4,391.00","-","-21.30","-0.48","17,599","7.74","6,511.00","4,217.45","0.54","-14.50"
"KIRLOSENG","1,171.80","1,192.00","1,160.00","1,166.70","1,160.90","-","-5.80","-0.50","1,42,761","16.82","1,329.00","544.40","-4.63","23.52"
"ABREL","1,535.20","1,562.90","1,522.00","1,532.70","1,525.00","-","-7.70","-0.50","1,05,112","16.14","2,537.90","1,522.00","-10.04","-22.86"
"ABBOTINDIA","27,880.00","28,130.00","27,650.00","27,880.00","27,740.00","-","-140.00","-0.50","3,983","11.09","37,000.00","25,325.00","-0.18","0.03"
"HONASA","287.85","288.10","282.70","287.85","286.35","-","-1.50","-0.52","3,09,993","8.86","334.20","197.51","10.00","17.78"
"COCHINSHIP","1,535.00","1,542.50","1,520.50","1,534.40","1,526.20","-","-8.20","-0.53","4,58,849","70.18","2,545.00","1,180.20","-2.17","9.33"
"IPCALAB","1,512.00","1,517.60","1,481.70","1,517.00","1,509.00","-","-8.00","-0.53","1,07,415","16.13","1,600.35","1,168.20","5.51","-3.55"
"AFFLE","1,729.00","1,757.50","1,708.20","1,734.20","1,725.00","-","-9.20","-0.53","79,038","13.64","2,185.90","1,246.00","0.70","7.63"
"ASTRAZEN","8,339.50","8,379.00","8,162.00","8,284.00","8,240.00","-","-44.00","-0.53","9,036","7.48","10,691.00","6,619.50","-8.35","22.69"
"KOTAKBANK","424.00","427.60","417.10","421.00","418.70","-","-2.30","-0.55","1,79,93,251","758.15","460.38","345.92","-80.84","-76.63"
"ADANIGREEN","935.30","946.80","926.30","935.30","930.00","-","-5.30","-0.57","10,88,002","101.76","1,177.55","758.00","-9.54","-10.14"
"APOLLOHOSP","6,950.00","7,299.00","6,950.00","7,272.50","7,230.00","-","-42.50","-0.58","5,01,597","362.49","8,099.50","6,001.00","2.61","8.12"
"PGHH","12,397.00","12,398.00","12,223.00","12,336.00","12,264.00","-","-72.00","-0.58","2,927","3.59","14,950.00","12,105.60","-5.36","-16.15"
"HAL","4,485.00","4,488.00","4,367.60","4,461.40","4,434.90","-","-26.50","-0.59","15,76,883","696.52","5,165.00","3,046.05","3.93","15.85"
"GESHIP","1,119.00","1,127.00","1,098.90","1,122.50","1,115.90","-","-6.60","-0.59","3,71,184","41.32","1,179.00","797.50","1.49","22.79"
"TVSMOTOR","3,709.40","3,720.40","3,640.80","3,690.40","3,667.90","-","-22.50","-0.61","13,24,087","486.19","3,909.00","2,178.45","1.33","62.98"
"PHOENIXLTD","1,877.00","1,908.40","1,846.00","1,868.40","1,857.00","-","-11.40","-0.61","4,49,389","84.02","1,993.00","1,402.50","4.38","12.20"
"GILLETTE","8,040.00","8,108.00","7,940.00","8,039.00","7,990.00","-","-49.00","-0.61","10,472","8.38","11,500.00","7,411.65","-0.92","-15.51"
"JKTYRE","509.40","510.15","498.85","506.15","503.00","-","-3.15","-0.62","4,78,094","24.06","524.70","243.00","7.45","38.66"
"BATAINDIA","905.70","909.65","900.00","905.70","900.05","-","-5.65","-0.62","63,423","5.74","1,424.60","900.00","-4.86","-31.01"
"LICHSGFIN","535.25","541.00","531.55","535.25","531.90","-","-3.35","-0.63","10,46,968","56.07","646.50","483.70","1.49","-3.49"
"TIINDIA","2,336.10","2,386.50","2,330.00","2,354.80","2,340.00","-","-14.80","-0.63","1,62,707","38.35","3,485.00","2,330.00","-10.67","-28.96"
"TITAN","4,221.50","4,236.40","4,181.10","4,221.50","4,194.40","-","-27.10","-0.64","6,86,949","289.27","4,312.10","2,925.00","6.80","26.28"
"SYNGENE","625.95","635.65","625.00","629.50","625.50","-","-4.00","-0.64","3,32,682","20.99","862.35","599.55","-2.98","-23.56"
"BHEL","269.20","269.40","263.85","267.45","265.70","-","-1.75","-0.65","55,68,981","148.66","305.90","176.00","-4.99","31.28"
"TATACOMM","1,760.00","1,773.10","1,742.20","1,753.60","1,742.20","-","-11.40","-0.65","1,83,380","32.23","2,004.00","1,291.00","-3.85","4.74"
"IRB","41.79","41.82","41.30","41.79","41.52","-","-0.27","-0.65","48,57,896","20.17","60.88","40.28","0.17","-18.83"
"TATASTEEL","190.05","191.00","187.31","189.25","188.00","-","-1.25","-0.66","2,60,28,519","492.02","191.00","122.94","10.82","48.75"
"SOLARINDS","12,968.00","13,094.00","12,685.00","12,875.00","12,790.00","-","-85.00","-0.66","1,45,658","188.05","17,820.00","8,482.50","7.69","34.63"
"BIOCON","380.20","385.25","374.50","379.00","376.50","-","-2.50","-0.66","34,34,497","131.03","424.95","291.00","-1.88","-1.15"
"SCI","215.10","217.06","211.57","214.63","213.20","-","-1.43","-0.67","14,06,890","30.17","280.50","138.26","-1.78","10.02"
"BLUESTARCO","1,814.90","1,828.40","1,795.60","1,812.10","1,800.00","-","-12.10","-0.67","1,38,252","25.03","2,269.80","1,521.00","-0.52","-5.82"
"DELHIVERY","403.65","409.00","400.40","403.65","400.90","-","-2.75","-0.68","7,09,859","28.71","490.00","236.53","-0.09","23.58"
"GLENMARK","2,022.00","2,028.00","1,990.00","2,011.30","1,997.00","-","-14.30","-0.71","3,62,053","72.82","2,284.80","1,275.50","1.74","35.43"
"VTL","419.95","424.05","415.00","420.95","417.95","-","-3.00","-0.71","68,958","2.89","539.90","361.10","-6.30","-12.07"
"DRREDDY","1,184.00","1,197.00","1,171.50","1,186.50","1,177.70","-","-8.80","-0.74","22,14,792","261.93","1,379.70","1,020.00","-7.94","-12.09"
"KIRLOSBROS","1,612.00","1,615.00","1,594.20","1,612.10","1,600.00","-","-12.10","-0.75","82,359","13.18","2,475.00","1,422.35","-2.87","-18.14"
"JYOTICNC","930.50","946.65","917.00","930.50","923.55","-","-6.95","-0.75","1,36,913","12.65","1,330.00","750.10","-2.17","-22.64"
"KEI","4,418.50","4,448.20","4,320.60","4,384.60","4,351.00","-","-33.60","-0.77","1,97,286","86.72","4,587.30","2,424.00","5.14","7.42"
"VENTIVE","771.00","771.00","750.25","770.95","765.00","-","-5.95","-0.77","64,903","4.94","840.00","523.40","6.73","14.03"
"VMM","130.00","130.50","128.48","130.11","129.10","-","-1.01","-0.78","42,43,585","55.05","157.60","95.99","-4.75","23.10"
"EICHERMOT","7,330.00","7,417.00","7,298.50","7,358.00","7,300.00","-","-58.00","-0.79","4,41,023","323.88","7,613.50","4,646.00","3.59","43.94"
"APARINDS","7,550.00","7,550.00","7,185.00","7,478.00","7,419.00","-","-59.00","-0.79","90,143","66.17","10,673.00","4,308.05","-17.09","-28.07"
"PPLPHARMA","168.40","169.08","165.18","168.02","166.70","-","-1.32","-0.79","13,76,825","23.04","251.95","163.64","-1.38","-27.92"
"NYKAA","251.00","256.70","249.40","254.85","252.80","-","-2.05","-0.80","26,44,636","67.07","273.22","154.90","2.24","46.35"
"HUDCO","217.58","219.13","214.40","216.64","214.90","-","-1.74","-0.80","15,62,525","33.86","253.73","158.85","2.01","0.14"
"AKZOINDIA","3,095.00","3,108.00","3,066.50","3,111.00","3,086.10","-","-24.90","-0.80","64,673","19.97","3,957.90","3,022.00","-14.77","-15.19"
"LICI","826.70","830.80","818.90","826.70","820.00","-","-6.70","-0.81","7,10,189","58.51","980.00","715.30","-3.99","-1.87"
"TRENT","3,910.00","3,977.80","3,890.00","3,932.20","3,900.00","-","-32.20","-0.82","8,67,266","340.73","6,519.00","3,827.80","-5.09","-38.97"
"GODIGIT","325.00","329.85","316.65","328.70","326.00","-","-2.70","-0.82","5,87,145","18.94","381.40","264.60","-5.62","13.91"
"NAVA","570.30","574.70","564.50","569.20","564.55","-","-4.65","-0.82","1,33,915","7.61","735.00","356.05","-0.58","-35.28"
"NTPC","352.65","354.05","345.40","349.10","346.20","-","-2.90","-0.83","1,42,75,582","499.42","371.45","292.80","7.90","7.78"
"SCHNEIDER","632.55","633.00","615.15","622.15","617.00","-","-5.15","-0.83","3,46,486","21.53","1,052.00","540.00","-12.50","-13.30"
"CGCL","181.50","183.68","177.50","180.60","179.11","-","-1.49","-0.83","5,18,920","9.42","231.35","150.51","-0.75","2.88"
"RCF","138.40","139.21","136.00","137.96","136.80","-","-1.16","-0.84","7,26,769","10.02","176.40","110.80","-3.58","-15.53"
"INDUSTOWER","438.40","438.95","429.50","438.40","434.65","-","-3.75","-0.86","1,04,18,752","450.92","454.95","312.55","6.30","23.32"
"UNOMINDA","1,197.40","1,217.70","1,180.90","1,192.40","1,182.10","-","-10.30","-0.86","7,52,949","89.86","1,382.00","767.60","-5.81","12.28"
"SIGNATURE","925.90","933.90","915.00","922.90","915.00","-","-7.90","-0.86","2,69,675","24.97","1,339.50","911.00","-18.08","-17.73"
"VBL","498.50","505.80","496.60","502.40","498.00","-","-4.40","-0.88","44,42,688","222.76","592.95","419.55","4.87","-10.72"
"JYOTHYLAB","257.00","257.25","252.50","256.65","254.40","-","-2.25","-0.88","4,58,221","11.68","423.00","252.50","-10.40","-34.54"
"BLUEDART","5,434.00","5,448.00","5,374.50","5,434.00","5,386.00","-","-48.00","-0.88","20,471","11.07","7,225.00","5,242.50","0.30","-12.31"
"SBICARD","846.60","851.50","835.35","846.50","839.00","-","-7.50","-0.89","7,36,038","62.08","1,027.25","707.15","-0.95","14.21"
"RHIM","457.55","460.15","449.05","460.15","456.00","-","-4.15","-0.90","68,915","3.13","547.90","376.45","3.72","-5.81"
"AAVAS","1,460.00","1,467.00","1,424.70","1,443.60","1,430.40","-","-13.20","-0.91","2,14,176","30.83","2,234.00","1,415.00","-3.46","-12.38"
"SUNTV","551.00","556.35","544.05","553.50","548.45","-","-5.05","-0.91","92,774","5.08","691.40","518.05","-1.65","-16.11"
"STARHEALTH","445.15","451.80","438.00","445.15","441.05","-","-4.10","-0.92","3,77,713","16.69","534.00","327.30","-4.34","-4.60"
"ELECON","396.05","398.35","387.25","395.95","392.25","-","-3.70","-0.93","8,83,582","34.52","716.25","376.95","-18.55","-36.51"
"INDHOTEL","694.70","696.00","682.45","689.45","683.00","-","-6.45","-0.94","35,81,617","246.34","858.00","672.60","-5.63","-15.65"
"BALRAMCHIN","425.25","426.55","416.55","425.25","421.20","-","-4.05","-0.95","1,64,824","6.93","627.80","407.80","-5.06","-14.42"
"MAZDOCK","2,478.90","2,489.90","2,418.00","2,470.80","2,447.00","-","-23.80","-0.96","8,26,635","202.61","3,775.00","1,918.05","1.62","9.77"
"BAJAJ-AUTO","9,540.00","9,616.50","9,389.50","9,579.50","9,487.00","-","-92.50","-0.97","5,28,450","501.37","9,888.00","7,089.35","5.34","10.62"
"AJANTPHARM","2,706.40","2,720.50","2,660.10","2,706.40","2,680.10","-","-26.30","-0.97","61,632","16.53","3,079.90","2,327.30","3.26","-6.94"
"GUJGASLTD","414.95","417.85","409.10","414.50","410.50","-","-4.00","-0.97","1,38,433","5.72","508.70","360.25","6.15","-16.44"
"ASAHIINDIA","951.50","957.30","934.60","951.50","942.20","-","-9.30","-0.98","51,977","4.91","1,074.00","576.80","-4.36","44.50"
"LUPIN","2,205.00","2,217.40","2,173.00","2,195.90","2,174.10","-","-21.80","-0.99","10,11,431","222.19","2,226.30","1,795.20","4.18","2.31"
"EMCURE","1,575.00","1,575.00","1,534.90","1,570.60","1,555.00","-","-15.60","-0.99","1,72,684","26.89","1,575.00","889.00","12.82","14.16"
"TRITURBINE","506.00","508.80","501.10","508.55","503.45","-","-5.10","-1.00","7,09,019","35.74","725.65","460.30","-4.63","-28.36"
"CESC","157.16","158.14","155.00","157.07","155.49","-","-1.58","-1.01","20,89,545","32.65","185.26","119.00","-8.30","1.06"
"NLCINDIA","259.90","264.00","256.30","260.15","257.50","-","-2.65","-1.02","11,50,600","29.85","292.20","186.03","7.01","12.19"
"AADHARHFC","478.95","480.80","471.00","477.50","472.55","-","-4.95","-1.04","3,70,351","17.58","547.80","346.05","-3.64","19.11"
"RVNL","341.00","344.95","333.50","338.30","334.70","-","-3.60","-1.06","69,64,569","235.58","501.80","301.20","8.32","-9.88"
"ZEEL","90.29","90.67","89.30","90.29","89.33","-","-0.96","-1.06","34,76,581","31.20","151.70","88.72","-3.48","-26.93"
"AFCONS","358.90","360.50","353.50","357.80","354.00","-","-3.80","-1.06","1,59,560","5.69","537.85","353.50","-10.50","-30.66"
"CEATLTD","3,845.00","3,850.00","3,780.20","3,829.20","3,787.60","-","-41.60","-1.09","80,929","30.87","4,438.00","2,343.05","0.45","24.11"
"HAVELLS","1,437.00","1,447.40","1,420.00","1,437.10","1,421.00","-","-16.10","-1.12","4,06,281","58.10","1,712.85","1,380.00","1.00","-6.60"
"JMFINANCIL","139.90","142.30","135.50","138.96","137.41","-","-1.55","-1.12","23,51,448","32.84","199.80","80.20","-4.25","16.80"
"SOBHA","1,561.60","1,580.10","1,520.00","1,549.40","1,532.00","-","-17.40","-1.12","1,51,293","23.49","1,732.50","1,075.30","4.04","16.80"
"TTML","46.51","46.64","45.90","46.50","45.98","-","-0.52","-1.12","11,29,965","5.21","84.50","44.52","-10.44","-34.08"
"BAJAJHFL","93.49","93.64","92.25","93.49","92.43","-","-1.06","-1.13","50,14,665","46.54","136.96","92.10","-3.20","-19.01"
"PFIZER","4,824.40","4,838.20","4,742.50","4,819.60","4,765.00","-","-54.60","-1.13","10,190","4.87","5,993.00","3,701.00","-5.18","-4.04"
"SUZLON","49.02","49.36","48.15","49.01","48.45","-","-0.56","-1.14","10,50,47,207","510.42","74.30","46.15","-8.01","-15.39"
"SAPPHIRE","224.10","226.40","220.05","224.05","221.45","-","-2.60","-1.16","1,54,770","3.44","368.00","217.00","-3.55","-33.17"
"AUROPHARMA","1,174.20","1,195.50","1,166.30","1,180.10","1,166.30","-","-13.80","-1.17","9,09,022","107.37","1,278.60","1,010.00","-0.46","2.19"
"ABB","4,935.00","4,960.00","4,852.00","4,935.00","4,877.50","-","-57.50","-1.17","1,86,282","91.20","6,579.65","4,684.45","-7.05","-21.33"
"BSE","2,851.00","2,900.00","2,793.00","2,836.80","2,802.80","-","-34.00","-1.20","47,46,376","1,354.72","3,030.00","1,227.33","7.78","-51.46"
"CHALET","877.25","892.00","871.30","881.85","871.30","-","-10.55","-1.20","4,08,832","36.21","1,082.00","634.05","-0.15","4.16"
"DEEPAKNTR","1,560.00","1,569.80","1,545.00","1,564.00","1,545.00","-","-19.00","-1.21","65,021","10.10","2,405.00","1,514.00","-3.07","-34.51"
"RITES","235.00","235.02","227.25","231.79","228.97","-","-2.82","-1.22","6,63,660","15.38","316.00","192.40","1.95","-12.51"
"GICRE","364.50","365.05","359.00","364.50","360.00","-","-4.50","-1.23","7,66,601","27.68","458.70","351.00","-4.65","-13.27"
"PIDILITIND","1,495.20","1,504.40","1,467.60","1,495.30","1,476.80","-","-18.50","-1.24","7,45,534","110.59","1,574.95","1,311.10","0.24","-47.32"
"NUVOCO","361.40","363.95","348.00","354.20","349.80","-","-4.40","-1.24","6,54,951","23.26","477.50","287.05","-2.38","1.43"
"CASTROLIND","187.57","187.65","185.11","187.57","185.22","-","-2.35","-1.25","25,25,284","46.97","251.95","162.60","1.43","1.41"
"DALBHARAT","2,184.90","2,195.00","2,144.20","2,177.30","2,149.80","-","-27.50","-1.26","3,91,714","85.03","2,496.30","1,601.00","4.64","24.49"
"CUB","276.50","281.95","271.10","276.50","273.00","-","-3.50","-1.27","16,36,721","45.19","302.20","142.91","0.92","61.67"
"PTCIL","18,065.00","18,235.00","17,671.00","18,065.00","17,834.00","-","-231.00","-1.28","9,918","17.76","19,387.00","9,756.30","2.48","4.37"
"BLS","306.50","307.75","301.55","306.55","302.60","-","-3.95","-1.29","6,80,630","20.72","518.00","276.95","-4.00","-30.18"
"INOXWIND","114.50","115.78","112.62","114.49","113.00","-","-1.49","-1.30","1,40,00,928","159.79","199.01","110.19","-10.49","-30.59"
"CROMPTON","255.00","256.90","250.00","254.70","251.40","-","-3.30","-1.30","18,99,361","48.18","373.00","247.00","-0.50","-31.15"
"HDFCLIFE","740.10","742.00","718.00","743.20","733.50","-","-9.70","-1.31","98,55,757","720.18","820.75","584.30","-4.16","23.28"
"FORTIS","910.60","915.00","893.70","909.95","898.05","-","-11.90","-1.31","21,71,062","195.32","1,104.30","577.00","2.45","37.64"
"GRAVITA","1,613.40","1,632.90","1,589.10","1,613.40","1,591.80","-","-21.60","-1.34","1,11,674","17.90","2,259.95","1,379.65","-13.75","-24.52"
"IREDA","138.77","139.48","135.56","138.10","136.24","-","-1.86","-1.35","82,46,756","113.36","212.55","129.11","1.81","-33.05"
"BLUEJET","491.00","494.90","482.00","490.60","484.00","-","-6.60","-1.35","2,12,790","10.34","1,027.80","482.00","-10.75","-17.60"
"INOXINDIA","1,119.40","1,128.40","1,104.50","1,123.20","1,108.00","-","-15.20","-1.35","32,646","3.64","1,288.00","884.20","-1.05","9.73"
"NBCC","105.50","106.85","103.00","105.18","103.75","-","-1.43","-1.36","1,21,75,671","127.64","130.70","70.80","-7.13","20.26"
"BERGEPAINT","525.15","526.00","516.05","525.15","518.00","-","-7.15","-1.36","1,63,802","8.53","605.00","451.50","-3.76","11.92"
