symbol,yahoo_symbol
FEDERALBNK,FEDERALBNK.NS
ANGELONE,ANGELONE.NS
ZENTEC,ZENTEC.NS
IFCI,IFCI.NS
INDIAMART,INDIAMART.NS
NETWEB,NETWEB.NS
INFY,INFY.NS
OFSS,OFSS.NS
TECHM,TECHM.NS
HFCL,HFCL.NS
SBFC,SBFC.NS
AUBANK,AUBANK.NS
LTIM,LTIM.NS
RBLBANK,RBLBANK.NS
360ONE,360ONE.NS
HEXT,HEXT.NS
SAGILITY,SAGILITY.NS
HINDPETRO,HINDPETRO.NS
BSOFT,BSOFT.NS
MPHASIS,MPHASIS.NS
ABSLAMC,ABSLAMC.NS
COFORGE,COFORGE.NS
JKCEMENT,JKCEMENT.NS
BANKINDIA,BANKINDIA.NS
PNB,PNB.NS
SWANCORP,SWANCORP.NS
NUVAMA,NUVAMA.NS
WIPRO,WIPRO.NS
JSL,JSL.NS
HCLTECH,HCLTECH.NS
TCS,TCS.NS
YESBANK,YESBANK.NS
PERSISTENT,PERSISTENT.NS
CYIENT,CYIENT.NS
PAYTM,PAYTM.NS
HONAUT,HONAUT.NS
CANBK,CANBK.NS
WOCKPHARMA,WOCKPHARMA.NS
MANAPPURAM,MANAPPURAM.NS
NAM-INDIA,NAM-INDIA.NS
BPCL,BPCL.NS
FSL,FSL.NS
ACC,ACC.NS
NAUKRI,NAUKRI.NS
HEG,HEG.NS
SHRIRAMFIN,SHRIRAMFIN.NS
PRESTIGE,PRESTIGE.NS
PREMIERENE,PREMIERENE.NS
KSB,KSB.NS
TATAELXSI,TATAELXSI.NS
VGUARD,VGUARD.NS
GODREJIND,GODREJIND.NS
UPL,UPL.NS
HDFCAMC,HDFCAMC.NS
NAVINFLUOR,NAVINFLUOR.NS
TATACONSUM,TATACONSUM.NS
CDSL,CDSL.NS
MGL,MGL.NS
ICICIPRULI,ICICIPRULI.NS
UTIAMC,UTIAMC.NS
TORNTPOWER,TORNTPOWER.NS
UCOBANK,UCOBANK.NS
MOTHERSON,MOTHERSON.NS
CREDITACC,CREDITACC.NS
CCL,CCL.NS
KPIL,KPIL.NS
TMPV,TMPV.NS
MARICO,MARICO.NS
FIRSTCRY,FIRSTCRY.NS
SBIN,SBIN.NS
MCX,MCX.NS
IOC,IOC.NS
HYUNDAI,HYUNDAI.NS
ICICIGI,ICICIGI.NS
UNITDSPR,UNITDSPR.NS
LODHA,LODHA.NS
MAHABANK,MAHABANK.NS
SUNDARMFIN,SUNDARMFIN.NS
CERA,CERA.NS
OBEROIRLTY,OBEROIRLTY.NS
ULTRACEMCO,ULTRACEMCO.NS
RAMCOCEM,RAMCOCEM.NS
IDFCFIRSTB,IDFCFIRSTB.NS
INDIACEM,INDIACEM.NS
JUBLINGREA,JUBLINGREA.NS
SHREECEM,SHREECEM.NS
ZENSARTECH,ZENSARTECH.NS
SARDAEN,SARDAEN.NS
NTPCGREEN,NTPCGREEN.NS
GODREJCP,GODREJCP.NS
CARBORUNIV,CARBORUNIV.NS
CAMS,CAMS.NS
VEDL,VEDL.NS
GRAPHITE,GRAPHITE.NS
BHARATFORG,BHARATFORG.NS
INDUSINDBK,INDUSINDBK.NS
GODREJPROP,GODREJPROP.NS
ABCAPITAL,ABCAPITAL.NS
CENTRALBK,CENTRALBK.NS
PFC,PFC.NS
CUMMINSIND,CUMMINSIND.NS
COLPAL,COLPAL.NS
TATATECH,TATATECH.NS
FINPIPE,FINPIPE.NS
ARE&M,ARE&M.NS
RAINBOW,RAINBOW.NS
KPITTECH,KPITTECH.NS
AMBUJACEM,AMBUJACEM.NS
NESTLEIND,NESTLEIND.NS
METROPOLIS,METROPOLIS.NS
SBILIFE,SBILIFE.NS
INDIANB,INDIANB.NS
HDFCBANK,HDFCBANK.NS
RECLTD,RECLTD.NS
GRASIM,GRASIM.NS
BAJFINANCE,BAJFINANCE.NS
CHOLAFIN,CHOLAFIN.NS
JSWSTEEL,JSWSTEEL.NS
SAREGAMA,SAREGAMA.NS
LATENTVIEW,LATENTVIEW.NS
IGIL,IGIL.NS
BASF,BASF.NS
AMBER,AMBER.NS
TORNTPHARM,TORNTPHARM.NS
GODFRYPHLP,GODFRYPHLP.NS
CAMPUS,CAMPUS.NS
M&MFIN,M&MFIN.NS
FIVESTAR,FIVESTAR.NS
EMAMILTD,EMAMILTD.NS
FINCABLES,FINCABLES.NS
ECLERX,ECLERX.NS
CONCORDBIO,CONCORDBIO.NS
HINDUNILVR,HINDUNILVR.NS
LINDEINDIA,LINDEINDIA.NS
BALKRISIND,BALKRISIND.NS
GSPL,GSPL.NS
KAJARIACER,KAJARIACER.NS
M&M,M&M.NS
SYRMA,SYRMA.NS
ADANIENT,ADANIENT.NS
GMRAIRPORT,GMRAIRPORT.NS
CLEAN,CLEAN.NS
KARURVYSYA,KARURVYSYA.NS
HSCL,HSCL.NS
INTELLECT,INTELLECT.NS
JBCHEPHARM,JBCHEPHARM.NS
FLUOROCHEM,FLUOROCHEM.NS
ENDURANCE,ENDURANCE.NS
SUPREMEIND,SUPREMEIND.NS
TRIDENT,TRIDENT.NS
MFSL,MFSL.NS
IRFC,IRFC.NS
IEX,IEX.NS
DABUR,DABUR.NS
ALKEM,ALKEM.NS
PIIND,PIIND.NS
RELIANCE,RELIANCE.NS
LTF,LTF.NS
J&KBANK,J&KBANK.NS
NIACL,NIACL.NS
AIAENG,AIAENG.NS
BIKAJI,BIKAJI.NS
CONCOR,CONCOR.NS
BDL,BDL.NS
IRCTC,IRCTC.NS
BAJAJFINSV,BAJAJFINSV.NS
PVRINOX,PVRINOX.NS
HOMEFIRST,HOMEFIRST.NS
ZFCVINDIA,ZFCVINDIA.NS
INDIGO,INDIGO.NS
ANANDRATHI,ANANDRATHI.NS
UBL,UBL.NS
BANKBARODA,BANKBARODA.NS
NCC,NCC.NS
MAXHEALTH,MAXHEALTH.NS
APLAPOLLO,APLAPOLLO.NS
FORCEMOT,FORCEMOT.NS
ITI,ITI.NS
SCHAEFFLER,SCHAEFFLER.NS
THERMAX,THERMAX.NS
ASTRAL,ASTRAL.NS
OLECTRA,OLECTRA.NS
ATUL,ATUL.NS
IOB,IOB.NS
AKUMS,AKUMS.NS
DOMS,DOMS.NS
3MINDIA,3MINDIA.NS
BRITANNIA,BRITANNIA.NS
APTUS,APTUS.NS
PRAJIND,PRAJIND.NS
JINDALSTEL,JINDALSTEL.NS
JSWCEMENT,JSWCEMENT.NS
IKS,IKS.NS
SRF,SRF.NS
COALINDIA,COALINDIA.NS
GRSE,GRSE.NS
JSWENERGY,JSWENERGY.NS
EXIDEIND,EXIDEIND.NS
ANANTRAJ,ANANTRAJ.NS
BHARTIARTL,BHARTIARTL.NS
AXISBANK,AXISBANK.NS
DLF,DLF.NS
LT,LT.NS
SUMICHEM,SUMICHEM.NS
CANFINHOME,CANFINHOME.NS
BRIGADE,BRIGADE.NS
WELCORP,WELCORP.NS
TATAINVEST,TATAINVEST.NS
NIVABUPA,NIVABUPA.NS
MUTHOOTFIN,MUTHOOTFIN.NS
RADICO,RADICO.NS
PGEL,PGEL.NS
